municipality,group,variable,month,Cantidad,TOTAL-M
WARNES,intoxicaciones,plaguicidas,2006-01-01,1,1
YACUIBA,intoxicaciones,plaguicidas,2006-01-01,7,7
ACHACACHI,intoxicaciones,plaguicidas,2006-02-01,1,1
BATALLAS,intoxicaciones,plaguicidas,2006-02-01,3,3
BETANZOS,intoxicaciones,plaguicidas,2006-02-01,1,1
BOLIVAR,intoxicaciones,plaguicidas,2006-02-01,1,1
CAMIRI,intoxicaciones,plaguicidas,2006-02-01,2,2
CARACOLLO,intoxicaciones,plaguicidas,2006-02-01,2,2
COBIJA,intoxicaciones,plaguicidas,2006-02-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2006-02-01,33,33
COLOMI,intoxicaciones,plaguicidas,2006-02-01,2,2
COMARAPA,intoxicaciones,plaguicidas,2006-02-01,1,1
CORIPATA,intoxicaciones,plaguicidas,2006-02-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2006-02-01,19,19
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2006-02-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2006-02-01,18,18
LAJA,intoxicaciones,plaguicidas,2006-02-01,1,1
MECAPACA,intoxicaciones,plaguicidas,2006-02-01,1,1
OCURI,intoxicaciones,plaguicidas,2006-02-01,1,1
ORURO,intoxicaciones,plaguicidas,2006-02-01,5,5
PALCA,intoxicaciones,plaguicidas,2006-02-01,1,1
POROMA,intoxicaciones,plaguicidas,2006-02-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2006-02-01,1,1
PUNA,intoxicaciones,plaguicidas,2006-02-01,2,2
PUNATA,intoxicaciones,plaguicidas,2006-02-01,1,1
QUILLACOLLO,intoxicaciones,plaguicidas,2006-02-01,4,4
QUIRUSILLAS,intoxicaciones,plaguicidas,2006-02-01,1,1
SACABA,intoxicaciones,plaguicidas,2006-02-01,3,3
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2006-02-01,3,3
TARIJA,intoxicaciones,plaguicidas,2006-02-01,6,6
TEOPONTE,intoxicaciones,plaguicidas,2006-02-01,1,1
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2006-02-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2006-02-01,2,2
YACUIBA,intoxicaciones,plaguicidas,2006-02-01,3,3
ANCORAIMES,intoxicaciones,plaguicidas,2006-03-01,1,1
BETANZOS,intoxicaciones,plaguicidas,2006-03-01,4,4
COBIJA,intoxicaciones,plaguicidas,2006-03-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2006-03-01,31,31
COLOMI,intoxicaciones,plaguicidas,2006-03-01,3,3
COMARAPA,intoxicaciones,plaguicidas,2006-03-01,2,2
COPACABANA,intoxicaciones,plaguicidas,2006-03-01,1,1
COTAGAITA,intoxicaciones,plaguicidas,2006-03-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2006-03-01,15,15
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2006-03-01,1,1
LA ASUNTA,intoxicaciones,plaguicidas,2006-03-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2006-03-01,23,23
MINEROS,intoxicaciones,plaguicidas,2006-03-01,1,1
MOCOMOCO,intoxicaciones,plaguicidas,2006-03-01,1,1
MONTERO,intoxicaciones,plaguicidas,2006-03-01,2,2
ORURO,intoxicaciones,plaguicidas,2006-03-01,10,10
PADCAYA,intoxicaciones,plaguicidas,2006-03-01,2,2
PAILON,intoxicaciones,plaguicidas,2006-03-01,1,1
PUCARANI,intoxicaciones,plaguicidas,2006-03-01,1,1
PUERTO CARABUCO,intoxicaciones,plaguicidas,2006-03-01,1,1
QUILLACOLLO,intoxicaciones,plaguicidas,2006-03-01,12,12
RAVELO,intoxicaciones,plaguicidas,2006-03-01,10,10
SAN JUAN DE YAPACANI,intoxicaciones,plaguicidas,2006-03-01,1,1
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2006-03-01,1,1
SAPAHAQUI,intoxicaciones,plaguicidas,2006-03-01,1,1
SUCRE,intoxicaciones,plaguicidas,2006-03-01,6,6
TARIJA,intoxicaciones,plaguicidas,2006-03-01,2,2
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2006-03-01,1,1
TORO TORO,intoxicaciones,plaguicidas,2006-03-01,1,1
TOTORA(ORR),intoxicaciones,plaguicidas,2006-03-01,1,1
VACAS,intoxicaciones,plaguicidas,2006-03-01,3,3
VALLEGRANDE,intoxicaciones,plaguicidas,2006-03-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2006-03-01,1,1
WARNES,intoxicaciones,plaguicidas,2006-03-01,1,1
YACUIBA,intoxicaciones,plaguicidas,2006-03-01,4,4
BETANZOS,intoxicaciones,plaguicidas,2006-04-01,4,4
CABEZAS,intoxicaciones,plaguicidas,2006-04-01,6,6
CAMIRI,intoxicaciones,plaguicidas,2006-04-01,5,5
CAQUIAVIRI,intoxicaciones,plaguicidas,2006-04-01,1,1
COBIJA,intoxicaciones,plaguicidas,2006-04-01,2,2
COCHABAMBA,intoxicaciones,plaguicidas,2006-04-01,10,10
COLOMI,intoxicaciones,plaguicidas,2006-04-01,1,1
COTAGAITA,intoxicaciones,plaguicidas,2006-04-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2006-04-01,8,8
LA PAZ,intoxicaciones,plaguicidas,2006-04-01,7,7
MOCOMOCO,intoxicaciones,plaguicidas,2006-04-01,1,1
ORURO,intoxicaciones,plaguicidas,2006-04-01,9,9
PAILON,intoxicaciones,plaguicidas,2006-04-01,1,1
PALCA,intoxicaciones,plaguicidas,2006-04-01,1,1
PALOS BLANCOS,intoxicaciones,plaguicidas,2006-04-01,1,1
PUNA,intoxicaciones,plaguicidas,2006-04-01,1,1
PUNATA,intoxicaciones,plaguicidas,2006-04-01,2,2
QUILLACOLLO,intoxicaciones,plaguicidas,2006-04-01,4,4
SACABAMBA,intoxicaciones,plaguicidas,2006-04-01,2,2
SAN IGNACIO,intoxicaciones,plaguicidas,2006-04-01,2,2
SAN RAFAEL,intoxicaciones,plaguicidas,2006-04-01,1,1
SAPAHAQUI,intoxicaciones,plaguicidas,2006-04-01,1,1
SUCRE,intoxicaciones,plaguicidas,2006-04-01,9,9
TARIJA,intoxicaciones,plaguicidas,2006-04-01,3,3
VILLA TUNARI,intoxicaciones,plaguicidas,2006-04-01,5,5
BATALLAS,intoxicaciones,plaguicidas,2006-05-01,1,1
CAJUATA,intoxicaciones,plaguicidas,2006-05-01,2,2
CALAMARCA,intoxicaciones,plaguicidas,2006-05-01,1,1
CARANAVI,intoxicaciones,plaguicidas,2006-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2006-05-01,2,2
COBIJA,intoxicaciones,plaguicidas,2006-05-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2006-05-01,20,20
COLOMI,intoxicaciones,plaguicidas,2006-05-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2006-05-01,13,13
EL PUENTE(TJA),intoxicaciones,plaguicidas,2006-05-01,1,1
LA ASUNTA,intoxicaciones,plaguicidas,2006-05-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2006-05-01,25,25
ORURO,intoxicaciones,plaguicidas,2006-05-01,8,8
PELECHUCO,intoxicaciones,plaguicidas,2006-05-01,1,1
PUERTO CARABUCO,intoxicaciones,plaguicidas,2006-05-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2006-05-01,4,4
PUNATA,intoxicaciones,plaguicidas,2006-05-01,2,2
QUILLACOLLO,intoxicaciones,plaguicidas,2006-05-01,1,1
SACABA,intoxicaciones,plaguicidas,2006-05-01,6,6
SAMAIPATA,intoxicaciones,plaguicidas,2006-05-01,1,1
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2006-05-01,1,1
SUCRE,intoxicaciones,plaguicidas,2006-05-01,5,5
TARIJA,intoxicaciones,plaguicidas,2006-05-01,7,7
VACAS,intoxicaciones,plaguicidas,2006-05-01,1,1
VALLEGRANDE,intoxicaciones,plaguicidas,2006-05-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2006-05-01,8,8
VILLAZON,intoxicaciones,plaguicidas,2006-05-01,2,2
WARNES,intoxicaciones,plaguicidas,2006-05-01,2,2
YACUIBA,intoxicaciones,plaguicidas,2006-05-01,4,4
CAIROMA,intoxicaciones,plaguicidas,2006-06-01,1,1
CAJUATA,intoxicaciones,plaguicidas,2006-06-01,1,1
CARANAVI,intoxicaciones,plaguicidas,2006-06-01,2,2
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2006-06-01,1,1
CHUMA,intoxicaciones,plaguicidas,2006-06-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2006-06-01,16,16
COMARAPA,intoxicaciones,plaguicidas,2006-06-01,1,1
COPACABANA,intoxicaciones,plaguicidas,2006-06-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2006-06-01,14,14
GUANAY,intoxicaciones,plaguicidas,2006-06-01,1,1
IRUPANA (VILLA DE LANZA),intoxicaciones,plaguicidas,2006-06-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2006-06-01,15,15
ORURO,intoxicaciones,plaguicidas,2006-06-01,6,6
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2006-06-01,1,1
PUNATA,intoxicaciones,plaguicidas,2006-06-01,1,1
QUILLACOLLO,intoxicaciones,plaguicidas,2006-06-01,7,7
SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2006-06-01,2,2
SAPAHAQUI,intoxicaciones,plaguicidas,2006-06-01,1,1
SUCRE,intoxicaciones,plaguicidas,2006-06-01,3,3
TARIJA,intoxicaciones,plaguicidas,2006-06-01,5,5
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2006-06-01,1,1
TOTORA(CBBA),intoxicaciones,plaguicidas,2006-06-01,4,4
VACAS,intoxicaciones,plaguicidas,2006-06-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2006-06-01,3,3
YACUIBA,intoxicaciones,plaguicidas,2006-06-01,1,1
ACACIO,intoxicaciones,plaguicidas,2006-07-01,1,1
ACHACACHI,intoxicaciones,plaguicidas,2006-07-01,1,1
ASCENCION DE GUARAYOS,intoxicaciones,plaguicidas,2006-07-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),intoxicaciones,plaguicidas,2006-07-01,11,11
BERMEJO,intoxicaciones,plaguicidas,2006-07-01,1,1
BETANZOS,intoxicaciones,plaguicidas,2006-07-01,1,1
CALAMARCA,intoxicaciones,plaguicidas,2006-07-01,1,1
CARANAVI,intoxicaciones,plaguicidas,2006-07-01,6,6
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2006-07-01,4,4
COBIJA,intoxicaciones,plaguicidas,2006-07-01,3,3
COCHABAMBA,intoxicaciones,plaguicidas,2006-07-01,26,26
CORIPATA,intoxicaciones,plaguicidas,2006-07-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2006-07-01,22,22
GUANAY,intoxicaciones,plaguicidas,2006-07-01,3,3
LA PAZ,intoxicaciones,plaguicidas,2006-07-01,17,17
MINEROS,intoxicaciones,plaguicidas,2006-07-01,1,1
MONTERO,intoxicaciones,plaguicidas,2006-07-01,1,1
ORURO,intoxicaciones,plaguicidas,2006-07-01,3,3
PUCARANI,intoxicaciones,plaguicidas,2006-07-01,4,4
PUNA,intoxicaciones,plaguicidas,2006-07-01,3,3
PUNATA,intoxicaciones,plaguicidas,2006-07-01,1,1
SAN IGNACIO,intoxicaciones,plaguicidas,2006-07-01,1,1
SUCRE,intoxicaciones,plaguicidas,2006-07-01,1,1
TARIJA,intoxicaciones,plaguicidas,2006-07-01,5,5
VACAS,intoxicaciones,plaguicidas,2006-07-01,3,3
VILLA TUNARI,intoxicaciones,plaguicidas,2006-07-01,2,2
VILLAZON,intoxicaciones,plaguicidas,2006-07-01,2,2
ACACIO,intoxicaciones,plaguicidas,2006-08-01,1,1
BATALLAS,intoxicaciones,plaguicidas,2006-08-01,2,2
CAJUATA,intoxicaciones,plaguicidas,2006-08-01,1,1
CALAMARCA,intoxicaciones,plaguicidas,2006-08-01,1,1
CAMARGO,intoxicaciones,plaguicidas,2006-08-01,1,1
CARANAVI,intoxicaciones,plaguicidas,2006-08-01,4,4
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2006-08-01,1,1
CLIZA,intoxicaciones,plaguicidas,2006-08-01,1,1
COBIJA,intoxicaciones,plaguicidas,2006-08-01,6,6
COCHABAMBA,intoxicaciones,plaguicidas,2006-08-01,47,47
COLOMI,intoxicaciones,plaguicidas,2006-08-01,2,2
COMARAPA,intoxicaciones,plaguicidas,2006-08-01,1,1
CORIPATA,intoxicaciones,plaguicidas,2006-08-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2006-08-01,10,10
ICHOCA,intoxicaciones,plaguicidas,2006-08-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2006-08-01,31,31
LURIBAY,intoxicaciones,plaguicidas,2006-08-01,4,4
ORURO,intoxicaciones,plaguicidas,2006-08-01,7,7
PAPEL PAMPA,intoxicaciones,plaguicidas,2006-08-01,1,1
PUCARANI,intoxicaciones,plaguicidas,2006-08-01,1,1
PUERTO CARABUCO,intoxicaciones,plaguicidas,2006-08-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2006-08-01,3,3
PUNA,intoxicaciones,plaguicidas,2006-08-01,1,1
PUNATA,intoxicaciones,plaguicidas,2006-08-01,3,3
QUILLACOLLO,intoxicaciones,plaguicidas,2006-08-01,3,3
SAN IGNACIO,intoxicaciones,plaguicidas,2006-08-01,1,1
SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2006-08-01,1,1
SAPAHAQUI,intoxicaciones,plaguicidas,2006-08-01,1,1
SUCRE,intoxicaciones,plaguicidas,2006-08-01,3,3
TARIJA,intoxicaciones,plaguicidas,2006-08-01,2,2
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2006-08-01,2,2
TORO TORO,intoxicaciones,plaguicidas,2006-08-01,1,1
VALLEGRANDE,intoxicaciones,plaguicidas,2006-08-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2006-08-01,4,4
VILLAZON,intoxicaciones,plaguicidas,2006-08-01,4,4
WARNES,intoxicaciones,plaguicidas,2006-08-01,1,1
YAPACANI,intoxicaciones,plaguicidas,2006-08-01,1,1
BETANZOS,intoxicaciones,plaguicidas,2006-09-01,1,1
CAIROMA,intoxicaciones,plaguicidas,2006-09-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2006-09-01,24,24
COLOMI,intoxicaciones,plaguicidas,2006-09-01,1,1
COMARAPA,intoxicaciones,plaguicidas,2006-09-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2006-09-01,16,16
IRUPANA (VILLA DE LANZA),intoxicaciones,plaguicidas,2006-09-01,2,2
LA PAZ,intoxicaciones,plaguicidas,2006-09-01,19,19
MIZQUE,intoxicaciones,plaguicidas,2006-09-01,1,1
MOJOCOYA,intoxicaciones,plaguicidas,2006-09-01,1,1
MONTERO,intoxicaciones,plaguicidas,2006-09-01,1,1
ORURO,intoxicaciones,plaguicidas,2006-09-01,15,15
PALCA,intoxicaciones,plaguicidas,2006-09-01,1,1
PUERTO ACOSTA,intoxicaciones,plaguicidas,2006-09-01,1,1
PUERTO CARABUCO,intoxicaciones,plaguicidas,2006-09-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2006-09-01,2,2
PUNATA,intoxicaciones,plaguicidas,2006-09-01,1,1
QUILLACOLLO,intoxicaciones,plaguicidas,2006-09-01,17,17
SAIPINA,intoxicaciones,plaguicidas,2006-09-01,1,1
SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2006-09-01,1,1
SUCRE,intoxicaciones,plaguicidas,2006-09-01,3,3
TARIJA,intoxicaciones,plaguicidas,2006-09-01,3,3
TOTORA(ORR),intoxicaciones,plaguicidas,2006-09-01,3,3
VACAS,intoxicaciones,plaguicidas,2006-09-01,5,5
VALLEGRANDE,intoxicaciones,plaguicidas,2006-09-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2006-09-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),intoxicaciones,plaguicidas,2006-09-01,1,1
VILLAZON,intoxicaciones,plaguicidas,2006-09-01,3,3
WARNES,intoxicaciones,plaguicidas,2006-09-01,1,1
YACO,intoxicaciones,plaguicidas,2006-09-01,6,6
ACHACACHI,intoxicaciones,plaguicidas,2006-10-01,4,4
ANCORAIMES,intoxicaciones,plaguicidas,2006-10-01,1,1
BATALLAS,intoxicaciones,plaguicidas,2006-10-01,1,1
BETANZOS,intoxicaciones,plaguicidas,2006-10-01,3,3
CABEZAS,intoxicaciones,plaguicidas,2006-10-01,1,1
CAMIRI,intoxicaciones,plaguicidas,2006-10-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2006-10-01,31,31
COLOMI,intoxicaciones,plaguicidas,2006-10-01,3,3
EL ALTO,intoxicaciones,plaguicidas,2006-10-01,9,9
LA ASUNTA,intoxicaciones,plaguicidas,2006-10-01,5,5
LA PAZ,intoxicaciones,plaguicidas,2006-10-01,17,17
MONTERO,intoxicaciones,plaguicidas,2006-10-01,2,2
ORURO,intoxicaciones,plaguicidas,2006-10-01,14,14
PAPEL PAMPA,intoxicaciones,plaguicidas,2006-10-01,2,2
PUCARANI,intoxicaciones,plaguicidas,2006-10-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2006-10-01,1,1
QUILLACOLLO,intoxicaciones,plaguicidas,2006-10-01,6,6
SACABA,intoxicaciones,plaguicidas,2006-10-01,1,1
SACABAMBA,intoxicaciones,plaguicidas,2006-10-01,1,1
SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2006-10-01,1,1
TARIJA,intoxicaciones,plaguicidas,2006-10-01,8,8
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2006-10-01,2,2
TORO TORO,intoxicaciones,plaguicidas,2006-10-01,1,1
TUPIZA,intoxicaciones,plaguicidas,2006-10-01,2,2
VALLEGRANDE,intoxicaciones,plaguicidas,2006-10-01,1,1
VILLA MONTES,intoxicaciones,plaguicidas,2006-10-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2006-10-01,3,3
WARNES,intoxicaciones,plaguicidas,2006-10-01,1,1
ACHACACHI,intoxicaciones,plaguicidas,2006-11-01,3,3
BETANZOS,intoxicaciones,plaguicidas,2006-11-01,3,3
BUENA VISTA,intoxicaciones,plaguicidas,2006-11-01,2,2
CAIROMA,intoxicaciones,plaguicidas,2006-11-01,1,1
CAJUATA,intoxicaciones,plaguicidas,2006-11-01,2,2
CALAMARCA,intoxicaciones,plaguicidas,2006-11-01,1,1
CARANAVI,intoxicaciones,plaguicidas,2006-11-01,1,1
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2006-11-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2006-11-01,15,15
COLOMI,intoxicaciones,plaguicidas,2006-11-01,7,7
COMARAPA,intoxicaciones,plaguicidas,2006-11-01,1,1
COPACABANA,intoxicaciones,plaguicidas,2006-11-01,3,3
CORIPATA,intoxicaciones,plaguicidas,2006-11-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2006-11-01,20,20
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2006-11-01,1,1
GUANAY,intoxicaciones,plaguicidas,2006-11-01,1,1
LA ASUNTA,intoxicaciones,plaguicidas,2006-11-01,2,2
LA GUARDIA,intoxicaciones,plaguicidas,2006-11-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2006-11-01,18,18
MAIRANA,intoxicaciones,plaguicidas,2006-11-01,1,1
MOCOMOCO,intoxicaciones,plaguicidas,2006-11-01,1,1
MONTERO,intoxicaciones,plaguicidas,2006-11-01,8,8
ORURO,intoxicaciones,plaguicidas,2006-11-01,8,8
POSTRER VALLE,intoxicaciones,plaguicidas,2006-11-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2006-11-01,1,1
SACABA,intoxicaciones,plaguicidas,2006-11-01,1,1
SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2006-11-01,2,2
SAN PEDRO DE BUENA VISTA,intoxicaciones,plaguicidas,2006-11-01,1,1
SUCRE,intoxicaciones,plaguicidas,2006-11-01,9,9
TARIJA,intoxicaciones,plaguicidas,2006-11-01,4,4
TOTORA(ORR),intoxicaciones,plaguicidas,2006-11-01,3,3
VILLA MONTES,intoxicaciones,plaguicidas,2006-11-01,2,2
VILLA TUNARI,intoxicaciones,plaguicidas,2006-11-01,2,2
WARNES,intoxicaciones,plaguicidas,2006-11-01,1,1
YACUIBA,intoxicaciones,plaguicidas,2006-11-01,2,2
YAPACANI,intoxicaciones,plaguicidas,2006-11-01,1,1
ANCORAIMES,intoxicaciones,plaguicidas,2006-12-01,1,1
BETANZOS,intoxicaciones,plaguicidas,2006-12-01,1,1
CAIROMA,intoxicaciones,plaguicidas,2006-12-01,1,1
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2006-12-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2006-12-01,19,19
COLOMI,intoxicaciones,plaguicidas,2006-12-01,5,5
EL ALTO,intoxicaciones,plaguicidas,2006-12-01,26,26
EL PUENTE(TJA),intoxicaciones,plaguicidas,2006-12-01,1,1
EL TORNO,intoxicaciones,plaguicidas,2006-12-01,2,2
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2006-12-01,1,1
IRUPANA (VILLA DE LANZA),intoxicaciones,plaguicidas,2006-12-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2006-12-01,15,15
MAIRANA,intoxicaciones,plaguicidas,2006-12-01,1,1
MINEROS,intoxicaciones,plaguicidas,2006-12-01,1,1
MONTERO,intoxicaciones,plaguicidas,2006-12-01,5,5
ORURO,intoxicaciones,plaguicidas,2006-12-01,8,8
PUCARANI,intoxicaciones,plaguicidas,2006-12-01,2,2
PUNATA,intoxicaciones,plaguicidas,2006-12-01,3,3
SACABA,intoxicaciones,plaguicidas,2006-12-01,2,2
SAMAIPATA,intoxicaciones,plaguicidas,2006-12-01,3,3
SUCRE,intoxicaciones,plaguicidas,2006-12-01,5,5
TACACOMA,intoxicaciones,plaguicidas,2006-12-01,1,1
TARIJA,intoxicaciones,plaguicidas,2006-12-01,8,8
VILLA TUNARI,intoxicaciones,plaguicidas,2006-12-01,8,8
