,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,
ACACIO,talla para la edad (t/e),talla normal (t n),2009-01-01,24,24,16,17,23,25,63,66,129
ACHACACHI,talla para la edad (t/e),talla normal (t n),2009-01-01,190,239,107,90,166,153,463,482,945
ACHOCALLA,talla para la edad (t/e),talla normal (t n),2009-01-01,13,10,8,16,12,22,33,48,81
AIQUILE,talla para la edad (t/e),talla normal (t n),2009-01-01,133,107,79,81,106,79,318,267,585
ALALAY,talla para la edad (t/e),talla normal (t n),2009-01-01,21,10,3,2,4,9,28,21,49
ALCALA,talla para la edad (t/e),talla normal (t n),2009-01-01,23,21,16,20,48,57,87,98,185
ANCORAIMES,talla para la edad (t/e),talla normal (t n),2009-01-01,46,61,23,31,76,66,145,158,303
ANDAMARCA,talla para la edad (t/e),talla normal (t n),2009-01-01,15,19,17,14,40,24,72,57,129
ANTEQUERA,talla para la edad (t/e),talla normal (t n),2009-01-01,18,22,15,13,15,20,48,55,103
ANZALDO,talla para la edad (t/e),talla normal (t n),2009-01-01,9,13,18,19,7,11,34,43,77
APOLO,talla para la edad (t/e),talla normal (t n),2009-01-01,84,84,61,67,91,83,236,234,470
ARAMPAMPA,talla para la edad (t/e),talla normal (t n),2009-01-01,20,15,8,18,17,24,45,57,102
ARANI,talla para la edad (t/e),talla normal (t n),2009-01-01,81,57,42,38,66,63,189,158,347
ARBIETO,talla para la edad (t/e),talla normal (t n),2009-01-01,63,74,52,56,86,100,201,230,431
ARQUE,talla para la edad (t/e),talla normal (t n),2009-01-01,49,62,39,17,34,32,122,111,233
ASCENCION DE GUARAYOS,talla para la edad (t/e),talla normal (t n),2009-01-01,33,30,4,4,5,5,42,39,81
ATOCHA,talla para la edad (t/e),talla normal (t n),2009-01-01,58,29,31,33,50,59,139,121,260
AUCAPATA,talla para la edad (t/e),talla normal (t n),2009-01-01,32,19,16,11,36,28,84,58,142
AYATA,talla para la edad (t/e),talla normal (t n),2009-01-01,38,23,11,10,15,22,64,55,119
AYO AYO,talla para la edad (t/e),talla normal (t n),2009-01-01,36,38,31,24,12,15,79,77,156
AYOPAYA (V. DE INDEPENDENCIA),talla para la edad (t/e),talla normal (t n),2009-01-01,98,88,94,82,65,73,257,243,500
AZURDUY,talla para la edad (t/e),talla normal (t n),2009-01-01,31,28,27,29,59,42,117,99,216
BATALLAS,talla para la edad (t/e),talla normal (t n),2009-01-01,83,88,43,28,87,66,213,182,395
BAURES,talla para la edad (t/e),talla normal (t n),2009-01-01,26,30,12,14,23,34,61,78,139
BELEN DE ANDAMARCA,talla para la edad (t/e),talla normal (t n),2009-01-01,3,3,2,3,4,5,9,11,20
BELEN DE URMIRI,talla para la edad (t/e),talla normal (t n),2009-01-01,8,8,5,6,8,11,21,25,46
BELLA FLOR,talla para la edad (t/e),talla normal (t n),2009-01-01,7,7,10,6,17,11,34,24,58
BERMEJO,talla para la edad (t/e),talla normal (t n),2009-01-01,35,35,22,22,39,48,96,105,201
BETANZOS,talla para la edad (t/e),talla normal (t n),2009-01-01,160,171,144,119,135,141,439,431,870
BOLIVAR,talla para la edad (t/e),talla normal (t n),2009-01-01,13,9,7,13,17,17,37,39,76
BOLPEBRA,talla para la edad (t/e),talla normal (t n),2009-01-01,4,6,8,6,9,12,21,24,45
BOYUIBE,talla para la edad (t/e),talla normal (t n),2009-01-01,21,22,22,16,46,34,89,72,161
BUENA VISTA,talla para la edad (t/e),talla normal (t n),2009-01-01,32,38,49,27,45,58,126,123,249
CABEZAS,talla para la edad (t/e),talla normal (t n),2009-01-01,7,11,4,3,8,5,19,19,38
CAIROMA,talla para la edad (t/e),talla normal (t n),2009-01-01,52,45,26,19,35,35,113,99,212
"CAIZA ""D""",talla para la edad (t/e),talla normal (t n),2009-01-01,34,32,28,21,17,28,79,81,160
CAJUATA,talla para la edad (t/e),talla normal (t n),2009-01-01,79,54,40,34,62,59,181,147,328
CALACOTO,talla para la edad (t/e),talla normal (t n),2009-01-01,14,11,22,20,21,20,57,51,108
CALAMARCA,talla para la edad (t/e),talla normal (t n),2009-01-01,51,71,31,41,43,46,125,158,283
CAMARGO,talla para la edad (t/e),talla normal (t n),2009-01-01,101,110,81,83,133,158,315,351,666
CAMATAQUI (C. VILLA ABECIA),talla para la edad (t/e),talla normal (t n),2009-01-01,24,22,17,21,42,28,83,71,154
CAMIRI,talla para la edad (t/e),talla normal (t n),2009-01-01,120,126,60,60,147,125,327,311,638
CAPINOTA,talla para la edad (t/e),talla normal (t n),2009-01-01,30,11,14,20,20,14,64,45,109
CAQUIAVIRI,talla para la edad (t/e),talla normal (t n),2009-01-01,38,34,20,15,23,49,81,98,179
CARACOLLO,talla para la edad (t/e),talla normal (t n),2009-01-01,102,124,86,81,41,35,229,240,469
CARANAVI,talla para la edad (t/e),talla normal (t n),2009-01-01,287,264,149,136,164,148,600,548,1148
CARAPARI,talla para la edad (t/e),talla normal (t n),2009-01-01,89,89,109,90,85,80,283,259,542
CARIPUYO,talla para la edad (t/e),talla normal (t n),2009-01-01,38,22,17,15,31,43,86,80,166
CARMEN RIVERO TORREZ,talla para la edad (t/e),talla normal (t n),2009-01-01,21,8,25,20,11,18,57,46,103
CATACORA,talla para la edad (t/e),talla normal (t n),2009-01-01,0,4,4,4,6,4,10,12,22
CHALLAPATA,talla para la edad (t/e),talla normal (t n),2009-01-01,169,156,101,109,74,89,344,354,698
CHAQUI,talla para la edad (t/e),talla normal (t n),2009-01-01,36,23,19,9,13,13,68,45,113
CHARAGUA,talla para la edad (t/e),talla normal (t n),2009-01-01,61,56,38,38,55,63,154,157,311
CHARAÑA,talla para la edad (t/e),talla normal (t n),2009-01-01,5,9,2,4,6,6,13,19,32
CHAYANTA,talla para la edad (t/e),talla normal (t n),2009-01-01,42,47,26,32,40,42,108,121,229
CHIMORE,talla para la edad (t/e),talla normal (t n),2009-01-01,49,45,63,48,63,76,175,169,344
CHIPAYA,talla para la edad (t/e),talla normal (t n),2009-01-01,8,9,4,2,1,4,13,15,28
CHOQUE COTA,talla para la edad (t/e),talla normal (t n),2009-01-01,10,6,5,6,4,2,19,14,33
CHULUMANI (V. DE LA LIBERTAD),talla para la edad (t/e),talla normal (t n),2009-01-01,4,2,2,1,0,2,6,5,11
CHUMA,talla para la edad (t/e),talla normal (t n),2009-01-01,52,46,29,29,27,30,108,105,213
CLIZA,talla para la edad (t/e),talla normal (t n),2009-01-01,114,65,74,62,79,97,267,224,491
COBIJA,talla para la edad (t/e),talla normal (t n),2009-01-01,377,346,214,193,251,259,842,798,1640
COCHABAMBA,talla para la edad (t/e),talla normal (t n),2009-01-01,7,1,5,6,2,7,14,14,28
COIPASA,talla para la edad (t/e),talla normal (t n),2009-01-01,5,4,6,2,2,5,13,11,24
COLCAPIRHUA,talla para la edad (t/e),talla normal (t n),2009-01-01,235,170,113,97,134,93,482,360,842
"COLCHA ""K""",talla para la edad (t/e),talla normal (t n),2009-01-01,38,57,25,15,24,28,87,100,187
COLLANA,talla para la edad (t/e),talla normal (t n),2009-01-01,5,14,9,6,14,13,28,33,61
COLOMI,talla para la edad (t/e),talla normal (t n),2009-01-01,115,120,60,41,49,58,224,219,443
COLPA BELGICA,talla para la edad (t/e),talla normal (t n),2009-01-01,23,24,14,12,19,19,56,55,111
COLQUECHACA,talla para la edad (t/e),talla normal (t n),2009-01-01,157,150,111,126,46,45,314,321,635
COLQUENCHA,talla para la edad (t/e),talla normal (t n),2009-01-01,41,35,43,33,30,37,114,105,219
COLQUIRI,talla para la edad (t/e),talla normal (t n),2009-01-01,109,97,40,44,62,53,211,194,405
COMANCHE,talla para la edad (t/e),talla normal (t n),2009-01-01,1,3,1,2,1,3,3,8,11
COMARAPA,talla para la edad (t/e),talla normal (t n),2009-01-01,91,90,20,33,35,38,146,161,307
COMBAYA,talla para la edad (t/e),talla normal (t n),2009-01-01,6,10,10,11,11,13,27,34,61
CONCEPCION,talla para la edad (t/e),talla normal (t n),2009-01-01,124,133,58,52,56,66,238,251,489
COPACABANA,talla para la edad (t/e),talla normal (t n),2009-01-01,50,46,20,31,57,39,127,116,243
CORO CORO,talla para la edad (t/e),talla normal (t n),2009-01-01,37,32,34,25,20,13,91,70,161
CORQUE,talla para la edad (t/e),talla normal (t n),2009-01-01,32,31,20,16,29,27,81,74,155
COTAGAITA,talla para la edad (t/e),talla normal (t n),2009-01-01,98,101,67,61,112,111,277,273,550
COTOCA,talla para la edad (t/e),talla normal (t n),2009-01-01,302,289,144,144,190,183,636,616,1252
CUATRO CAÑADAS,talla para la edad (t/e),talla normal (t n),2009-01-01,12,13,15,7,32,44,59,64,123
CUCHUMUELA (V. G. VILLARROEL),talla para la edad (t/e),talla normal (t n),2009-01-01,1,3,2,1,0,2,3,6,9
CUEVO,talla para la edad (t/e),talla normal (t n),2009-01-01,33,20,10,20,28,47,71,87,158
CULPINA,talla para la edad (t/e),talla normal (t n),2009-01-01,106,129,90,94,167,149,363,372,735
CURAHUARA DE CARANGAS,talla para la edad (t/e),talla normal (t n),2009-01-01,35,31,25,24,19,14,79,69,148
CURVA,talla para la edad (t/e),talla normal (t n),2009-01-01,14,12,3,5,6,13,23,30,53
DESAGUADERO,talla para la edad (t/e),talla normal (t n),2009-01-01,23,25,7,13,8,13,38,51,89
EL ALTO,talla para la edad (t/e),talla normal (t n),2009-01-01,3409,3106,1429,1400,1193,1130,6031,5636,11667
EL CHORO,talla para la edad (t/e),talla normal (t n),2009-01-01,27,21,23,11,9,3,59,35,94
EL PUENTE(STC),talla para la edad (t/e),talla normal (t n),2009-01-01,57,48,47,45,61,62,165,155,320
EL PUENTE(TJA),talla para la edad (t/e),talla normal (t n),2009-01-01,43,34,33,27,56,67,132,128,260
EL TORNO,talla para la edad (t/e),talla normal (t n),2009-01-01,220,209,98,104,97,113,415,426,841
EL VILLAR,talla para la edad (t/e),talla normal (t n),2009-01-01,30,32,31,24,67,61,128,117,245
ENTRE RIOS,talla para la edad (t/e),talla normal (t n),2009-01-01,140,110,96,105,120,105,356,320,676
ENTRE RIOS,talla para la edad (t/e),talla normal (t n),2009-01-01,242,144,95,114,174,155,511,413,924
ESMERALDA,talla para la edad (t/e),talla normal (t n),2009-01-01,1,4,0,0,3,1,4,5,9
EUCALIPTUS,talla para la edad (t/e),talla normal (t n),2009-01-01,36,25,33,29,30,16,99,70,169
EUREKA (SANTOS MERCADO),talla para la edad (t/e),talla normal (t n),2009-01-01,7,3,5,3,9,12,21,18,39
EXALTACION,talla para la edad (t/e),talla normal (t n),2009-01-01,8,9,7,6,5,10,20,25,45
FERNANDEZ ALONSO,talla para la edad (t/e),talla normal (t n),2009-01-01,66,58,41,33,58,78,165,169,334
FILADELFIA,talla para la edad (t/e),talla normal (t n),2009-01-01,12,11,18,9,16,13,46,33,79
GENERAL SAAVEDRA,talla para la edad (t/e),talla normal (t n),2009-01-01,103,117,74,84,96,106,273,307,580
GRAL. J.J. PEREZ (CHARAZANI),talla para la edad (t/e),talla normal (t n),2009-01-01,48,35,24,26,34,37,106,98,204
GUANAY,talla para la edad (t/e),talla normal (t n),2009-01-01,60,67,36,27,26,33,122,127,249
GUAQUI,talla para la edad (t/e),talla normal (t n),2009-01-01,14,25,5,6,5,6,24,37,61
GUAYARAMERIN,talla para la edad (t/e),talla normal (t n),2009-01-01,270,231,136,110,124,124,530,465,995
GUTIERREZ,talla para la edad (t/e),talla normal (t n),2009-01-01,62,75,73,49,84,106,219,230,449
HUACARETA,talla para la edad (t/e),talla normal (t n),2009-01-01,54,33,29,32,73,86,156,151,307
HUACAYA (VILLA DE HUACAYA),talla para la edad (t/e),talla normal (t n),2009-01-01,21,13,20,16,56,48,97,77,174
HUACHACALLA,talla para la edad (t/e),talla normal (t n),2009-01-01,7,7,3,3,9,6,19,16,35
HUANUNI,talla para la edad (t/e),talla normal (t n),2009-01-01,110,145,55,79,48,62,213,286,499
HUARACAJE,talla para la edad (t/e),talla normal (t n),2009-01-01,34,30,8,20,32,29,74,79,153
HUAYLLAMARCA,talla para la edad (t/e),talla normal (t n),2009-01-01,24,38,19,16,20,21,63,75,138
ICHOCA,talla para la edad (t/e),talla normal (t n),2009-01-01,7,8,5,7,3,8,15,23,38
ICLA,talla para la edad (t/e),talla normal (t n),2009-01-01,62,55,48,54,158,148,268,257,525
INCAHUASI,talla para la edad (t/e),talla normal (t n),2009-01-01,131,125,68,83,144,122,343,330,673
INGAVI (HUMAITA),talla para la edad (t/e),talla normal (t n),2009-01-01,6,4,2,1,3,6,11,11,22
INQUISIVI,talla para la edad (t/e),talla normal (t n),2009-01-01,70,56,35,28,41,47,146,131,277
IRUPANA (VILLA DE LANZA),talla para la edad (t/e),talla normal (t n),2009-01-01,82,76,46,46,70,107,198,229,427
IXIAMAS,talla para la edad (t/e),talla normal (t n),2009-01-01,49,43,21,21,38,43,108,107,215
JESUS DE MACHACA,talla para la edad (t/e),talla normal (t n),2009-01-01,55,54,23,32,74,72,152,158,310
LA ASUNTA,talla para la edad (t/e),talla normal (t n),2009-01-01,72,54,35,35,24,24,131,113,244
LA GUARDIA,talla para la edad (t/e),talla normal (t n),2009-01-01,374,330,162,180,244,207,780,717,1497
LA PAZ,talla para la edad (t/e),talla normal (t n),2009-01-01,2636,2357,1175,1107,1575,1549,5386,5013,10399
LA RIVERA,talla para la edad (t/e),talla normal (t n),2009-01-01,1,2,0,0,1,0,2,2,4
LAGUNILLAS,talla para la edad (t/e),talla normal (t n),2009-01-01,63,46,59,44,121,113,243,203,446
LAJA,talla para la edad (t/e),talla normal (t n),2009-01-01,92,92,58,44,66,72,216,208,424
LAS CARRERAS,talla para la edad (t/e),talla normal (t n),2009-01-01,32,14,19,16,57,47,108,77,185
LICOMA PAMPA,talla para la edad (t/e),talla normal (t n),2009-01-01,7,6,2,11,13,17,22,34,56
LLALLAGUA,talla para la edad (t/e),talla normal (t n),2009-01-01,198,218,84,115,83,78,365,411,776
LLICA,talla para la edad (t/e),talla normal (t n),2009-01-01,18,17,8,8,18,9,44,34,78
LORETO,talla para la edad (t/e),talla normal (t n),2009-01-01,8,7,4,11,16,20,28,38,66
LURIBAY,talla para la edad (t/e),talla normal (t n),2009-01-01,40,43,42,33,29,28,111,104,215
