municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,desnutricion global,sobrepeso (s),2005-01-01,1,5,0,0,1,5,6
ACHACACHI,desnutricion global,sobrepeso (s),2005-01-01,22,25,6,229,28,254,282
AIQUILE,desnutricion global,sobrepeso (s),2005-01-01,6,5,0,1,6,6,12
ALALAY,desnutricion global,sobrepeso (s),2005-01-01,5,9,15,3,20,12,32
ALCALA,desnutricion global,sobrepeso (s),2005-01-01,9,6,1,2,10,8,18
ANCORAIMES,desnutricion global,sobrepeso (s),2005-01-01,2,4,2,3,4,7,11
ANDAMARCA,desnutricion global,sobrepeso (s),2005-01-01,2,0,1,1,3,1,4
ANTEQUERA,desnutricion global,sobrepeso (s),2005-01-01,0,2,0,0,0,2,2
APOLO,desnutricion global,sobrepeso (s),2005-01-01,13,3,1,2,14,5,19
ARAMPAMPA,desnutricion global,sobrepeso (s),2005-01-01,0,1,0,0,0,1,1
ARANI,desnutricion global,sobrepeso (s),2005-01-01,6,3,1,1,7,4,11
ARBIETO,desnutricion global,sobrepeso (s),2005-01-01,2,3,0,0,2,3,5
ARQUE,desnutricion global,sobrepeso (s),2005-01-01,0,1,0,0,0,1,1
ATOCHA,desnutricion global,sobrepeso (s),2005-01-01,33,26,3,4,36,30,66
AUCAPATA,desnutricion global,sobrepeso (s),2005-01-01,6,4,1,1,7,5,12
AYATA,desnutricion global,sobrepeso (s),2005-01-01,7,3,3,0,10,3,13
AYO AYO,desnutricion global,sobrepeso (s),2005-01-01,10,9,0,2,10,11,21
AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,sobrepeso (s),2005-01-01,6,14,2,7,8,21,29
AZURDUY,desnutricion global,sobrepeso (s),2005-01-01,18,4,3,0,21,4,25
BATALLAS,desnutricion global,sobrepeso (s),2005-01-01,11,8,4,2,15,10,25
BAURES,desnutricion global,sobrepeso (s),2005-01-01,17,0,8,0,25,0,25
BELEN DE ANDAMARCA,desnutricion global,sobrepeso (s),2005-01-01,0,0,1,0,1,0,1
BELEN DE URMIRI,desnutricion global,sobrepeso (s),2005-01-01,0,1,0,1,0,2,2
BELLA FLOR,desnutricion global,sobrepeso (s),2005-01-01,1,0,1,1,2,1,3
BERMEJO,desnutricion global,sobrepeso (s),2005-01-01,19,9,7,0,26,9,35
BETANZOS,desnutricion global,sobrepeso (s),2005-01-01,17,9,1,1,18,10,28
BOLIVAR,desnutricion global,sobrepeso (s),2005-01-01,3,7,1,1,4,8,12
BOYUIBE,desnutricion global,sobrepeso (s),2005-01-01,6,3,0,1,6,4,10
BUENA VISTA,desnutricion global,sobrepeso (s),2005-01-01,43,31,10,6,53,37,90
CABEZAS,desnutricion global,sobrepeso (s),2005-01-01,29,14,11,5,40,19,59
CAIROMA,desnutricion global,sobrepeso (s),2005-01-01,3,4,0,1,3,5,8
