municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,desnutricion global,desnutricion leve (l),2005-01-01,24,18,53,41,77,59,136
ACHACACHI,desnutricion global,desnutricion leve (l),2005-01-01,42,49,49,68,91,117,208
ACHOCALLA,desnutricion global,desnutricion leve (l),2005-01-01,24,32,8,10,32,42,74
AIQUILE,desnutricion global,desnutricion leve (l),2005-01-01,14,22,12,25,26,47,73
ALALAY,desnutricion global,desnutricion leve (l),2005-01-01,3,4,5,3,8,7,15
ALCALA,desnutricion global,desnutricion leve (l),2005-01-01,9,8,33,31,42,39,81
ANCORAIMES,desnutricion global,desnutricion leve (l),2005-01-01,37,35,44,74,81,109,190
ANDAMARCA,desnutricion global,desnutricion leve (l),2005-01-01,2,2,1,1,3,3,6
ANTEQUERA,desnutricion global,desnutricion leve (l),2005-01-01,2,7,4,3,6,10,16
ANZALDO,desnutricion global,desnutricion leve (l),2005-01-01,1,1,8,5,9,6,15
APOLO,desnutricion global,desnutricion leve (l),2005-01-01,16,12,24,31,40,43,83
ARAMPAMPA,desnutricion global,desnutricion leve (l),2005-01-01,13,12,21,26,34,38,72
ARANI,desnutricion global,desnutricion leve (l),2005-01-01,19,8,4,2,23,10,33
ARBIETO,desnutricion global,desnutricion leve (l),2005-01-01,5,7,8,8,13,15,28
ARQUE,desnutricion global,desnutricion leve (l),2005-01-01,28,35,23,43,51,78,129
ATOCHA,desnutricion global,desnutricion leve (l),2005-01-01,29,30,40,35,69,65,134
AUCAPATA,desnutricion global,desnutricion leve (l),2005-01-01,11,3,2,7,13,10,23
AYATA,desnutricion global,desnutricion leve (l),2005-01-01,25,17,12,19,37,36,73
AYO AYO,desnutricion global,desnutricion leve (l),2005-01-01,7,8,14,6,21,14,35
AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,desnutricion leve (l),2005-01-01,29,30,26,27,55,57,112
AZURDUY,desnutricion global,desnutricion leve (l),2005-01-01,39,57,73,90,112,147,259
BATALLAS,desnutricion global,desnutricion leve (l),2005-01-01,22,11,15,11,37,22,59
BAURES,desnutricion global,desnutricion leve (l),2005-01-01,17,0,17,0,34,0,34
BELEN DE ANDAMARCA,desnutricion global,desnutricion leve (l),2005-01-01,1,1,1,0,2,1,3
BELEN DE URMIRI,desnutricion global,desnutricion leve (l),2005-01-01,3,0,5,7,8,7,15
BELLA FLOR,desnutricion global,desnutricion leve (l),2005-01-01,2,3,4,3,6,6,12
BERMEJO,desnutricion global,desnutricion leve (l),2005-01-01,3,5,0,8,3,13,16
BETANZOS,desnutricion global,desnutricion leve (l),2005-01-01,67,108,113,123,180,231,411
BOLIVAR,desnutricion global,desnutricion leve (l),2005-01-01,25,29,33,32,58,61,119
BOLPEBRA,desnutricion global,desnutricion leve (l),2005-01-01,1,0,2,1,3,1,4
BOYUIBE,desnutricion global,desnutricion leve (l),2005-01-01,5,10,7,3,12,13,25
BUENA VISTA,desnutricion global,desnutricion leve (l),2005-01-01,24,13,25,37,49,50,99
CABEZAS,desnutricion global,desnutricion leve (l),2005-01-01,32,24,21,29,53,53,106
CAIROMA,desnutricion global,desnutricion leve (l),2005-01-01,38,28,33,37,71,65,136
"CAIZA ""D""",desnutricion global,desnutricion leve (l),2005-01-01,21,28,17,38,38,66,104
CAJUATA,desnutricion global,desnutricion leve (l),2005-01-01,18,14,27,19,45,33,78
CALACOTO,desnutricion global,desnutricion leve (l),2005-01-01,4,2,3,5,7,7,14
CALAMARCA,desnutricion global,desnutricion leve (l),2005-01-01,36,37,31,45,67,82,149
CAMARGO,desnutricion global,desnutricion leve (l),2005-01-01,66,59,63,92,129,151,280
CAMATAQUI (C. VILLA ABECIA),desnutricion global,desnutricion leve (l),2005-01-01,7,12,14,13,21,25,46
CAMIRI,desnutricion global,desnutricion leve (l),2005-01-01,64,61,57,47,121,108,229
CAPINOTA,desnutricion global,desnutricion leve (l),2005-01-01,31,34,24,19,55,53,108
CAQUIAVIRI,desnutricion global,desnutricion leve (l),2005-01-01,12,13,7,8,19,21,40
CARACOLLO,desnutricion global,desnutricion leve (l),2005-01-01,31,20,22,25,53,45,98
CARANAVI,desnutricion global,desnutricion leve (l),2005-01-01,71,65,82,89,153,154,307
CARANGAS,desnutricion global,desnutricion leve (l),2005-01-01,0,1,0,1,0,2,2
CARAPARI,desnutricion global,desnutricion leve (l),2005-01-01,11,7,9,10,20,17,37
CATACORA,desnutricion global,desnutricion leve (l),2005-01-01,9,3,8,11,17,14,31
CHACARILLA,desnutricion global,desnutricion leve (l),2005-01-01,1,2,2,0,3,2,5
CHALLAPATA,desnutricion global,desnutricion leve (l),2005-01-01,34,32,43,50,77,82,159
CHAQUI,desnutricion global,desnutricion leve (l),2005-01-01,9,1,8,0,17,1,18
CHARAGUA,desnutricion global,desnutricion leve (l),2005-01-01,48,42,66,55,114,97,211
CHARAÑA,desnutricion global,desnutricion leve (l),2005-01-01,6,8,8,6,14,14,28
CHAYANTA,desnutricion global,desnutricion leve (l),2005-01-01,62,43,45,127,107,170,277
CHIMORE,desnutricion global,desnutricion leve (l),2005-01-01,12,13,17,23,29,36,65
CHIPAYA,desnutricion global,desnutricion leve (l),2005-01-01,0,5,3,5,3,10,13
CHOQUE COTA,desnutricion global,desnutricion leve (l),2005-01-01,1,2,5,1,6,3,9
CHULUMANI (V. DE LA LIBERTAD),desnutricion global,desnutricion leve (l),2005-01-01,9,5,4,4,13,9,22
CHUMA,desnutricion global,desnutricion leve (l),2005-01-01,14,10,17,14,31,24,55
CLIZA,desnutricion global,desnutricion leve (l),2005-01-01,31,29,13,17,44,46,90
COBIJA,desnutricion global,desnutricion leve (l),2005-01-01,38,15,63,27,101,42,143
COCHABAMBA,desnutricion global,desnutricion leve (l),2005-01-01,306,274,170,169,476,443,919
COLCAPIRHUA,desnutricion global,desnutricion leve (l),2005-01-01,23,15,14,20,37,35,72
"COLCHA ""K""",desnutricion global,desnutricion leve (l),2005-01-01,7,7,9,8,16,15,31
COLLANA,desnutricion global,desnutricion leve (l),2005-01-01,2,0,3,0,5,0,5
COLOMI,desnutricion global,desnutricion leve (l),2005-01-01,26,26,18,21,44,47,91
COLPA BELGICA,desnutricion global,desnutricion leve (l),2005-01-01,2,6,10,12,12,18,30
COLQUECHACA,desnutricion global,desnutricion leve (l),2005-01-01,38,47,33,36,71,83,154
COLQUENCHA,desnutricion global,desnutricion leve (l),2005-01-01,23,14,15,20,38,34,72
COLQUIRI,desnutricion global,desnutricion leve (l),2005-01-01,44,38,41,49,85,87,172
COMANCHE,desnutricion global,desnutricion leve (l),2005-01-01,0,2,2,2,2,4,6
COMARAPA,desnutricion global,desnutricion leve (l),2005-01-01,48,34,17,19,65,53,118
COMBAYA,desnutricion global,desnutricion leve (l),2005-01-01,2,2,0,2,2,4,6
CONCEPCION,desnutricion global,desnutricion leve (l),2005-01-01,35,0,1,0,36,0,36
COPACABANA,desnutricion global,desnutricion leve (l),2005-01-01,28,12,21,7,49,19,68
CORIPATA,desnutricion global,desnutricion leve (l),2005-01-01,4,2,3,2,7,4,11
CORO CORO,desnutricion global,desnutricion leve (l),2005-01-01,23,8,13,14,36,22,58
COROICO,desnutricion global,desnutricion leve (l),2005-01-01,13,9,8,6,21,15,36
CORQUE,desnutricion global,desnutricion leve (l),2005-01-01,7,7,11,11,18,18,36
COTAGAITA,desnutricion global,desnutricion leve (l),2005-01-01,73,51,94,93,167,144,311
COTOCA,desnutricion global,desnutricion leve (l),2005-01-01,41,30,21,16,62,46,108
CUATRO CAÑADAS,desnutricion global,desnutricion leve (l),2005-01-01,5,0,15,0,20,0,20
CUCHUMUELA (V. G. VILLARROEL),desnutricion global,desnutricion leve (l),2005-01-01,3,8,4,2,7,10,17
CUEVO,desnutricion global,desnutricion leve (l),2005-01-01,7,12,11,16,18,28,46
CULPINA,desnutricion global,desnutricion leve (l),2005-01-01,77,57,105,109,182,166,348
CURAHUARA DE CARANGAS,desnutricion global,desnutricion leve (l),2005-01-01,7,4,3,7,10,11,21
CURVA,desnutricion global,desnutricion leve (l),2005-01-01,17,4,14,10,31,14,45
DESAGUADERO,desnutricion global,desnutricion leve (l),2005-01-01,8,5,5,1,13,6,19
EL ALTO,desnutricion global,desnutricion leve (l),2005-01-01,974,833,564,567,1538,1400,2938
EL CHORO,desnutricion global,desnutricion leve (l),2005-01-01,0,2,3,3,3,5,8
EL PUENTE(TJA),desnutricion global,desnutricion leve (l),2005-01-01,26,18,38,58,64,76,140
EL TORNO,desnutricion global,desnutricion leve (l),2005-01-01,19,15,22,27,41,42,83
EL VILLAR,desnutricion global,desnutricion leve (l),2005-01-01,13,17,42,36,55,53,108
ENTRE RIOS,desnutricion global,desnutricion leve (l),2005-01-01,25,16,25,31,50,47,97
ENTRE RIOS,desnutricion global,desnutricion leve (l),2005-01-01,67,49,47,35,114,84,198
EUCALIPTUS,desnutricion global,desnutricion leve (l),2005-01-01,1,6,7,4,8,10,18
EUREKA (SANTOS MERCADO),desnutricion global,desnutricion leve (l),2005-01-01,0,0,1,0,1,0,1
EXALTACION,desnutricion global,desnutricion leve (l),2005-01-01,8,1,2,4,10,5,15
FERNANDEZ ALONSO,desnutricion global,desnutricion leve (l),2005-01-01,15,25,18,17,33,42,75
FILADELFIA,desnutricion global,desnutricion leve (l),2005-01-01,2,9,11,8,13,17,30
GENERAL SAAVEDRA,desnutricion global,desnutricion leve (l),2005-01-01,70,1,85,9,155,10,165
GRAL. J.J. PEREZ (CHARAZANI),desnutricion global,desnutricion leve (l),2005-01-01,11,12,12,13,23,25,48
GUANAY,desnutricion global,desnutricion leve (l),2005-01-01,10,16,8,12,18,28,46
GUAQUI,desnutricion global,desnutricion leve (l),2005-01-01,6,5,5,4,11,9,20
GUTIERREZ,desnutricion global,desnutricion leve (l),2005-01-01,69,72,135,131,204,203,407
HUACARETA,desnutricion global,desnutricion leve (l),2005-01-01,21,38,43,58,64,96,160
HUACAYA (VILLA DE HUACAYA),desnutricion global,desnutricion leve (l),2005-01-01,8,8,10,18,18,26,44
HUANUNI,desnutricion global,desnutricion leve (l),2005-01-01,41,29,29,10,70,39,109
HUARACAJE,desnutricion global,desnutricion leve (l),2005-01-01,5,2,0,4,5,6,11
HUAYLLAMARCA,desnutricion global,desnutricion leve (l),2005-01-01,0,2,1,8,1,10,11
ICHOCA,desnutricion global,desnutricion leve (l),2005-01-01,3,10,11,12,14,22,36
ICLA,desnutricion global,desnutricion leve (l),2005-01-01,52,46,115,86,167,132,299
INCAHUASI,desnutricion global,desnutricion leve (l),2005-01-01,69,84,88,101,157,185,342
INQUISIVI,desnutricion global,desnutricion leve (l),2005-01-01,47,24,40,43,87,67,154
IRUPANA (VILLA DE LANZA),desnutricion global,desnutricion leve (l),2005-01-01,11,11,29,22,40,33,73
IXIAMAS,desnutricion global,desnutricion leve (l),2005-01-01,15,9,21,17,36,26,62
JESUS DE MACHACA,desnutricion global,desnutricion leve (l),2005-01-01,8,5,5,9,13,14,27
LA ASUNTA,desnutricion global,desnutricion leve (l),2005-01-01,24,37,24,24,48,61,109
LA GUARDIA,desnutricion global,desnutricion leve (l),2005-01-01,47,38,38,37,85,75,160
LA PAZ,desnutricion global,desnutricion leve (l),2005-01-01,545,538,387,425,932,963,1895
LA RIVERA,desnutricion global,desnutricion leve (l),2005-01-01,0,1,0,0,0,1,1
LAGUNILLAS,desnutricion global,desnutricion leve (l),2005-01-01,23,6,11,15,34,21,55
LAJA,desnutricion global,desnutricion leve (l),2005-01-01,20,13,13,9,33,22,55
LAS CARRERAS,desnutricion global,desnutricion leve (l),2005-01-01,5,9,14,14,19,23,42
LICOMA PAMPA,desnutricion global,desnutricion leve (l),2005-01-01,4,1,3,1,7,2,9
LLALLAGUA,desnutricion global,desnutricion leve (l),2005-01-01,51,41,52,43,103,84,187
LLICA,desnutricion global,desnutricion leve (l),2005-01-01,2,4,1,2,3,6,9
LORETO,desnutricion global,desnutricion leve (l),2005-01-01,2,2,6,5,8,7,15
LURIBAY,desnutricion global,desnutricion leve (l),2005-01-01,20,15,11,18,31,33,64
MACHACAMARCA,desnutricion global,desnutricion leve (l),2005-01-01,3,2,2,2,5,4,9
MACHARETI,desnutricion global,desnutricion leve (l),2005-01-01,26,20,32,32,58,52,110
MAGDALENA,desnutricion global,desnutricion leve (l),2005-01-01,42,14,13,7,55,21,76
MAIRANA,desnutricion global,desnutricion leve (l),2005-01-01,20,0,11,0,31,0,31
MALLA,desnutricion global,desnutricion leve (l),2005-01-01,2,2,2,1,4,3,7
MAPIRI,desnutricion global,desnutricion leve (l),2005-01-01,22,10,12,15,34,25,59
MECAPACA,desnutricion global,desnutricion leve (l),2005-01-01,39,17,28,34,67,51,118
MINEROS,desnutricion global,desnutricion leve (l),2005-01-01,31,25,10,27,41,52,93
MIZQUE,desnutricion global,desnutricion leve (l),2005-01-01,11,14,24,13,35,27,62
MOCOMOCO,desnutricion global,desnutricion leve (l),2005-01-01,19,11,18,30,37,41,78
MOJINETE,desnutricion global,desnutricion leve (l),2005-01-01,2,1,5,6,7,7,14
MOJOCOYA,desnutricion global,desnutricion leve (l),2005-01-01,20,16,34,39,54,55,109
MONTEAGUDO,desnutricion global,desnutricion leve (l),2005-01-01,51,46,81,74,132,120,252
MONTERO,desnutricion global,desnutricion leve (l),2005-01-01,306,47,242,43,548,90,638
MORO MORO,desnutricion global,desnutricion leve (l),2005-01-01,10,3,13,9,23,12,35
MOROCHATA,desnutricion global,desnutricion leve (l),2005-01-01,23,20,9,12,32,32,64
NACEBE (SANTA ROSA DEL ABUNA),desnutricion global,desnutricion leve (l),2005-01-01,0,0,1,0,1,0,1
NAZACARA DE PACAJES,desnutricion global,desnutricion leve (l),2005-01-01,0,0,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),desnutricion global,desnutricion leve (l),2005-01-01,1,0,2,0,3,0,3
OCURI,desnutricion global,desnutricion leve (l),2005-01-01,44,38,63,70,107,108,215
OKINAWA,desnutricion global,desnutricion leve (l),2005-01-01,23,18,8,10,31,28,59
OMEREQUE,desnutricion global,desnutricion leve (l),2005-01-01,2,0,0,0,2,0,2
ORURO,desnutricion global,desnutricion leve (l),2005-01-01,305,277,193,198,498,475,973
PADCAYA,desnutricion global,desnutricion leve (l),2005-01-01,28,17,21,26,49,43,92
PADILLA,desnutricion global,desnutricion leve (l),2005-01-01,37,34,71,81,108,115,223
PAILON,desnutricion global,desnutricion leve (l),2005-01-01,0,36,28,0,28,36,64
PALCA,desnutricion global,desnutricion leve (l),2005-01-01,51,20,31,9,82,29,111
PALOS BLANCOS,desnutricion global,desnutricion leve (l),2005-01-01,35,57,52,50,87,107,194
PAMPA AULLAGAS,desnutricion global,desnutricion leve (l),2005-01-01,3,1,4,7,7,8,15
PAMPA GRANDE,desnutricion global,desnutricion leve (l),2005-01-01,9,9,6,17,15,26,41
PAPEL PAMPA,desnutricion global,desnutricion leve (l),2005-01-01,2,4,6,5,8,9,17
PASORAPA,desnutricion global,desnutricion leve (l),2005-01-01,1,4,1,4,2,8,10
PATACAMAYA,desnutricion global,desnutricion leve (l),2005-01-01,63,74,44,43,107,117,224
PAZÑA,desnutricion global,desnutricion leve (l),2005-01-01,3,5,5,9,8,14,22
PELECHUCO,desnutricion global,desnutricion leve (l),2005-01-01,17,10,15,17,32,27,59
POCOATA,desnutricion global,desnutricion leve (l),2005-01-01,43,58,82,87,125,145,270
POCONA,desnutricion global,desnutricion leve (l),2005-01-01,12,12,4,1,16,13,29
POJO (CBBA),desnutricion global,desnutricion leve (l),2005-01-01,21,11,28,37,49,48,97
POOPO,desnutricion global,desnutricion leve (l),2005-01-01,3,1,4,0,7,1,8
PORCO,desnutricion global,desnutricion leve (l),2005-01-01,6,8,4,7,10,15,25
POROMA,desnutricion global,desnutricion leve (l),2005-01-01,53,42,59,87,112,129,241
PORONGO,desnutricion global,desnutricion leve (l),2005-01-01,8,6,6,5,14,11,25
PORTACHUELO,desnutricion global,desnutricion leve (l),2005-01-01,17,17,23,21,40,38,78
PORVENIR,desnutricion global,desnutricion leve (l),2005-01-01,4,4,2,9,6,13,19
POSTRER VALLE,desnutricion global,desnutricion leve (l),2005-01-01,4,2,4,2,8,4,12
POTOSI,desnutricion global,desnutricion leve (l),2005-01-01,201,163,132,108,333,271,604
PRESTO,desnutricion global,desnutricion leve (l),2005-01-01,32,32,52,44,84,76,160
PUCARA,desnutricion global,desnutricion leve (l),2005-01-01,2,0,1,1,3,1,4
PUCARANI,desnutricion global,desnutricion leve (l),2005-01-01,16,16,6,3,22,19,41
PUERTO ACOSTA,desnutricion global,desnutricion leve (l),2005-01-01,33,31,41,45,74,76,150
PUERTO CARABUCO,desnutricion global,desnutricion leve (l),2005-01-01,25,32,43,42,68,74,142
PUERTO GONZALO MORENO,desnutricion global,desnutricion leve (l),2005-01-01,2,3,3,3,5,6,11
PUERTO PEREZ,desnutricion global,desnutricion leve (l),2005-01-01,4,0,7,0,11,0,11
