municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,desnutricion global,desnutricion grave (g),2005-01-01,2,1,0,0,2,1,3
ACHACACHI,desnutricion global,desnutricion grave (g),2005-01-01,5,0,0,2,5,2,7
ACHOCALLA,desnutricion global,desnutricion grave (g),2005-01-01,0,3,0,1,0,4,4
AIQUILE,desnutricion global,desnutricion grave (g),2005-01-01,3,4,2,0,5,4,9
ALALAY,desnutricion global,desnutricion grave (g),2005-01-01,1,0,0,1,1,1,2
ALCALA,desnutricion global,desnutricion grave (g),2005-01-01,0,1,0,3,0,4,4
ANCORAIMES,desnutricion global,desnutricion grave (g),2005-01-01,2,1,0,1,2,2,4
ANTEQUERA,desnutricion global,desnutricion grave (g),2005-01-01,1,0,1,0,2,0,2
ANZALDO,desnutricion global,desnutricion grave (g),2005-01-01,3,3,0,2,3,5,8
APOLO,desnutricion global,desnutricion grave (g),2005-01-01,0,1,1,1,1,2,3
ARANI,desnutricion global,desnutricion grave (g),2005-01-01,1,1,0,0,1,1,2
ARQUE,desnutricion global,desnutricion grave (g),2005-01-01,0,1,0,0,0,1,1
ATOCHA,desnutricion global,desnutricion grave (g),2005-01-01,3,5,0,1,3,6,9
AUCAPATA,desnutricion global,desnutricion grave (g),2005-01-01,2,0,0,0,2,0,2
AYATA,desnutricion global,desnutricion grave (g),2005-01-01,2,2,1,3,3,5,8
AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,desnutricion grave (g),2005-01-01,0,0,1,0,1,0,1
AZURDUY,desnutricion global,desnutricion grave (g),2005-01-01,7,4,1,2,8,6,14
BAURES,desnutricion global,desnutricion grave (g),2005-01-01,1,0,0,0,1,0,1
BERMEJO,desnutricion global,desnutricion grave (g),2005-01-01,2,1,0,1,2,2,4
BETANZOS,desnutricion global,desnutricion grave (g),2005-01-01,2,2,1,2,3,4,7
BOLIVAR,desnutricion global,desnutricion grave (g),2005-01-01,2,9,0,1,2,10,12
BUENA VISTA,desnutricion global,desnutricion grave (g),2005-01-01,1,0,0,0,1,0,1
CABEZAS,desnutricion global,desnutricion grave (g),2005-01-01,3,2,1,0,4,2,6
CAIROMA,desnutricion global,desnutricion grave (g),2005-01-01,1,1,1,1,2,2,4
"CAIZA ""D""",desnutricion global,desnutricion grave (g),2005-01-01,0,1,0,0,0,1,1
CAJUATA,desnutricion global,desnutricion grave (g),2005-01-01,2,0,0,0,2,0,2
