municipality,group,variable,month,TOTAL
ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-01-01,3.0
CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-01-01,115.0
COTAGAITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-01-01,71.0
POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-01-01,113.0
PRESTO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-01-01,52.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-01-01,71.0
SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-01-01,51.0
TOMAVE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-01-01,23.0
VILLA CHARCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-01-01,289.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-01-01,111.0
BETANZOS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-02-01,121.0
ENTRE RIOS TRJ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-02-01,9.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-02-01,31.0
SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-02-01,1.0
TINGUIPAYA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-02-01,52.0
TIRAQUE (CBBA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-02-01,2.0
SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-03-01,1.0
TOTORA(ORR),eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-03-01,11.0
COTAGAITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-04-01,101.0
POCOATA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-04-01,42.0
PAMPA GRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-05-01,21.0
POSTRER VALLE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-05-01,2.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-05-01,2.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-05-01,1.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-06-01,1.0
VALLEGRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-06-01,21.0
PAMPA GRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-08-01,147.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-08-01,1.0
QUIRUSILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-08-01,439.0
SAMAIPATA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-08-01,51.0
CHARAGUA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-09-01,72.0
HUACAYA (VILLA DE HUACAYA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-09-01,66.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-09-01,10.0
INCAHUASI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-10-01,940.0
LAGUNILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-10-01,632.0
LAS CARRERAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-10-01,375.0
MECAPACA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-10-01,1.0
MIZQUE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-10-01,1.0
PADCAYA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-10-01,42.0
ROBORE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-10-01,1.0
SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-10-01,169.0
TARIJA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-10-01,53.0
YOTALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-10-01,251.0
ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-11-01,1.0
AZURDUY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-11-01,663.0
CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2022-11-01,121.0
