municipality,group,variable,month,TOTAL
ROBORE,eventos - notificacion inmediata parte i,incendio,2022-04-01,1.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2022-04-01,3.0
COTAGAITA,eventos - notificacion inmediata parte i,incendio,2022-06-01,3.0
PADCAYA,eventos - notificacion inmediata parte i,incendio,2022-06-01,18.0
TARIJA,eventos - notificacion inmediata parte i,incendio,2022-06-01,1.0
BOYUIBE,eventos - notificacion inmediata parte i,incendio,2022-07-01,6.0
COLOMI,eventos - notificacion inmediata parte i,incendio,2022-07-01,4.0
ASCENCION DE GUARAYOS,eventos - notificacion inmediata parte i,incendio,2022-08-01,1.0
BUENA VISTA,eventos - notificacion inmediata parte i,incendio,2022-08-01,2.0
COLOMI,eventos - notificacion inmediata parte i,incendio,2022-08-01,1.0
EL TORNO,eventos - notificacion inmediata parte i,incendio,2022-08-01,1.0
IXIAMAS,eventos - notificacion inmediata parte i,incendio,2022-08-01,1.0
LA GUARDIA,eventos - notificacion inmediata parte i,incendio,2022-08-01,2.0
POROMA,eventos - notificacion inmediata parte i,incendio,2022-08-01,1.0
PORONGO,eventos - notificacion inmediata parte i,incendio,2022-08-01,8.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2022-08-01,7.0
SAMAIPATA,eventos - notificacion inmediata parte i,incendio,2022-08-01,5.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2022-08-01,1.0
TACACOMA,eventos - notificacion inmediata parte i,incendio,2022-08-01,1.0
CAMIRI,eventos - notificacion inmediata parte i,incendio,2022-09-01,13.0
CARAPARI,eventos - notificacion inmediata parte i,incendio,2022-09-01,3.0
LA GUARDIA,eventos - notificacion inmediata parte i,incendio,2022-09-01,43.0
PORONGO,eventos - notificacion inmediata parte i,incendio,2022-09-01,135.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2022-09-01,506.0
SACABA,eventos - notificacion inmediata parte i,incendio,2022-09-01,2.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2022-09-01,13.0
SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2022-09-01,66.0
SAN LORENZO(PND),eventos - notificacion inmediata parte i,incendio,2022-09-01,1.0
TACACOMA,eventos - notificacion inmediata parte i,incendio,2022-09-01,1.0
VALLEGRANDE,eventos - notificacion inmediata parte i,incendio,2022-09-01,1.0
YACUIBA,eventos - notificacion inmediata parte i,incendio,2022-09-01,1.0
BUENA VISTA,eventos - notificacion inmediata parte i,incendio,2022-10-01,1.0
CAIROMA,eventos - notificacion inmediata parte i,incendio,2022-10-01,201.0
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,incendio,2022-10-01,7.0
CAQUIAVIRI,eventos - notificacion inmediata parte i,incendio,2022-10-01,7.0
JESUS DE MACHACA,eventos - notificacion inmediata parte i,incendio,2022-10-01,4.0
LAGUNILLAS,eventos - notificacion inmediata parte i,incendio,2022-10-01,1.0
PADCAYA,eventos - notificacion inmediata parte i,incendio,2022-10-01,29.0
SACABA,eventos - notificacion inmediata parte i,incendio,2022-10-01,2.0
SAN BENITO,eventos - notificacion inmediata parte i,incendio,2022-10-01,1.0
SUCRE,eventos - notificacion inmediata parte i,incendio,2022-10-01,1.0
VACAS,eventos - notificacion inmediata parte i,incendio,2022-10-01,1.0
BERMEJO,eventos - notificacion inmediata parte i,incendio,2022-11-01,27.0
CARAPARI,eventos - notificacion inmediata parte i,incendio,2022-11-01,5.0
CHUMA,eventos - notificacion inmediata parte i,incendio,2022-11-01,32.0
ENTRE RIOS TRJ,eventos - notificacion inmediata parte i,incendio,2022-11-01,12.0
GUTIERREZ,eventos - notificacion inmediata parte i,incendio,2022-11-01,3.0
HUACARETA,eventos - notificacion inmediata parte i,incendio,2022-11-01,2.0
INCAHUASI,eventos - notificacion inmediata parte i,incendio,2022-11-01,11.0
IRUPANA (VILLA DE LANZA),eventos - notificacion inmediata parte i,incendio,2022-11-01,3.0
JESUS DE MACHACA,eventos - notificacion inmediata parte i,incendio,2022-11-01,9.0
LA ASUNTA,eventos - notificacion inmediata parte i,incendio,2022-11-01,29.0
LA GUARDIA,eventos - notificacion inmediata parte i,incendio,2022-11-01,1.0
LA PAZ,eventos - notificacion inmediata parte i,incendio,2022-11-01,1.0
PADCAYA,eventos - notificacion inmediata parte i,incendio,2022-11-01,24.0
PALOS BLANCOS,eventos - notificacion inmediata parte i,incendio,2022-11-01,79.0
POROMA,eventos - notificacion inmediata parte i,incendio,2022-11-01,3.0
PORONGO,eventos - notificacion inmediata parte i,incendio,2022-11-01,4.0
POSTRER VALLE,eventos - notificacion inmediata parte i,incendio,2022-11-01,53.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2022-11-01,405.0
SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2022-11-01,37.0
SAN LUCAS,eventos - notificacion inmediata parte i,incendio,2022-11-01,1.0
VACAS,eventos - notificacion inmediata parte i,incendio,2022-11-01,1.0
VALLEGRANDE,eventos - notificacion inmediata parte i,incendio,2022-11-01,17.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,incendio,2022-11-01,17.0
YANACACHI,eventos - notificacion inmediata parte i,incendio,2022-11-01,1.0
PALOS BLANCOS,eventos - notificacion inmediata parte i,incendio,2022-12-01,62.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2022-12-01,2.0
VALLEGRANDE,eventos - notificacion inmediata parte i,incendio,2022-12-01,2.0
