municipality,group,variable,month,TOTAL
CAMARGO,eventos - notificacion inmediata parte i,riada,2022-01-01,763.0
COTAGAITA,eventos - notificacion inmediata parte i,riada,2022-01-01,180.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,riada,2022-01-01,94.0
EL VILLAR,eventos - notificacion inmediata parte i,riada,2022-01-01,67.0
ORURO,eventos - notificacion inmediata parte i,riada,2022-01-01,4.0
POROMA,eventos - notificacion inmediata parte i,riada,2022-01-01,5.0
SANTA CRUZ DE LA SIERRA,eventos - notificacion inmediata parte i,riada,2022-01-01,1.0
TUPIZA,eventos - notificacion inmediata parte i,riada,2022-01-01,1.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2022-01-01,20.0
BERMEJO,eventos - notificacion inmediata parte i,riada,2022-02-01,21.0
CATACORA,eventos - notificacion inmediata parte i,riada,2022-02-01,5.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2022-02-01,5.0
COTAGAITA,eventos - notificacion inmediata parte i,riada,2022-02-01,47.0
IRUPANA (VILLA DE LANZA),eventos - notificacion inmediata parte i,riada,2022-02-01,8.0
PAPEL PAMPA,eventos - notificacion inmediata parte i,riada,2022-02-01,36.0
SAN ANDRES DE MACHACA,eventos - notificacion inmediata parte i,riada,2022-02-01,12.0
TUPIZA,eventos - notificacion inmediata parte i,riada,2022-02-01,1.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2022-02-01,35.0
ARQUE,eventos - notificacion inmediata parte i,riada,2022-03-01,29.0
HUACAYA (VILLA DE HUACAYA),eventos - notificacion inmediata parte i,riada,2022-09-01,1201.0
GUTIERREZ,eventos - notificacion inmediata parte i,riada,2022-11-01,18.0
HUACARETA,eventos - notificacion inmediata parte i,riada,2022-11-01,1.0
SOPACHUY,eventos - notificacion inmediata parte i,riada,2022-12-01,253.0
