municipality,group,variable,month,TOTAL
AZURDUY,eventos - notificacion inmediata parte i,riada,2016-01-01,30.0
COMARAPA,eventos - notificacion inmediata parte i,riada,2016-02-01,1000.0
MONTEAGUDO,eventos - notificacion inmediata parte i,riada,2016-02-01,128.0
TARABUCO,eventos - notificacion inmediata parte i,riada,2016-02-01,5.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,riada,2016-02-01,1.0
GUAYARAMERIN,eventos - notificacion inmediata parte i,riada,2016-03-01,16.0
QUILLACOLLO,eventos - notificacion inmediata parte i,riada,2016-03-01,4.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,riada,2016-03-01,61.0
AZURDUY,eventos - notificacion inmediata parte i,riada,2016-04-01,84.0
MOJOCOYA,eventos - notificacion inmediata parte i,riada,2016-04-01,4.0
TARABUCO,eventos - notificacion inmediata parte i,riada,2016-04-01,921.0
BUENA VISTA,eventos - notificacion inmediata parte i,riada,2016-08-01,3.0
GUANAY,eventos - notificacion inmediata parte i,riada,2016-10-01,1.0
CAMARGO,eventos - notificacion inmediata parte i,riada,2016-11-01,209.0
LAGUNILLAS,eventos - notificacion inmediata parte i,riada,2016-11-01,232.0
TIPUANI,eventos - notificacion inmediata parte i,riada,2016-11-01,342.0
TOMINA,eventos - notificacion inmediata parte i,riada,2016-11-01,7.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,riada,2016-11-01,231.0
ICLA,eventos - notificacion inmediata parte i,riada,2016-12-01,36.0
SOPACHUY,eventos - notificacion inmediata parte i,riada,2016-12-01,35.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2016-12-01,2.0
