municipality,group,variable,month,TOTAL
ASCENCION DE GUARAYOS,eventos - notificacion inmediata parte i,incendio,2016-01-01,7.0
EL ALTO,eventos - notificacion inmediata parte i,incendio,2016-02-01,35.0
QUILLACOLLO,eventos - notificacion inmediata parte i,incendio,2016-03-01,1.0
SAN LUCAS,eventos - notificacion inmediata parte i,incendio,2016-03-01,11.0
SAN LUCAS,eventos - notificacion inmediata parte i,incendio,2016-04-01,7.0
PADCAYA,eventos - notificacion inmediata parte i,incendio,2016-07-01,1.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2016-07-01,1.0
ASCENCION DE GUARAYOS,eventos - notificacion inmediata parte i,incendio,2016-08-01,2.0
BUENA VISTA,eventos - notificacion inmediata parte i,incendio,2016-08-01,7.0
COLPA BELGICA,eventos - notificacion inmediata parte i,incendio,2016-08-01,10.0
EL PUENTE(STC),eventos - notificacion inmediata parte i,incendio,2016-08-01,4.0
EL TORNO,eventos - notificacion inmediata parte i,incendio,2016-08-01,1.0
HUACARETA,eventos - notificacion inmediata parte i,incendio,2016-08-01,3.0
HUARACAJE,eventos - notificacion inmediata parte i,incendio,2016-08-01,10.0
LA GUARDIA,eventos - notificacion inmediata parte i,incendio,2016-08-01,1.0
PORONGO,eventos - notificacion inmediata parte i,incendio,2016-08-01,17.0
RIBERALTA,eventos - notificacion inmediata parte i,incendio,2016-08-01,4.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2016-08-01,2.0
SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2016-08-01,5.0
SAN JUAN DE YAPACANI,eventos - notificacion inmediata parte i,incendio,2016-08-01,1.0
SAN PEDRO,eventos - notificacion inmediata parte i,incendio,2016-08-01,2.0
SANTA ROSA DEL SARA,eventos - notificacion inmediata parte i,incendio,2016-08-01,143.0
VILLA SERRANO,eventos - notificacion inmediata parte i,incendio,2016-08-01,1.0
ICLA,eventos - notificacion inmediata parte i,incendio,2016-09-01,12.0
PUERTO GONZALO MORENO,eventos - notificacion inmediata parte i,incendio,2016-09-01,7.0
PUERTO SUAREZ,eventos - notificacion inmediata parte i,incendio,2016-09-01,3.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2016-09-01,1.0
SAN JUAN DE YAPACANI,eventos - notificacion inmediata parte i,incendio,2016-09-01,11.0
SANTA CRUZ DE LA SIERRA,eventos - notificacion inmediata parte i,incendio,2016-09-01,2.0
EL TORNO,eventos - notificacion inmediata parte i,incendio,2016-10-01,1.0
POSTRER VALLE,eventos - notificacion inmediata parte i,incendio,2016-11-01,1.0
PUERTO CARABUCO,eventos - notificacion inmediata parte i,incendio,2016-11-01,2.0
VILLA CHARCAS,eventos - notificacion inmediata parte i,incendio,2016-11-01,5.0
