municipality,group,variable,month,TOTAL
ANZALDO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-01-01,1.0
BETANZOS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-01-01,33.0
CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-01-01,251.0
ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-01-01,147.0
PUNA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-01-01,6.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-01-01,1520.0
TACOBAMBA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-01-01,26.0
TARABUCO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-01-01,523.0
TUPIZA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-01-01,33.0
VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-01-01,488.0
AZURDUY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-02-01,31.0
COLQUIRI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-02-01,113.0
SACACA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-02-01,13.0
TARABUCO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-02-01,17.0
TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-02-01,63.0
ARAMPAMPA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-03-01,36.0
BETANZOS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-03-01,508.0
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-03-01,35.0
PUNA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-03-01,31.0
QUILLACOLLO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-03-01,385.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-03-01,51.0
SAN PEDRO DE BUENA VISTA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-03-01,61.0
VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-03-01,53.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-03-01,47.0
AZURDUY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-04-01,251.0
COTAGAITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-04-01,72.0
ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-04-01,51.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-04-01,3.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-04-01,411.0
TARABUCO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-04-01,1059.0
TARIJA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-04-01,301.0
TARVITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-04-01,3.0
TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-04-01,39.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-05-01,13.0
TARVITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-05-01,320.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-06-01,1.0
CULPINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-08-01,181.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-08-01,1.0
LAGUNILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-08-01,1.0
POSTRER VALLE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-08-01,5.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-08-01,4.0
TARIJA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-08-01,7.0
TARIJA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-09-01,12.0
AZURDUY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-10-01,31.0
CULPINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2016-10-01,136.0
