municipality,group,variable,month,TOTAL
ACACIO,eventos - notificacion inmediata parte i,riada,2017-01-01,3.0
AZURDUY,eventos - notificacion inmediata parte i,riada,2017-01-01,11.0
ICLA,eventos - notificacion inmediata parte i,riada,2017-01-01,10.0
LA ASUNTA,eventos - notificacion inmediata parte i,riada,2017-01-01,2.0
QUIME,eventos - notificacion inmediata parte i,riada,2017-01-01,66.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,riada,2017-02-01,2.0
ICLA,eventos - notificacion inmediata parte i,riada,2017-02-01,44.0
LAGUNILLAS,eventos - notificacion inmediata parte i,riada,2017-02-01,602.0
MIZQUE,eventos - notificacion inmediata parte i,riada,2017-02-01,131.0
MOJOCOYA,eventos - notificacion inmediata parte i,riada,2017-02-01,15.0
LAGUNILLAS,eventos - notificacion inmediata parte i,riada,2017-03-01,1001.0
MACHARETI,eventos - notificacion inmediata parte i,riada,2017-03-01,84.0
SAN RAMON SCZ,eventos - notificacion inmediata parte i,riada,2017-05-01,16.0
YAPACANI,eventos - notificacion inmediata parte i,riada,2017-05-01,549.0
ORURO,eventos - notificacion inmediata parte i,riada,2017-09-01,1.0
LA PAZ,eventos - notificacion inmediata parte i,riada,2017-10-01,1.0
SUCRE,eventos - notificacion inmediata parte i,riada,2017-10-01,1.0
COMARAPA,eventos - notificacion inmediata parte i,riada,2017-11-01,16.0
POROMA,eventos - notificacion inmediata parte i,riada,2017-11-01,2.0
SUCRE,eventos - notificacion inmediata parte i,riada,2017-11-01,4.0
VILLA TUNARI,eventos - notificacion inmediata parte i,riada,2017-11-01,31.0
SOPACHUY,eventos - notificacion inmediata parte i,riada,2017-12-01,15.0
YAPACANI,eventos - notificacion inmediata parte i,riada,2017-12-01,31.0
