municipality,group,variable,month,TOTAL
BETANZOS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-02-01,121.0
CARIPUYO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-02-01,62.0
ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-02-01,107.0
LAGUNILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-02-01,401.0
LAJA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-02-01,71.0
MIZQUE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-02-01,2.0
RAVELO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-02-01,201.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-02-01,637.0
SAN PEDRO DE BUENA VISTA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-02-01,72.0
TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-02-01,31.0
TORO TORO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-02-01,34.0
VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-02-01,79.0
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-03-01,289.0
PRESTO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-03-01,544.0
PUNA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-03-01,21.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-03-01,142.0
TARABUCO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-03-01,404.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-03-01,308.0
"CAIZA ""D""",eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-04-01,97.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-04-01,251.0
ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-05-01,51.0
POSTRER VALLE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-05-01,3.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-05-01,2.0
SAN PABLO DE LIPEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-05-01,3.0
TARIJA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-05-01,1.0
POSTRER VALLE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-06-01,2.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-06-01,2.0
AZURDUY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-07-01,1.0
COMARAPA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-07-01,205.0
LAGUNILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-07-01,653.0
MAIRANA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-07-01,805.0
MORO MORO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-07-01,1.0
PADILLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-07-01,1.0
PAMPA GRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-07-01,254.0
POSTRER VALLE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-07-01,6.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-07-01,5.0
SAIPINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-07-01,29.0
TARIJA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-07-01,1.0
VALLEGRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-07-01,158.0
POSTRER VALLE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-08-01,2.0
BOLIVAR,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-09-01,1.0
CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-09-01,96.0
TARVITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-09-01,2.0
TRIGAL,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-09-01,16.0
CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-10-01,100.0
ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-10-01,7.0
LAGUNILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-10-01,10.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-10-01,252.0
SORATA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-10-01,1.0
SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-10-01,6.0
TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-10-01,4.0
POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-11-01,16.0
PRESTO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-11-01,15.0
SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-11-01,14.0
MOJOCOYA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-12-01,32.0
MONTEAGUDO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-12-01,16.0
RAVELO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2017-12-01,151.0
