municipality,group,variable,month,TOTAL
SUCRE,eventos - notificacion inmediata parte i,incendio,2017-07-01,3.0
ASCENCION DE GUARAYOS,eventos - notificacion inmediata parte i,incendio,2017-08-01,23.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2017-08-01,2.0
SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2017-08-01,1.0
SAN LORENZO(TJA),eventos - notificacion inmediata parte i,incendio,2017-08-01,873.0
TARIJA,eventos - notificacion inmediata parte i,incendio,2017-08-01,1835.0
BERMEJO,eventos - notificacion inmediata parte i,incendio,2017-09-01,2.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2017-09-01,1.0
SAMAIPATA,eventos - notificacion inmediata parte i,incendio,2017-09-01,1.0
SANTA CRUZ DE LA SIERRA,eventos - notificacion inmediata parte i,incendio,2017-09-01,1.0
TOMINA,eventos - notificacion inmediata parte i,incendio,2017-09-01,1.0
BERMEJO,eventos - notificacion inmediata parte i,incendio,2017-10-01,1.0
EL TORNO,eventos - notificacion inmediata parte i,incendio,2017-10-01,1.0
ICLA,eventos - notificacion inmediata parte i,incendio,2017-10-01,1.0
SAMAIPATA,eventos - notificacion inmediata parte i,incendio,2017-10-01,7.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,incendio,2017-10-01,1.0
JESUS DE MACHACA,eventos - notificacion inmediata parte i,incendio,2017-11-01,2.0
