municipality,group,variable,month,TOTAL
BERMEJO,eventos - notificacion inmediata parte ii,inundacion,2021-01-01,16.0
CHIMORE,eventos - notificacion inmediata parte ii,inundacion,2021-01-01,939.0
COLPA BELGICA,eventos - notificacion inmediata parte ii,inundacion,2021-01-01,16.0
ENTRE RIOS CBBA,eventos - notificacion inmediata parte ii,inundacion,2021-01-01,46.0
LORETO,eventos - notificacion inmediata parte ii,inundacion,2021-01-01,193.0
PORTACHUELO,eventos - notificacion inmediata parte ii,inundacion,2021-01-01,635.0
SAN BORJA,eventos - notificacion inmediata parte ii,inundacion,2021-01-01,642.0
SAN IGNACIO,eventos - notificacion inmediata parte ii,inundacion,2021-01-01,331.0
SAN PEDRO,eventos - notificacion inmediata parte ii,inundacion,2021-01-01,341.0
SANTA ROSA DEL SARA,eventos - notificacion inmediata parte ii,inundacion,2021-01-01,307.0
TIPUANI,eventos - notificacion inmediata parte ii,inundacion,2021-01-01,251.0
VILLA TUNARI,eventos - notificacion inmediata parte ii,inundacion,2021-01-01,1000.0
YAPACANI,eventos - notificacion inmediata parte ii,inundacion,2021-01-01,82.0
IXIAMAS,eventos - notificacion inmediata parte ii,inundacion,2021-02-01,37.0
LORETO,eventos - notificacion inmediata parte ii,inundacion,2021-02-01,62.0
PUERTO GONZALO MORENO,eventos - notificacion inmediata parte ii,inundacion,2021-02-01,501.0
PUERTO VILLARROEL,eventos - notificacion inmediata parte ii,inundacion,2021-02-01,74.0
RIBERALTA,eventos - notificacion inmediata parte ii,inundacion,2021-02-01,128.0
SAN PEDRO,eventos - notificacion inmediata parte ii,inundacion,2021-02-01,81.0
SAN PEDRO(PND),eventos - notificacion inmediata parte ii,inundacion,2021-02-01,98.0
TRINIDAD,eventos - notificacion inmediata parte ii,inundacion,2021-02-01,2039.0
SANTA ROSA,eventos - notificacion inmediata parte ii,inundacion,2021-03-01,16.0
CHIMORE,eventos - notificacion inmediata parte ii,inundacion,2021-04-01,11.0
PUERTO VILLARROEL,eventos - notificacion inmediata parte ii,inundacion,2021-04-01,17.0
SAN IGNACIO,eventos - notificacion inmediata parte ii,inundacion,2021-04-01,36.0
SAN BUENA VENTURA,eventos - notificacion inmediata parte ii,inundacion,2021-06-01,4.0
GUANAY,eventos - notificacion inmediata parte ii,inundacion,2021-11-01,36.0
MAPIRI,eventos - notificacion inmediata parte ii,inundacion,2021-11-01,26.0
SUCRE,eventos - notificacion inmediata parte ii,inundacion,2021-11-01,31.0
BETANZOS,eventos - notificacion inmediata parte ii,inundacion,2021-12-01,61.0
CARACOLLO,eventos - notificacion inmediata parte ii,inundacion,2021-12-01,35.0
CLIZA,eventos - notificacion inmediata parte ii,inundacion,2021-12-01,250.0
COCHABAMBA,eventos - notificacion inmediata parte ii,inundacion,2021-12-01,241.0
COMARAPA,eventos - notificacion inmediata parte ii,inundacion,2021-12-01,47.0
OMEREQUE,eventos - notificacion inmediata parte ii,inundacion,2021-12-01,1.0
PAPEL PAMPA,eventos - notificacion inmediata parte ii,inundacion,2021-12-01,163.0
SAN PEDRO,eventos - notificacion inmediata parte ii,inundacion,2021-12-01,62.0
SUCRE,eventos - notificacion inmediata parte ii,inundacion,2021-12-01,24.0
TIAHUANACU,eventos - notificacion inmediata parte ii,inundacion,2021-12-01,32.0
TOLEDO,eventos - notificacion inmediata parte ii,inundacion,2021-12-01,8.0
YOTALA,eventos - notificacion inmediata parte ii,inundacion,2021-12-01,23.0
