municipality,group,variable,month,TOTAL
POROMA,eventos - notificacion inmediata parte ii,otros de excepcion,2021-01-01,15.0
SAN LORENZO(TJA),eventos - notificacion inmediata parte ii,otros de excepcion,2021-01-01,1.0
COCHABAMBA,eventos - notificacion inmediata parte ii,otros de excepcion,2021-02-01,1.0
CORIPATA,eventos - notificacion inmediata parte ii,otros de excepcion,2021-02-01,1.0
TOMINA,eventos - notificacion inmediata parte ii,otros de excepcion,2021-02-01,97.0
TOMINA,eventos - notificacion inmediata parte ii,otros de excepcion,2021-03-01,8.0
TORO TORO,eventos - notificacion inmediata parte ii,otros de excepcion,2021-03-01,1.0
POROMA,eventos - notificacion inmediata parte ii,otros de excepcion,2021-04-01,1.0
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2021-04-01,89.0
GUAQUI,eventos - notificacion inmediata parte ii,otros de excepcion,2021-05-01,1.0
CORO CORO,eventos - notificacion inmediata parte ii,otros de excepcion,2021-06-01,1.0
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2021-06-01,1.0
SAN PEDRO DE BUENA VISTA,eventos - notificacion inmediata parte ii,otros de excepcion,2021-06-01,1.0
POROMA,eventos - notificacion inmediata parte ii,otros de excepcion,2021-08-01,2.0
SAN PEDRO,eventos - notificacion inmediata parte ii,otros de excepcion,2021-09-01,6.0
TIAHUANACU,eventos - notificacion inmediata parte ii,otros de excepcion,2021-09-01,65.0
EL ALTO,eventos - notificacion inmediata parte ii,otros de excepcion,2021-11-01,9.0
LA PAZ,eventos - notificacion inmediata parte ii,otros de excepcion,2021-11-01,2.0
CKOCHAS,eventos - notificacion inmediata parte ii,otros de excepcion,2021-12-01,7.0
ROBORE,eventos - notificacion inmediata parte ii,otros de excepcion,2021-12-01,4.0
