municipality,group,variable,month,TOTAL
CARANAVI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2021-01-01,1.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2021-01-01,10.0
CHUMA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2021-02-01,1.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2021-03-01,12.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2021-11-01,1.0
SUCRE,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2021-11-01,12.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2021-12-01,20.0
COLCAPIRHUA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2021-12-01,61.0
PRESTO,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2021-12-01,1.0
VALLEGRANDE,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2021-12-01,13.0
