,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,0,0,0,0,0,1,1,1,1,3,0,0,2,5,7
AIQUILE,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,0,0,0,0,0,0,0,1,4,0,1,0,5,1,6
ARANI,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
BELLA FLOR,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
BERMEJO,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,0,0,0,0,0,0,1,0,2,1,0,0,3,1,4
CALAMARCA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,1,0,3,3,2,0,0,0,7,6,2,2,15,11,26
CAMIRI,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,0,0,0,0,0,0,0,1,0,3,1,1,1,5,6
CARACOLLO,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
CHALLAPATA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,0,0,0,0,0,0,1,0,4,1,5,1,10,2,12
CHIMORE,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,0,0,0,0,0,0,0,0,1,2,2,0,3,2,5
CHULUMANI (V. DE LA LIBERTAD),"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,3,3,8,6,6,5,13,5,37,23,6,6,73,48,121
CLIZA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,0,0,0,0,0,0,0,0,1,3,0,0,1,3,4
COBIJA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
COCHABAMBA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,2,4,7,4,2,1,48,33,238,114,23,22,320,178,498
COLCAPIRHUA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,1,0,6,3,3,9,13,6,21,15,2,0,46,33,79
COLOMI,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2
COMARAPA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2011-01-01,0,0,0,1,0,0,0,0,0,2,0,1,0,4,4
