,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,1,0,0,2,1,3,3,2,1,0,6,7,13
BELEN DE ANDAMARCA,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,0,0,0,0,0,0,1,2,1,0,2,2,4
BELLA FLOR,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,1,0,0,0,5,2,1,1,0,0,7,3,10
BERMEJO,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,0,0,0,1,2,0,5,1,0,0,7,2,9
BOLPEBRA,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
CABEZAS,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
CALAMARCA,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
CAMIRI,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,0,0,0,2,0,0,4,0,0,0,4,2,6
CAQUIAVIRI,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
CHALLAPATA,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,0,0,0,0,4,0,1,1,1,0,6,1,7
CHIMORE,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,0,0,0,1,3,3,2,3,0,0,5,7,12
CHULUMANI (V. DE LA LIBERTAD),"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,1,0,0,1,0,0,2,1,0,1,3,3,6
CLIZA,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
COBIJA,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,3,0,0,0,3,2,23,3,1,0,30,5,35
COCHABAMBA,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,2,1,1,0,1,2,12,4,1,0,17,7,24
COLOMI,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,0,1,0,0,3,1,3,4,0,1,6,7,13
COLPA BELGICA,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COMANCHE,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,1,0,0,0,0,1,1,1,0,0,2,2,4
COMARAPA,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,1,0,1,0,2,0,2,2,0,0,6,2,8
CONCEPCION,"violencia, hechos de transito y accidentes",hechos de transito,2011-01-01,0,0,0,0,0,0,1,0,2,1,0,0,3,1,4
