,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
AIQUILE,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ALALAY,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ANCORAIMES,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,2,3,0,0,0,0,0,0,1,1,3,4,7
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,1,2,2,1,1,5,2,4,0,0,0,12,6,18
BERMEJO,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,0,0,0,1,3,0,1,0,0,0,4,1,5
BOLPEBRA,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,0,0,0,0,0,1,1,0,1,0,2,1,3
CABEZAS,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,0,0,0,1,0,0,6,0,0,0,6,1,7
CALAMARCA,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,2,1,0,0,1,0,3,1,1,1,7,3,10
CAQUIAVIRI,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,0,1,0,1,1,0,0,0,0,0,1,2,3
CHIMORE,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,0,1,1,1,8,0,8,3,0,3,17,8,25
CLIZA,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
COBIJA,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,11,6,14,1,22,9,48,19,5,0,100,35,135
COCHABAMBA,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,2,4,12,4,7,15,6,68,35,16,18,107,80,187
COLCAPIRHUA,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,0,1,2,0,3,0,6,5,0,0,11,6,17
COLOMI,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,0,1,1,0,0,0,4,0,0,0,5,1,6
COMARAPA,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CONCEPCION,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,1,0,1,0,1,0,2,1,0,0,5,1,6
CORIPATA,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,0,0,1,2,0,1,0,3,0,1,0,7,1,8
COROICO,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,2,4,2,2,0,7,5,6,6,2,3,21,18,39
COTOCA,"violencia, hechos de transito y accidentes",accidentes,2011-01-01,0,1,5,2,1,2,4,2,8,1,0,0,18,8,26
