municipality,group,variable,month,Cantidad,TOTAL-M
ACACIO,intoxicaciones,plaguicidas,2005-01-01,1,1
ACHACACHI,intoxicaciones,plaguicidas,2005-01-01,1,1
ANCORAIMES,intoxicaciones,plaguicidas,2005-01-01,2,2
BATALLAS,intoxicaciones,plaguicidas,2005-01-01,1,1
BERMEJO,intoxicaciones,plaguicidas,2005-01-01,1,1
BETANZOS,intoxicaciones,plaguicidas,2005-01-01,1,1
CAMIRI,intoxicaciones,plaguicidas,2005-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2005-01-01,2,2
COCHABAMBA,intoxicaciones,plaguicidas,2005-01-01,17,17
COLOMI,intoxicaciones,plaguicidas,2005-01-01,3,3
COMARAPA,intoxicaciones,plaguicidas,2005-01-01,2,2
COPACABANA,intoxicaciones,plaguicidas,2005-01-01,2,2
COROICO,intoxicaciones,plaguicidas,2005-01-01,1,1
DESAGUADERO,intoxicaciones,plaguicidas,2005-01-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2005-01-01,15,15
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2005-01-01,1,1
GUANAY,intoxicaciones,plaguicidas,2005-01-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2005-01-01,32,32
LURIBAY,intoxicaciones,plaguicidas,2005-01-01,3,3
MAIRANA,intoxicaciones,plaguicidas,2005-01-01,1,1
MOCOMOCO,intoxicaciones,plaguicidas,2005-01-01,1,1
MONTEAGUDO,intoxicaciones,plaguicidas,2005-01-01,1,1
MONTERO,intoxicaciones,plaguicidas,2005-01-01,1,1
MOROCHATA,intoxicaciones,plaguicidas,2005-01-01,1,1
ORURO,intoxicaciones,plaguicidas,2005-01-01,9,9
PORTACHUELO,intoxicaciones,plaguicidas,2005-01-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2005-01-01,7,7
PUNA,intoxicaciones,plaguicidas,2005-01-01,1,1
QUILLACOLLO,intoxicaciones,plaguicidas,2005-01-01,3,3
SACABA,intoxicaciones,plaguicidas,2005-01-01,6,6
SAN JULIAN,intoxicaciones,plaguicidas,2005-01-01,3,3
SAN PEDRO,intoxicaciones,plaguicidas,2005-01-01,1,1
SUCRE,intoxicaciones,plaguicidas,2005-01-01,5,5
TARIJA,intoxicaciones,plaguicidas,2005-01-01,6,6
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2005-01-01,8,8
UNCIA,intoxicaciones,plaguicidas,2005-01-01,2,2
VACAS,intoxicaciones,plaguicidas,2005-01-01,2,2
VIACHA,intoxicaciones,plaguicidas,2005-01-01,1,1
YACUIBA,intoxicaciones,plaguicidas,2005-01-01,13,13
YAPACANI,intoxicaciones,plaguicidas,2005-01-01,2,2
ACHACACHI,intoxicaciones,plaguicidas,2005-02-01,24,24
BERMEJO,intoxicaciones,plaguicidas,2005-02-01,1,1
BETANZOS,intoxicaciones,plaguicidas,2005-02-01,1,1
CABEZAS,intoxicaciones,plaguicidas,2005-02-01,1,1
CAMIRI,intoxicaciones,plaguicidas,2005-02-01,2,2
CARANAVI,intoxicaciones,plaguicidas,2005-02-01,6,6
COCHABAMBA,intoxicaciones,plaguicidas,2005-02-01,16,16
COLQUECHACA,intoxicaciones,plaguicidas,2005-02-01,4,4
COMARAPA,intoxicaciones,plaguicidas,2005-02-01,3,3
COROICO,intoxicaciones,plaguicidas,2005-02-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2005-02-01,28,28
LA ASUNTA,intoxicaciones,plaguicidas,2005-02-01,3,3
LA PAZ,intoxicaciones,plaguicidas,2005-02-01,17,17
MOCOMOCO,intoxicaciones,plaguicidas,2005-02-01,1,1
MONTERO,intoxicaciones,plaguicidas,2005-02-01,3,3
OCURI,intoxicaciones,plaguicidas,2005-02-01,1,1
ORURO,intoxicaciones,plaguicidas,2005-02-01,7,7
PAILON,intoxicaciones,plaguicidas,2005-02-01,1,1
PALOS BLANCOS,intoxicaciones,plaguicidas,2005-02-01,1,1
PAMPA GRANDE,intoxicaciones,plaguicidas,2005-02-01,1,1
PUERTO ACOSTA,intoxicaciones,plaguicidas,2005-02-01,2,2
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2005-02-01,3,3
PUNA,intoxicaciones,plaguicidas,2005-02-01,2,2
QUILLACOLLO,intoxicaciones,plaguicidas,2005-02-01,14,14
SACABAMBA,intoxicaciones,plaguicidas,2005-02-01,1,1
SAMAIPATA,intoxicaciones,plaguicidas,2005-02-01,1,1
SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2005-02-01,1,1
SAN LORENZO(TJA),intoxicaciones,plaguicidas,2005-02-01,1,1
SAN PEDRO,intoxicaciones,plaguicidas,2005-02-01,3,3
SUCRE,intoxicaciones,plaguicidas,2005-02-01,1,1
TARIJA,intoxicaciones,plaguicidas,2005-02-01,8,8
TIAWANACU,intoxicaciones,plaguicidas,2005-02-01,2,2
TIQUIPAYA,intoxicaciones,plaguicidas,2005-02-01,1,1
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2005-02-01,6,6
VACAS,intoxicaciones,plaguicidas,2005-02-01,2,2
VALLEGRANDE,intoxicaciones,plaguicidas,2005-02-01,1,1
YACUIBA,intoxicaciones,plaguicidas,2005-02-01,1,1
ACHACACHI,intoxicaciones,plaguicidas,2005-03-01,2,2
ANCORAIMES,intoxicaciones,plaguicidas,2005-03-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),intoxicaciones,plaguicidas,2005-03-01,1,1
BATALLAS,intoxicaciones,plaguicidas,2005-03-01,2,2
BERMEJO,intoxicaciones,plaguicidas,2005-03-01,2,2
BETANZOS,intoxicaciones,plaguicidas,2005-03-01,1,1
BOYUIBE,intoxicaciones,plaguicidas,2005-03-01,1,1
CAMARGO,intoxicaciones,plaguicidas,2005-03-01,1,1
CAMIRI,intoxicaciones,plaguicidas,2005-03-01,4,4
CARAPARI,intoxicaciones,plaguicidas,2005-03-01,2,2
COCHABAMBA,intoxicaciones,plaguicidas,2005-03-01,20,20
COMARAPA,intoxicaciones,plaguicidas,2005-03-01,5,5
CORIPATA,intoxicaciones,plaguicidas,2005-03-01,2,2
DESAGUADERO,intoxicaciones,plaguicidas,2005-03-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2005-03-01,44,44
LA PAZ,intoxicaciones,plaguicidas,2005-03-01,15,15
