municipality,group,variable,month,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ACHACACHI,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
AIQUILE,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,1,0,1,0,0,0,2,2
ANZALDO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ARANI,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
BETANZOS,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
BUENA VISTA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CABEZAS,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,1,2,2,0,0,2,3,5
CAIROMA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CALAMARCA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
CHALLAPATA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,4,0,1,0,5,5
CHULUMANI (V. DE LA LIBERTAD),violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
CLIZA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,4,0,0,0,4,4
COCHABAMBA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,1,1,1,1,23,0,0,2,25,27
COLOMI,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
COLPA BELGICA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COLQUENCHA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
COPACABANA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,1,0,2,0,0,0,3,3
COROICO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
CUEVO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
EL ALTO,violencia  intrafamiliar,intrafamiliar,2007-01-01,6,3,3,3,16,20,2,159,0,0,27,185,212
HUACARETA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,1,0,2,0,0,0,3,3
HUANUNI,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,1,0,0,0,0,1,9,0,0,1,10,11
INCAHUASI,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
JESUS DE MACHACA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
LA ASUNTA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,1,1,0,0,1,1,2
LA PAZ,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,2,1,0,6,5,8,34,0,2,15,43,58
LAJA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,2,0,0,0,2,0,2
LLALLAGUA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,3,11,0,1,3,12,15
MACHARETI,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MAIRANA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
MOJOCOYA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,3,0,0,0,3,3
MONTEAGUDO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,1,4,5,0,0,4,6,10
MONTERO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ORURO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,3,0,0,0,3,3
PADILLA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,4,0,0,0,4,4
PAILON,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,2,0,0,0,2,0,2
PALOS BLANCOS,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
POCONA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
POJO (CBBA),violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,1,2,0,0,1,2,3
PORTACHUELO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
POTOSI,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,5,0,0,0,5,5
PUCARANI,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,0,1,0,1,0,1
PUERTO QUIJARRO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PUERTO SUAREZ,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PUNATA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,1,0,1,0,1,1,0,1,3,4
RIBERALTA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,1,0,1,0,0,0,2,2
SACABA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,3,4,0,0,3,4,7
SACABAMBA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN BENITO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN IGNACIO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SAN IGNACIO DE VELASCO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,1,1,0,2,1,2,0,0,2,5,7
SAN LORENZO(TJA),violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SAN PEDRO DE TIQUINA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,1,0,3,1,0,0,4,1,5
SANTA ROSA DEL SARA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SOPACHUY,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
TACOPAYA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,0,7,0,7,0,7
TARIJA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TARVITA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,1,2,0,0,1,2,3
TIPUANI,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,3,0,0,0,3,3
TORO TORO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,1,0,0,0,0,0,0,0,0,0,1,1
TOTORA(CBBA),violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,2,0,1,0,3,3
TUPIZA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,3,0,0,0,3,3
UNCIA,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,1,1,0,0,1,1,2
VILLA MONTES,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,2,1,6,0,0,1,8,9
VILLA SERRANO,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLAZON,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,1,0,0,0,3,13,0,0,4,13,17
ZUDAÑEZ,violencia  intrafamiliar,intrafamiliar,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
ACACIO,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,4,0,0,0,4,4
ACHACACHI,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,3,0,0,1,3,4
AIQUILE,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ANCORAIMES,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,2,0,0,0,2,2
ARBIETO,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,2,0,0,0,2,2
AYATA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,1,0,0,1,1,2
AZURDUY,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
BETANZOS,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,3,0,0,0,3,3
BOYUIBE,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,0,0,1,0,1,1
CABEZAS,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CALAMARCA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CAMIRI,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,1,0,3,1,0,0,0,0,4,1,5
CAPINOTA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,7,3,2,3,9,12
CARANAVI,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,2,0,0,1,2,3
CHALLAPATA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,3,0,0,0,3,3
CHULUMANI (V. DE LA LIBERTAD),violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CHUMA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CLIZA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,1,3,6,0,2,3,9,12
COCHABAMBA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,1,4,16,0,0,4,17,21
COLLANA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COLPA BELGICA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
COLQUENCHA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,4,0,0,0,4,4
CORIPATA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CUEVO,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,1,0,0,1,1,2
CULPINA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
EL ALTO,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,1,2,3,0,9,7,103,0,0,9,116,125
EL CHORO,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,0,0,1,0,1,1
EL PUENTE(TJA),violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
HUACARETA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,2,2,0,0,2,2,4
HUANUNI,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
INCAHUASI,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
IXIAMAS,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
JESUS DE MACHACA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
LA ASUNTA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,1,0,0,1,1,2
LA PAZ,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,1,2,4,1,7,25,1,1,13,29,42
LLALLAGUA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,10,1,1,2,11,13
MACHARETI,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
MAIRANA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,2,0,0,0,2,2
MIZQUE,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,9,0,1,0,10,0,10
MOJOCOYA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,1,0,0,0,0,0,0,0,1,1
MONTEAGUDO,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,1,0,5,4,0,0,6,4,10
MONTERO,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,1,1,1,0,0,1,2,3
OKINAWA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ORURO,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,3,1,1,1,4,5
PADILLA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,3,0,0,0,3,3
PALCA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PALOS BLANCOS,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,1,0,0,1,1,2
POCONA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,2,0,0,0,2,2
POJO (CBBA),violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
POROMA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,1,0,0,1,1,2
PORTACHUELO,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
POTOSI,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,4,1,0,3,0,1,4,5,9
PUCARANI,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,5,0,0,0,5,5
PUERTO ACOSTA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,2,0,0,0,2,0,2
PUERTO SUAREZ,violencia  intrafamiliar,intrafamiliar,2007-02-01,1,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO VILLARROEL,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,2,1,0,2,2,4
PUNA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,1,0,0,1,1,2
PUNATA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,2,0,0,1,2,3
SACABA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,1,4,8,0,0,4,9,13
SAN IGNACIO DE VELASCO,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,1,2,1,5,0,0,2,7,9
SAN JUAN DE YAPACANI,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN JULIAN,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN LORENZO(TJA),violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN MATIAS,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,2,0,0,1,2,3
SAN PEDRO DE TIQUINA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SANTA ANA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,1,0,0,1,2,0,0,1,3,4
SANTIAGO DE HUARI,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SICA SICA (VILLA AROMA),violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SORATA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,1,0,0,0,7,0,0,0,8,8
SUCRE,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,1,1,1,0,0,1,2,3
TACACOMA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TARATA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,1,0,1,0,1,0,3,3
TARIJA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,0,1,0,2,0,2
TARVITA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TIRAQUE (CBBA),violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TOTORA(CBBA),violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,1,0,7,0,1,0,9,9
TUPIZA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,2,0,0,0,2,0,2
UNCIA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,1,0,2,2
UYUNI,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,1,0,0,0,1,0,1
VACAS,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,3,0,0,0,3,3
VILLA MONTES,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,3,0,0,0,3,3
VILLA SERRANO,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
VILLA TUNARI,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLAZON,violencia  intrafamiliar,intrafamiliar,2007-02-01,1,1,0,0,0,0,1,20,0,0,2,21,23
WARNES,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,5,0,0,0,5,0,5
YOTALA,violencia  intrafamiliar,intrafamiliar,2007-02-01,0,0,0,0,0,0,0,0,1,0,1,0,1
ACACIO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
ACHACACHI,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,1,0,3,0,0,0,4,4
AIQUILE,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ALALAY,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
APOLO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,3,0,0,0,3,3
ARAMPAMPA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ARBIETO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,3,0,3,1,0,1,6,7
AYATA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
BERMEJO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
BETANZOS,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,1,2,0,0,1,2,3
CABEZAS,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,1,0,0,0,0,0,0,0,1,1
CAIROMA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
"CAIZA ""D""",violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
CALACOTO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CHALLAPATA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,2,2,0,0,2,2,4
CLIZA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,1,3,0,1,1,4,5
COCHABAMBA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,2,5,5,0,0,5,7,12
COIPASA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
COLOMI,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,1,0,4,0,0,0,5,5
COLPA BELGICA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COMARAPA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CONCEPCION,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COPACABANA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
