municipality,group,variable,month,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
ACHACACHI,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
AIQUILE,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ANCORAIMES,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ANZALDO,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CAMARGO,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,1,2,0,0,1,2,3
CARANAVI,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,1,0,1,1,2
CARAPARI,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CHALLAPATA,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,5,10,4,1,9,11,20
COCHABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CULPINA,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
EL ALTO,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,1,1,1,4,0,0,2,5,7
LA PAZ,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,3,0,0,1,51,16,13,2,67,19,86
LLALLAGUA,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,8,7,0,0,8,7,15
MINEROS,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
MONTEAGUDO,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
MONTERO,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,2,0,0,0,2,0,2
MORO MORO,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ORURO,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,7,2,107,53,12,10,126,65,191
POCOATA,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
POJO (CBBA),violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,2,0,0,0,0,0,2,0,2
PUNATA,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SACABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,1,2,0,0,1,2,3
SAN ANTONIO DE LOMERIO,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN LORENZO(TJA),violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,1,0,2,2
SANTA CRUZ DE LA SIERRA,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,1,1,0,0,0,0,1,1,2
SOPACHUY,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SUCRE,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,0,1,0,1,0,1
TORO TORO,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TUPIZA,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,4,0,0,0,4,4
VILLA MONTES,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
YAPACANI,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
ACHACACHI,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
ASCENCION DE GUARAYOS,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,2,2,0,0,2,2,4
BUENA VISTA,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,1,0,1,0,0,0,2,0,2
"CAIZA ""D""",violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CALAMARCA,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,1,3,10,1,1,4,12,16
