municipality,group,variable,month,TOTAL
PAILON,eventos - notificacion inmediata parte i,incendio,2021-07-01,21.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2021-07-01,21.0
TIRAQUE (CBBA),eventos - notificacion inmediata parte i,incendio,2021-07-01,2.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2021-08-01,8.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2021-08-01,1.0
SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2021-08-01,5.0
SAN MATIAS,eventos - notificacion inmediata parte i,incendio,2021-08-01,148.0
CABEZAS,eventos - notificacion inmediata parte i,incendio,2021-09-01,1.0
CAQUIAVIRI,eventos - notificacion inmediata parte i,incendio,2021-09-01,21.0
PRESTO,eventos - notificacion inmediata parte i,incendio,2021-09-01,1.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2021-09-01,1.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2021-09-01,1.0
SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2021-09-01,5.0
SAN PEDRO(PND),eventos - notificacion inmediata parte i,incendio,2021-09-01,8.0
SAN RAFAEL,eventos - notificacion inmediata parte i,incendio,2021-09-01,7.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,incendio,2021-09-01,4.0
CARAPARI,eventos - notificacion inmediata parte i,incendio,2021-10-01,1.0
MACHARETI,eventos - notificacion inmediata parte i,incendio,2021-10-01,190.0
PADCAYA,eventos - notificacion inmediata parte i,incendio,2021-10-01,1.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2021-10-01,1.0
TOTORA(CBBA),eventos - notificacion inmediata parte i,incendio,2021-10-01,1.0
VILLA MONTES,eventos - notificacion inmediata parte i,incendio,2021-10-01,1.0
YACUIBA,eventos - notificacion inmediata parte i,incendio,2021-10-01,24.0
CARAPARI,eventos - notificacion inmediata parte i,incendio,2021-11-01,10.0
ENTRE RIOS TRJ,eventos - notificacion inmediata parte i,incendio,2021-11-01,3.0
SUCRE,eventos - notificacion inmediata parte i,incendio,2021-11-01,1.0
