municipality,group,variable,month,TOTAL
ARQUE,eventos - notificacion inmediata parte i,riada,2021-01-01,138.0
BUENA VISTA,eventos - notificacion inmediata parte i,riada,2021-01-01,4.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2021-01-01,12.0
ENTRE RIOS CBBA,eventos - notificacion inmediata parte i,riada,2021-01-01,46.0
TAHUA,eventos - notificacion inmediata parte i,riada,2021-01-01,4.0
TIPUANI,eventos - notificacion inmediata parte i,riada,2021-01-01,251.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,riada,2021-01-01,4.0
AZURDUY,eventos - notificacion inmediata parte i,riada,2021-02-01,53.0
COTAGAITA,eventos - notificacion inmediata parte i,riada,2021-02-01,41.0
EL VILLAR,eventos - notificacion inmediata parte i,riada,2021-02-01,209.0
OCURI,eventos - notificacion inmediata parte i,riada,2021-02-01,7.0
SUCRE,eventos - notificacion inmediata parte i,riada,2021-02-01,31.0
TIPUANI,eventos - notificacion inmediata parte i,riada,2021-02-01,61.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2021-03-01,9.0
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,riada,2021-09-01,29.0
MONTEAGUDO,eventos - notificacion inmediata parte i,riada,2021-09-01,50.0
MOJOCOYA,eventos - notificacion inmediata parte i,riada,2021-10-01,15.0
ARQUE,eventos - notificacion inmediata parte i,riada,2021-11-01,298.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2021-11-01,1.0
LA PAZ,eventos - notificacion inmediata parte i,riada,2021-11-01,2.0
SICAYA,eventos - notificacion inmediata parte i,riada,2021-11-01,1.0
TACOPAYA,eventos - notificacion inmediata parte i,riada,2021-11-01,34.0
ARQUE,eventos - notificacion inmediata parte i,riada,2021-12-01,26.0
BETANZOS,eventos - notificacion inmediata parte i,riada,2021-12-01,403.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2021-12-01,14.0
COMARAPA,eventos - notificacion inmediata parte i,riada,2021-12-01,63.0
EL VILLAR,eventos - notificacion inmediata parte i,riada,2021-12-01,236.0
ICLA,eventos - notificacion inmediata parte i,riada,2021-12-01,82.0
OMEREQUE,eventos - notificacion inmediata parte i,riada,2021-12-01,2.0
PADILLA,eventos - notificacion inmediata parte i,riada,2021-12-01,5.0
PAMPA GRANDE,eventos - notificacion inmediata parte i,riada,2021-12-01,281.0
POROMA,eventos - notificacion inmediata parte i,riada,2021-12-01,12.0
SICAYA,eventos - notificacion inmediata parte i,riada,2021-12-01,1.0
SUCRE,eventos - notificacion inmediata parte i,riada,2021-12-01,820.0
TACOPAYA,eventos - notificacion inmediata parte i,riada,2021-12-01,8.0
TIAHUANACU,eventos - notificacion inmediata parte i,riada,2021-12-01,5.0
TRIGAL,eventos - notificacion inmediata parte i,riada,2021-12-01,403.0
URUBICHA,eventos - notificacion inmediata parte i,riada,2021-12-01,2.0
VALLEGRANDE,eventos - notificacion inmediata parte i,riada,2021-12-01,345.0
VILLA MONTES,eventos - notificacion inmediata parte i,riada,2021-12-01,3.0
YOTALA,eventos - notificacion inmediata parte i,riada,2021-12-01,87.0
