municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-01-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-01-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2009-02-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-02-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-02-01,0.0,0.0,0.0,1.0,1.0,0.0,2.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2009-03-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-03-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2009-04-01,0.0,0.0,0.0,0.0,4.0,0.0,4.0
PADCAYA,sospecha diagnostica,enfer. por hanta virus,2009-04-01,0.0,0.0,0.0,0.0,5.0,0.0,5.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2009-04-01,0.0,0.0,0.0,2.0,1.0,0.0,3.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-04-01,0.0,0.0,0.0,0.0,9.0,0.0,9.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2009-05-01,0.0,0.0,1.0,1.0,1.0,0.0,3.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-05-01,0.0,0.0,0.0,0.0,3.0,0.0,3.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-06-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-06-01,0.0,0.0,0.0,1.0,1.0,0.0,2.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2009-06-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2009-07-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PADCAYA,sospecha diagnostica,enfer. por hanta virus,2009-07-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2009-07-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-07-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-07-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2009-07-01,0.0,0.0,0.0,0.0,6.0,0.0,6.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-08-01,0.0,0.0,0.0,0.0,4.0,0.0,4.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-08-01,0.0,0.0,0.0,0.0,3.0,0.0,3.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2009-09-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
PADCAYA,sospecha diagnostica,enfer. por hanta virus,2009-09-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2009-09-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-09-01,0.0,0.0,0.0,1.0,2.0,0.0,3.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2009-09-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2009-10-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
PADCAYA,sospecha diagnostica,enfer. por hanta virus,2009-10-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2009-10-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-10-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-10-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2009-11-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-11-01,0.0,0.0,0.0,1.0,1.0,0.0,2.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2009-11-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0
