,group,variable,month,Dentro,Dentro,Fuera,Fuera,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,
BATALLAS,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,0,1,0,1,1
BETANZOS,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,1,1,1,1,2
CHALLAPATA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,2,1,2,1,3
CHARAGUA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,1,0,1,0,1
CHAYANTA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,1,0,1,0,1
COCHABAMBA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,1,16,0,0,1,16,17
COLOMI,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,1,0,1,0,1
COTAGAITA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,1,0,1,0,2,0,2
EL ALTO,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,5,6,5,0,10,6,16
GUAYARAMERIN,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,1,1,0,0,1,1,2
HUANUNI,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,0,1,0,1,1
JESUS DE MACHACA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,1,0,1,0,2,2
LA PAZ,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,33,14,4,1,37,15,52
LLALLAGUA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,1,2,1,2,3
POTOSI,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,1,14,0,0,1,14,15
PUCARANI,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,0,1,0,1,1
PUNA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,1,0,0,0,1,0,1
QUIABAYA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,1,0,1,0,1
RIBERALTA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,1,0,0,0,1,0,1
RURRENABAQUE,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,1,0,0,0,1,1
SACABA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,0,1,0,1,1
SACACA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,1,2,1,2,3
SAN BUENA VENTURA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,2,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,1,2,0,0,1,2,3
SUCRE,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,6,4,0,0,6,4,10
TARIJA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,2,0,0,0,2,0,2
TRINIDAD,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,1,0,0,0,1,1
UNCIA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,1,1,1,1,2
UYUNI,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,1,0,0,1,1,1,2
VIACHA,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,0,1,0,1,1
VILLA MONTES,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,0,1,0,1,1
VILLAZON,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,0,2,0,2,2
YAPACANI,mortalidad,muerte menor de 5 anos por otras causas,2013-01-01,0,0,1,0,1,0,1
ACACIO,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,0,1,0,1,1
CARIPUYO,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,0,1,0,1,1
CHOQUE COTA,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,0,1,0,1,1
COCHABAMBA,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,4,4,0,0,4,4,8
COLOMI,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,1,1,1,1,2
COLQUECHACA,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,0,1,0,1,1
COLQUENCHA,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,0,2,0,2,2
CORO CORO,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,1,0,0,0,1,0,1
COROICO,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,1,0,0,0,1,1
COTAGAITA,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,1,1,1,1,2
CUATRO CAÑADAS,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,1,0,1,0,1
CURVA,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,0,1,0,1,1
EL ALTO,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,3,1,3,6,6,7,13
FERNANDEZ ALONSO,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,1,0,1,0,1
GUAYARAMERIN,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,1,2,0,0,1,2,3
HUANUNI,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,1,0,1,0,2,0,2
LA PAZ,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,22,15,4,0,26,15,41
LLALLAGUA,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,1,1,1,1,2
MONTERO,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,1,0,0,0,1,0,1
POTOSI,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,5,6,0,0,5,6,11
PRESTO,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,1,0,1,0,1
PUERTO SUAREZ,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,1,0,0,1,1,1,2
QUILLACOLLO,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,0,1,0,1,1
RAVELO,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,0,1,0,1,1
RIBERALTA,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,3,0,0,0,3,0,3
RURRENABAQUE,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,1,0,0,0,1,0,1
SAN LORENZO(PND),mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,1,1,0,0,1,1,2
SUCRE,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,5,5,0,0,5,5,10
TARIJA,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,2,3,1,0,3,3,6
TIAWANACU,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,0,1,0,1,1
TINGUIPAYA,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,0,5,0,5,5
TORO TORO,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,1,0,1,0,1
UYUNI,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,1,0,2,0,3,0,3
VACAS,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,0,1,0,1,1
YOCALLA,mortalidad,muerte menor de 5 anos por otras causas,2013-02-01,0,0,1,0,1,0,1
ACACIO,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,1,1,1,2
ATOCHA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
AYATA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
CABEZAS,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,0,1,0,1,1
CAJUATA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
CAMIRI,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
CAPINOTA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
CARIPUYO,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,0,1,0,1,1
CHARAÑA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
COCHABAMBA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,2,3,0,0,2,3,5
COLQUENCHA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,4,0,4,0,4
COROICO,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
COTAGAITA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
EL ALTO,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,5,4,8,3,13,7,20
GRAL. J.J. PEREZ (CHARAZANI),mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,1,0,0,0,1,0,1
HUARINA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
LA PAZ,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,28,14,1,2,29,16,45
LAGUNILLAS,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
LLALLAGUA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,0,1,0,1,1
MAPIRI,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
MONTEAGUDO,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,1,0,0,0,1,0,1
PAILON,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,0,1,0,1,1
PALOS BLANCOS,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
POCOATA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,1,0,2,1,3,1,4
POTOSI,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,4,4,0,0,4,4,8
PUNA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,0,1,0,1,1
RIBERALTA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,1,0,0,0,1,1
SACABA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,0,1,0,1,1
SAN ANDRES DE MACHACA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,0,1,0,1,1
SAN BORJA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,1,0,1,1,2,1,3
SAN IGNACIO DE VELASCO,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,1,0,0,0,1,0,1
SAN LUCAS,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,1,3,0,0,1,3,4
SICA SICA (VILLA AROMA),mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
SUCRE,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,7,3,0,0,7,3,10
TARABUCO,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
TARIJA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,2,0,0,1,2,1,3
TIPUANI,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,1,0,0,0,1,0,1
TITO YUPANQUI (PARQUIPUJIO),mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
TORO TORO,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,0,1,0,1,1
TRINIDAD,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,1,0,0,0,1,1
TUPIZA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,1,0,1,0,1
UNCIA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,1,0,1,0,2,0,2
VIACHA,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,2,1,2,1,3
VILLA TUNARI,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,2,0,2,0,2
VILLAZON,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,0,0,0,2,0,2,2
YAPACANI,mortalidad,muerte menor de 5 anos por otras causas,2013-03-01,1,0,2,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,1,0,1,0,1
AZURDUY,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,0,3,0,3,3
CALAMARCA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,2,0,2,0,2
CARANAVI,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,0,1,0,1,1
CARIPUYO,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,1,0,1,0,2,2
CHARAGUA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,1,0,1,0,1
CKOCHAS,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,1,1,1,1,2
COCHABAMBA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,8,9,0,0,8,9,17
"COLCHA ""K""",mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,1,0,1,0,1
COMARAPA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,1,0,1,0,1
COTAGAITA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,0,1,0,1,1
COTOCA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,0,1,0,1,1
EL ALTO,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,10,7,5,5,15,12,27
GUANAY,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,1,0,0,0,1,0,1
GUTIERREZ,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,1,0,1,0,1
INCAHUASI,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,1,0,1,0,2,0,2
JESUS DE MACHACA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,1,0,0,0,1,0,1
LA PAZ,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,26,20,8,3,34,23,57
LLALLAGUA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,1,0,1,1,2,1,3
POCOATA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,1,0,1,1,2,1,3
POTOSI,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,5,7,0,0,5,7,12
PUNA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,1,0,1,0,1
PUNATA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,1,0,1,0,1
RIBERALTA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,1,1,0,0,1,1,2
SAN BORJA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,1,0,0,0,1,0,1
SAN PEDRO,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,2,1,0,0,2,1,3
SANTA ROSA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,1,0,0,0,1,1
SUCRE,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,5,5,0,1,5,6,11
TACOBAMBA,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,1,1,1,1,2
TARABUCO,mortalidad,muerte menor de 5 anos por otras causas,2013-04-01,0,0,0,1,0,1,1
