,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ENTRE RIOS,inmunoprevenibles,tetanos,2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
REYES,inmunoprevenibles,tetanos,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN IGNACIO,inmunoprevenibles,tetanos,2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2008-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
EL TORNO,inmunoprevenibles,tetanos,2008-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
GUAYARAMERIN,inmunoprevenibles,tetanos,2008-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN IGNACIO,inmunoprevenibles,tetanos,2008-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2008-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SUCRE,inmunoprevenibles,tetanos,2008-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
HUARACAJE,inmunoprevenibles,tetanos,2008-03-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,inmunoprevenibles,tetanos,2008-03-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2008-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,inmunoprevenibles,tetanos,2008-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
PORONGO,inmunoprevenibles,tetanos,2008-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2008-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTUARIO DE QUILLACAS,inmunoprevenibles,tetanos,2008-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
LA PAZ,inmunoprevenibles,tetanos,2008-06-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2008-06-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2008-07-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
POTOSI,inmunoprevenibles,tetanos,2008-08-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2008-08-01,0,0,0,0,1,0,0,0,1,0,0,1,2,1,3
SUCRE,inmunoprevenibles,tetanos,2008-08-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
POOPO,inmunoprevenibles,tetanos,2008-09-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2008-09-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COBIJA,inmunoprevenibles,tetanos,2008-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2008-11-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COCHABAMBA,inmunoprevenibles,tetanos,2008-12-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
