municipality,group,variable,month,TOTAL
POROMA,eventos - notificacion inmediata parte ii,otros de excepcion,2022-01-01,9.0
ARAMPAMPA,eventos - notificacion inmediata parte ii,otros de excepcion,2022-02-01,2.0
TURCO,eventos - notificacion inmediata parte ii,otros de excepcion,2022-02-01,1.0
VILLA TUNARI,eventos - notificacion inmediata parte ii,otros de excepcion,2022-02-01,1.0
"CAIZA ""D""",eventos - notificacion inmediata parte ii,otros de excepcion,2022-03-01,309.0
SUCRE,eventos - notificacion inmediata parte ii,otros de excepcion,2022-03-01,4.0
PALOS BLANCOS,eventos - notificacion inmediata parte ii,otros de excepcion,2022-04-01,1.0
SAN PEDRO DE BUENA VISTA,eventos - notificacion inmediata parte ii,otros de excepcion,2022-04-01,1.0
COTAGAITA,eventos - notificacion inmediata parte ii,otros de excepcion,2022-06-01,1.0
POROMA,eventos - notificacion inmediata parte ii,otros de excepcion,2022-06-01,1.0
COCHABAMBA,eventos - notificacion inmediata parte ii,otros de excepcion,2022-07-01,2.0
CULPINA,eventos - notificacion inmediata parte ii,otros de excepcion,2022-07-01,34.0
CAMIRI,eventos - notificacion inmediata parte ii,otros de excepcion,2022-08-01,11.0
INQUISIVI,eventos - notificacion inmediata parte ii,otros de excepcion,2022-08-01,1.0
CAMIRI,eventos - notificacion inmediata parte ii,otros de excepcion,2022-09-01,100.0
SAN LORENZO(PND),eventos - notificacion inmediata parte ii,otros de excepcion,2022-09-01,29.0
GUTIERREZ,eventos - notificacion inmediata parte ii,otros de excepcion,2022-10-01,30.0
PUERTO ACOSTA,eventos - notificacion inmediata parte ii,otros de excepcion,2022-10-01,2.0
MACHARETI,eventos - notificacion inmediata parte ii,otros de excepcion,2022-11-01,28.0
VACAS,eventos - notificacion inmediata parte ii,otros de excepcion,2022-11-01,1.0
EL ALTO,eventos - notificacion inmediata parte ii,otros de excepcion,2022-12-01,1.0
SOPACHUY,eventos - notificacion inmediata parte ii,otros de excepcion,2022-12-01,1.0
