municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,desnutricion aguda,nutricion normal (n),2007-01-01,36,27,26,23,62,50,112
AIQUILE,desnutricion aguda,nutricion normal (n),2007-01-01,74,49,45,45,119,94,213
ALALAY,desnutricion aguda,nutricion normal (n),2007-01-01,11,10,4,5,15,15,30
ALCALA,desnutricion aguda,nutricion normal (n),2007-01-01,38,38,39,31,77,69,146
ANDAMARCA,desnutricion aguda,nutricion normal (n),2007-01-01,9,10,10,9,19,19,38
ANTEQUERA,desnutricion aguda,nutricion normal (n),2007-01-01,0,1,1,1,1,2,3
ANZALDO,desnutricion aguda,nutricion normal (n),2007-01-01,24,19,17,7,41,26,67
ARAMPAMPA,desnutricion aguda,nutricion normal (n),2007-01-01,45,48,44,50,89,98,187
ARANI,desnutricion aguda,nutricion normal (n),2007-01-01,27,31,23,21,50,52,102
ARBIETO,desnutricion aguda,nutricion normal (n),2007-01-01,53,42,34,34,87,76,163
ARQUE,desnutricion aguda,nutricion normal (n),2007-01-01,39,37,14,24,53,61,114
ATOCHA,desnutricion aguda,nutricion normal (n),2007-01-01,76,80,52,29,128,109,237
AYOPAYA (V. DE INDEPENDENCIA),desnutricion aguda,nutricion normal (n),2007-01-01,78,104,73,56,151,160,311
AZURDUY,desnutricion aguda,nutricion normal (n),2007-01-01,211,157,182,155,393,312,705
BAURES,desnutricion aguda,nutricion normal (n),2007-01-01,37,32,37,31,74,63,137
BELEN DE ANDAMARCA,desnutricion aguda,nutricion normal (n),2007-01-01,5,4,2,5,7,9,16
BELEN DE URMIRI,desnutricion aguda,nutricion normal (n),2007-01-01,7,4,6,7,13,11,24
BELLA FLOR,desnutricion aguda,nutricion normal (n),2007-01-01,16,17,13,15,29,32,61
BERMEJO,desnutricion aguda,nutricion normal (n),2007-01-01,58,54,21,20,79,74,153
BETANZOS,desnutricion aguda,nutricion normal (n),2007-01-01,159,137,147,157,306,294,600
BOLIVAR,desnutricion aguda,nutricion normal (n),2007-01-01,41,27,25,26,66,53,119
BOLPEBRA,desnutricion aguda,nutricion normal (n),2007-01-01,2,3,3,7,5,10,15
BOYUIBE,desnutricion aguda,nutricion normal (n),2007-01-01,25,33,26,15,51,48,99
BUENA VISTA,desnutricion aguda,nutricion normal (n),2007-01-01,169,165,139,149,308,314,622
CABEZAS,desnutricion aguda,nutricion normal (n),2007-01-01,114,85,99,72,213,157,370
"CAIZA ""D""",desnutricion aguda,nutricion normal (n),2007-01-01,53,35,34,38,87,73,160
CAJUATA,desnutricion aguda,nutricion normal (n),2007-01-01,97,82,45,46,142,128,270
CAMARGO,desnutricion aguda,nutricion normal (n),2007-01-01,144,145,89,90,233,235,468
CAMATAQUI (C. VILLA ABECIA),desnutricion aguda,nutricion normal (n),2007-01-01,35,30,39,24,74,54,128
CAMIRI,desnutricion aguda,nutricion normal (n),2007-01-01,215,206,207,185,422,391,813
CAPINOTA,desnutricion aguda,nutricion normal (n),2007-01-01,125,135,134,165,259,300,559
CARACOLLO,desnutricion aguda,nutricion normal (n),2007-01-01,33,24,37,31,70,55,125
CARANGAS,desnutricion aguda,nutricion normal (n),2007-01-01,0,0,1,1,1,1,2
CARAPARI,desnutricion aguda,nutricion normal (n),2007-01-01,83,70,65,78,148,148,296
CARIPUYO,desnutricion aguda,nutricion normal (n),2007-01-01,59,73,72,62,131,135,266
CARMEN RIVERO TORREZ,desnutricion aguda,nutricion normal (n),2007-01-01,29,14,16,15,45,29,74
CHALLAPATA,desnutricion aguda,nutricion normal (n),2007-01-01,144,141,74,69,218,210,428
CHAQUI,desnutricion aguda,nutricion normal (n),2007-01-01,44,31,25,37,69,68,137
CHARAGUA,desnutricion aguda,nutricion normal (n),2007-01-01,183,162,141,119,324,281,605
CHAYANTA,desnutricion aguda,nutricion normal (n),2007-01-01,48,56,24,34,72,90,162
CHIMORE,desnutricion aguda,nutricion normal (n),2007-01-01,58,60,68,53,126,113,239
CHIPAYA,desnutricion aguda,nutricion normal (n),2007-01-01,9,9,6,7,15,16,31
