municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,2,1,3,2,5,7
AIQUILE,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,9,3,6,7,15,22
ALALAY,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,0,0,0,2,0,2
ALCALA,desnutricion aguda,desnutricion moderada (m),2007-01-01,3,2,1,5,4,7,11
ANDAMARCA,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,0,0,0,1,0,1
ANZALDO,desnutricion aguda,desnutricion moderada (m),2007-01-01,3,1,1,1,4,2,6
ARAMPAMPA,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,5,6,5,10,10,20
ARANI,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,3,1,4,2,7,9
ARBIETO,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,5,2,7,6,12,18
ARQUE,desnutricion aguda,desnutricion moderada (m),2007-01-01,9,11,41,11,50,22,72
ATOCHA,desnutricion aguda,desnutricion moderada (m),2007-01-01,3,2,4,3,7,5,12
AYOPAYA (V. DE INDEPENDENCIA),desnutricion aguda,desnutricion moderada (m),2007-01-01,3,4,2,3,5,7,12
AZURDUY,desnutricion aguda,desnutricion moderada (m),2007-01-01,11,14,8,15,19,29,48
BAURES,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,2,0,3,2,5,7
BELEN DE URMIRI,desnutricion aguda,desnutricion moderada (m),2007-01-01,0,1,1,1,1,2,3
BELLA FLOR,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,1,0,2,1,3,4
BERMEJO,desnutricion aguda,desnutricion moderada (m),2007-01-01,0,0,1,0,1,0,1
BETANZOS,desnutricion aguda,desnutricion moderada (m),2007-01-01,13,21,17,15,30,36,66
BOLIVAR,desnutricion aguda,desnutricion moderada (m),2007-01-01,18,8,4,5,22,13,35
BOYUIBE,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,0,3,1,5,1,6
BUENA VISTA,desnutricion aguda,desnutricion moderada (m),2007-01-01,0,1,0,0,0,1,1
CABEZAS,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,5,5,10,6,15,21
"CAIZA ""D""",desnutricion aguda,desnutricion moderada (m),2007-01-01,2,0,1,2,3,2,5
CAJUATA,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,4,1,2,2,6,8
CAMARGO,desnutricion aguda,desnutricion moderada (m),2007-01-01,7,11,4,14,11,25,36
CAMATAQUI (C. VILLA ABECIA),desnutricion aguda,desnutricion moderada (m),2007-01-01,3,0,3,1,6,1,7
CAMIRI,desnutricion aguda,desnutricion moderada (m),2007-01-01,6,3,5,12,11,15,26
CAPINOTA,desnutricion aguda,desnutricion moderada (m),2007-01-01,19,9,11,16,30,25,55
CARACOLLO,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,2,3,3,5,5,10
CARAPARI,desnutricion aguda,desnutricion moderada (m),2007-01-01,0,3,4,3,4,6,10
CARIPUYO,desnutricion aguda,desnutricion moderada (m),2007-01-01,6,7,11,11,17,18,35
CARMEN RIVERO TORREZ,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,1,0,0,1,1,2
CHALLAPATA,desnutricion aguda,desnutricion moderada (m),2007-01-01,20,9,7,12,27,21,48
CHAQUI,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,0,3,2,7,2,9
CHARAGUA,desnutricion aguda,desnutricion moderada (m),2007-01-01,6,5,0,10,6,15,21
CHAYANTA,desnutricion aguda,desnutricion moderada (m),2007-01-01,6,8,13,12,19,20,39
CHIMORE,desnutricion aguda,desnutricion moderada (m),2007-01-01,15,13,7,4,22,17,39
CHIPAYA,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,2,0,1,1,3,4
COBIJA,desnutricion aguda,desnutricion moderada (m),2007-01-01,8,3,3,4,11,7,18
COCHABAMBA,desnutricion aguda,desnutricion moderada (m),2007-01-01,116,104,80,60,196,164,360
COIPASA,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,1,0,0,1,1,2
COLCAPIRHUA,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,7,0,4,4,11,15
"COLCHA ""K""",desnutricion aguda,desnutricion moderada (m),2007-01-01,1,1,1,0,2,1,3
COLOMI,desnutricion aguda,desnutricion moderada (m),2007-01-01,8,14,8,2,16,16,32
COLPA BELGICA,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,0,4,3,8,3,11
COLQUECHACA,desnutricion aguda,desnutricion moderada (m),2007-01-01,17,20,8,11,25,31,56
COLQUIRI,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,1,0,2,2,3,5
COMARAPA,desnutricion aguda,desnutricion moderada (m),2007-01-01,3,6,5,5,8,11,19
CONCEPCION,desnutricion aguda,desnutricion moderada (m),2007-01-01,3,5,2,4,5,9,14
CORQUE,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,0,1,1,2,1,3
COTAGAITA,desnutricion aguda,desnutricion moderada (m),2007-01-01,10,14,11,7,21,21,42
CUATRO CAÑADAS,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,0,1,0,2,0,2
CUCHUMUELA (V. G. VILLARROEL),desnutricion aguda,desnutricion moderada (m),2007-01-01,0,0,0,1,0,1,1
CUEVO,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,3,2,2,4,5,9
CULPINA,desnutricion aguda,desnutricion moderada (m),2007-01-01,9,17,11,14,20,31,51
CURAHUARA DE CARANGAS,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,1,2,2,4,3,7
EL PUENTE(STC),desnutricion aguda,desnutricion moderada (m),2007-01-01,7,3,1,3,8,6,14
EL PUENTE(TJA),desnutricion aguda,desnutricion moderada (m),2007-01-01,2,1,3,3,5,4,9
EL TORNO,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,1,1,0,2,1,3
EL VILLAR,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,2,1,3,3,5,8
ENTRE RIOS,desnutricion aguda,desnutricion moderada (m),2007-01-01,9,6,7,4,16,10,26
ENTRE RIOS,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,1,10,8,11,9,20
EUCALIPTUS,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,1,1,3,3,4,7
EXALTACION,desnutricion aguda,desnutricion moderada (m),2007-01-01,0,0,1,0,1,0,1
FERNANDEZ ALONSO,desnutricion aguda,desnutricion moderada (m),2007-01-01,0,2,1,2,1,4,5
GENERAL SAAVEDRA,desnutricion aguda,desnutricion moderada (m),2007-01-01,6,5,2,2,8,7,15
GUAYARAMERIN,desnutricion aguda,desnutricion moderada (m),2007-01-01,13,13,5,10,18,23,41
GUTIERREZ,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,3,4,7,5,10,15
HUACARETA,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,3,2,0,3,3,6
HUACAYA (VILLA DE HUACAYA),desnutricion aguda,desnutricion moderada (m),2007-01-01,0,1,1,1,1,2,3
HUANUNI,desnutricion aguda,desnutricion moderada (m),2007-01-01,5,8,5,3,10,11,21
HUARACAJE,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,0,1,1,2,1,3
HUAYLLAMARCA,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,1,0,1,2,2,4
ICLA,desnutricion aguda,desnutricion moderada (m),2007-01-01,17,17,29,28,46,45,91
INCAHUASI,desnutricion aguda,desnutricion moderada (m),2007-01-01,20,14,12,20,32,34,66
INQUISIVI,desnutricion aguda,desnutricion moderada (m),2007-01-01,5,4,2,2,7,6,13
LA GUARDIA,desnutricion aguda,desnutricion moderada (m),2007-01-01,13,12,5,10,18,22,40
LAGUNILLAS,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,12,2,6,6,18,24
LAS CARRERAS,desnutricion aguda,desnutricion moderada (m),2007-01-01,0,0,1,2,1,2,3
LLALLAGUA,desnutricion aguda,desnutricion moderada (m),2007-01-01,16,20,15,14,31,34,65
LLICA,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,0,1,0,2,0,2
MACHACAMARCA,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,6,6,0,10,6,16
MACHARETI,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,3,3,3,4,6,10
MAGDALENA,desnutricion aguda,desnutricion moderada (m),2007-01-01,3,6,1,1,4,7,11
MAIRANA,desnutricion aguda,desnutricion moderada (m),2007-01-01,3,2,1,1,4,3,7
MINEROS,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,6,0,2,1,8,9
MIZQUE,desnutricion aguda,desnutricion moderada (m),2007-01-01,15,8,12,20,27,28,55
MOJOCOYA,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,2,0,4,4,6,10
MONTEAGUDO,desnutricion aguda,desnutricion moderada (m),2007-01-01,13,14,7,11,20,25,45
MONTERO,desnutricion aguda,desnutricion moderada (m),2007-01-01,44,41,25,32,69,73,142
MOROCHATA,desnutricion aguda,desnutricion moderada (m),2007-01-01,6,6,3,1,9,7,16
OCURI,desnutricion aguda,desnutricion moderada (m),2007-01-01,21,17,11,12,32,29,61
OKINAWA,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,0,0,1,2,1,3
OMEREQUE,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,2,1,4,3,6,9
ORURO,desnutricion aguda,desnutricion moderada (m),2007-01-01,71,74,27,47,98,121,219
PADCAYA,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,3,0,3,2,6,8
PADILLA,desnutricion aguda,desnutricion moderada (m),2007-01-01,6,5,13,13,19,18,37
PAILON,desnutricion aguda,desnutricion moderada (m),2007-01-01,5,8,1,4,6,12,18
PAMPA AULLAGAS,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,0,0,2,1,2,3
PAMPA GRANDE,desnutricion aguda,desnutricion moderada (m),2007-01-01,0,1,2,3,2,4,6
PASORAPA,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,1,0,0,1,1,2
PAZÑA,desnutricion aguda,desnutricion moderada (m),2007-01-01,0,1,0,0,0,1,1
POCOATA,desnutricion aguda,desnutricion moderada (m),2007-01-01,11,9,5,10,16,19,35
POCONA,desnutricion aguda,desnutricion moderada (m),2007-01-01,5,4,5,5,10,9,19
POJO (CBBA),desnutricion aguda,desnutricion moderada (m),2007-01-01,1,2,2,1,3,3,6
POOPO,desnutricion aguda,desnutricion moderada (m),2007-01-01,3,1,1,1,4,2,6
PORCO,desnutricion aguda,desnutricion moderada (m),2007-01-01,12,10,3,7,15,17,32
POROMA,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,4,2,1,4,5,9
