municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,desnutricion aguda,nutricion superior (ns),2007-01-01,3,1,0,1,3,2,5
AIQUILE,desnutricion aguda,nutricion superior (ns),2007-01-01,9,1,5,1,14,2,16
ALCALA,desnutricion aguda,nutricion superior (ns),2007-01-01,3,10,0,1,3,11,14
ANDAMARCA,desnutricion aguda,nutricion superior (ns),2007-01-01,4,1,0,0,4,1,5
ANTEQUERA,desnutricion aguda,nutricion superior (ns),2007-01-01,1,0,0,0,1,0,1
ANZALDO,desnutricion aguda,nutricion superior (ns),2007-01-01,3,2,3,4,6,6,12
ARAMPAMPA,desnutricion aguda,nutricion superior (ns),2007-01-01,2,0,1,2,3,2,5
ARANI,desnutricion aguda,nutricion superior (ns),2007-01-01,4,5,4,1,8,6,14
ARBIETO,desnutricion aguda,nutricion superior (ns),2007-01-01,7,7,0,1,7,8,15
ARQUE,desnutricion aguda,nutricion superior (ns),2007-01-01,1,1,0,0,1,1,2
ATOCHA,desnutricion aguda,nutricion superior (ns),2007-01-01,8,3,2,1,10,4,14
AYOPAYA (V. DE INDEPENDENCIA),desnutricion aguda,nutricion superior (ns),2007-01-01,12,13,1,2,13,15,28
AZURDUY,desnutricion aguda,nutricion superior (ns),2007-01-01,17,7,6,1,23,8,31
BAURES,desnutricion aguda,nutricion superior (ns),2007-01-01,14,5,0,4,14,9,23
BELEN DE ANDAMARCA,desnutricion aguda,nutricion superior (ns),2007-01-01,0,2,2,0,2,2,4
BELEN DE URMIRI,desnutricion aguda,nutricion superior (ns),2007-01-01,2,1,2,3,4,4,8
BELLA FLOR,desnutricion aguda,nutricion superior (ns),2007-01-01,7,2,0,2,7,4,11
BERMEJO,desnutricion aguda,nutricion superior (ns),2007-01-01,4,0,0,0,4,0,4
BETANZOS,desnutricion aguda,nutricion superior (ns),2007-01-01,17,13,3,5,20,18,38
BOLIVAR,desnutricion aguda,nutricion superior (ns),2007-01-01,1,0,0,0,1,0,1
BOLPEBRA,desnutricion aguda,nutricion superior (ns),2007-01-01,0,1,0,0,0,1,1
BOYUIBE,desnutricion aguda,nutricion superior (ns),2007-01-01,2,7,1,1,3,8,11
BUENA VISTA,desnutricion aguda,nutricion superior (ns),2007-01-01,15,5,6,3,21,8,29
CABEZAS,desnutricion aguda,nutricion superior (ns),2007-01-01,42,21,16,8,58,29,87
"CAIZA ""D""",desnutricion aguda,nutricion superior (ns),2007-01-01,7,7,2,3,9,10,19
CAJUATA,desnutricion aguda,nutricion superior (ns),2007-01-01,32,27,31,22,63,49,112
CAMARGO,desnutricion aguda,nutricion superior (ns),2007-01-01,30,11,4,2,34,13,47
CAMATAQUI (C. VILLA ABECIA),desnutricion aguda,nutricion superior (ns),2007-01-01,4,5,2,2,6,7,13
CAMIRI,desnutricion aguda,nutricion superior (ns),2007-01-01,95,61,20,20,115,81,196
CAPINOTA,desnutricion aguda,nutricion superior (ns),2007-01-01,11,4,2,4,13,8,21
CARACOLLO,desnutricion aguda,nutricion superior (ns),2007-01-01,7,9,5,0,12,9,21
CARAPARI,desnutricion aguda,nutricion superior (ns),2007-01-01,27,13,5,2,32,15,47
CARIPUYO,desnutricion aguda,nutricion superior (ns),2007-01-01,11,5,0,1,11,6,17
CARMEN RIVERO TORREZ,desnutricion aguda,nutricion superior (ns),2007-01-01,6,5,2,2,8,7,15
CHALLAPATA,desnutricion aguda,nutricion superior (ns),2007-01-01,25,15,2,1,27,16,43
CHAQUI,desnutricion aguda,nutricion superior (ns),2007-01-01,7,4,2,1,9,5,14
CHARAGUA,desnutricion aguda,nutricion superior (ns),2007-01-01,30,35,9,14,39,49,88
CHAYANTA,desnutricion aguda,nutricion superior (ns),2007-01-01,3,9,1,0,4,9,13
CHIMORE,desnutricion aguda,nutricion superior (ns),2007-01-01,12,18,1,0,13,18,31
COBIJA,desnutricion aguda,nutricion superior (ns),2007-01-01,59,75,4,8,63,83,146
COCHABAMBA,desnutricion aguda,nutricion superior (ns),2007-01-01,381,294,146,97,527,391,918
COIPASA,desnutricion aguda,nutricion superior (ns),2007-01-01,0,1,0,0,0,1,1
COLCAPIRHUA,desnutricion aguda,nutricion superior (ns),2007-01-01,17,10,2,0,19,10,29
"COLCHA ""K""",desnutricion aguda,nutricion superior (ns),2007-01-01,7,5,0,1,7,6,13
COLOMI,desnutricion aguda,nutricion superior (ns),2007-01-01,14,11,4,0,18,11,29
COLPA BELGICA,desnutricion aguda,nutricion superior (ns),2007-01-01,19,8,2,6,21,14,35
COLQUECHACA,desnutricion aguda,nutricion superior (ns),2007-01-01,4,2,1,0,5,2,7
COLQUIRI,desnutricion aguda,nutricion superior (ns),2007-01-01,0,3,1,0,1,3,4
COMARAPA,desnutricion aguda,nutricion superior (ns),2007-01-01,88,64,9,7,97,71,168
CONCEPCION,desnutricion aguda,nutricion superior (ns),2007-01-01,9,12,2,2,11,14,25
CORQUE,desnutricion aguda,nutricion superior (ns),2007-01-01,4,3,1,1,5,4,9
COTAGAITA,desnutricion aguda,nutricion superior (ns),2007-01-01,17,8,0,0,17,8,25
COTOCA,desnutricion aguda,nutricion superior (ns),2007-01-01,68,73,116,80,184,153,337
CUATRO CAÑADAS,desnutricion aguda,nutricion superior (ns),2007-01-01,27,18,4,2,31,20,51
CUEVO,desnutricion aguda,nutricion superior (ns),2007-01-01,5,12,1,2,6,14,20
CULPINA,desnutricion aguda,nutricion superior (ns),2007-01-01,17,13,4,2,21,15,36
CURAHUARA DE CARANGAS,desnutricion aguda,nutricion superior (ns),2007-01-01,3,5,1,0,4,5,9
EL CHORO,desnutricion aguda,nutricion superior (ns),2007-01-01,3,4,1,1,4,5,9
EL PUENTE(STC),desnutricion aguda,nutricion superior (ns),2007-01-01,19,13,3,0,22,13,35
EL PUENTE(TJA),desnutricion aguda,nutricion superior (ns),2007-01-01,4,6,1,3,5,9,14
EL TORNO,desnutricion aguda,nutricion superior (ns),2007-01-01,114,30,18,7,132,37,169
EL VILLAR,desnutricion aguda,nutricion superior (ns),2007-01-01,4,2,2,1,6,3,9
ENTRE RIOS,desnutricion aguda,nutricion superior (ns),2007-01-01,47,37,11,7,58,44,102
