municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
AIQUILE,desnutricion aguda,desnutricion grave (g),2007-01-01,3,1,0,1,3,2,5
ALALAY,desnutricion aguda,desnutricion grave (g),2007-01-01,2,0,1,0,3,0,3
ANZALDO,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
ARAMPAMPA,desnutricion aguda,desnutricion grave (g),2007-01-01,3,2,4,3,7,5,12
ARANI,desnutricion aguda,desnutricion grave (g),2007-01-01,0,0,1,0,1,0,1
ARBIETO,desnutricion aguda,desnutricion grave (g),2007-01-01,2,0,0,0,2,0,2
ARQUE,desnutricion aguda,desnutricion grave (g),2007-01-01,1,2,1,2,2,4,6
ATOCHA,desnutricion aguda,desnutricion grave (g),2007-01-01,0,0,1,0,1,0,1
AZURDUY,desnutricion aguda,desnutricion grave (g),2007-01-01,0,3,1,1,1,4,5
BAURES,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,0,0,0,1,1
BELEN DE ANDAMARCA,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
BELLA FLOR,desnutricion aguda,desnutricion grave (g),2007-01-01,0,0,0,1,0,1,1
BERMEJO,desnutricion aguda,desnutricion grave (g),2007-01-01,0,0,0,1,0,1,1
BETANZOS,desnutricion aguda,desnutricion grave (g),2007-01-01,4,4,0,0,4,4,8
BOLIVAR,desnutricion aguda,desnutricion grave (g),2007-01-01,3,2,1,2,4,4,8
BOYUIBE,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
CABEZAS,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,0,1,0,2,2
CAJUATA,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
CAMARGO,desnutricion aguda,desnutricion grave (g),2007-01-01,2,2,0,0,2,2,4
CAMIRI,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,1,1,1,2
CAPINOTA,desnutricion aguda,desnutricion grave (g),2007-01-01,4,4,1,2,5,6,11
CARACOLLO,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
CARAPARI,desnutricion aguda,desnutricion grave (g),2007-01-01,2,0,0,0,2,0,2
CARIPUYO,desnutricion aguda,desnutricion grave (g),2007-01-01,1,2,1,4,2,6,8
CHALLAPATA,desnutricion aguda,desnutricion grave (g),2007-01-01,2,2,1,0,3,2,5
CHAQUI,desnutricion aguda,desnutricion grave (g),2007-01-01,3,1,0,1,3,2,5
CHARAGUA,desnutricion aguda,desnutricion grave (g),2007-01-01,3,1,0,2,3,3,6
CHAYANTA,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,0,2,0,3,3
CHIMORE,desnutricion aguda,desnutricion grave (g),2007-01-01,7,3,0,2,7,5,12
COCHABAMBA,desnutricion aguda,desnutricion grave (g),2007-01-01,28,15,16,8,44,23,67
COLOMI,desnutricion aguda,desnutricion grave (g),2007-01-01,1,1,2,0,3,1,4
COLPA BELGICA,desnutricion aguda,desnutricion grave (g),2007-01-01,2,0,0,0,2,0,2
COLQUECHACA,desnutricion aguda,desnutricion grave (g),2007-01-01,7,3,1,0,8,3,11
COMARAPA,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,0,0,0,1,1
CONCEPCION,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,2,0,3,0,3
CORQUE,desnutricion aguda,desnutricion grave (g),2007-01-01,0,0,0,2,0,2,2
COTAGAITA,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,1,1,2,1,3
CUATRO CAÑADAS,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,0,0,0,1,1
CUEVO,desnutricion aguda,desnutricion grave (g),2007-01-01,2,0,0,1,2,1,3
CULPINA,desnutricion aguda,desnutricion grave (g),2007-01-01,4,1,1,1,5,2,7
EL PUENTE(STC),desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
EL PUENTE(TJA),desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
EL VILLAR,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,0,2,0,3,3
ENTRE RIOS,desnutricion aguda,desnutricion grave (g),2007-01-01,0,0,1,0,1,0,1
ENTRE RIOS,desnutricion aguda,desnutricion grave (g),2007-01-01,2,1,1,0,3,1,4
GENERAL SAAVEDRA,desnutricion aguda,desnutricion grave (g),2007-01-01,3,4,0,1,3,5,8
GUAYARAMERIN,desnutricion aguda,desnutricion grave (g),2007-01-01,0,3,1,4,1,7,8
GUTIERREZ,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,1,1,1,2,3
HUACARETA,desnutricion aguda,desnutricion grave (g),2007-01-01,2,0,0,0,2,0,2
HUANUNI,desnutricion aguda,desnutricion grave (g),2007-01-01,0,2,3,0,3,2,5
ICLA,desnutricion aguda,desnutricion grave (g),2007-01-01,2,2,2,2,4,4,8
INCAHUASI,desnutricion aguda,desnutricion grave (g),2007-01-01,3,2,1,2,4,4,8
INQUISIVI,desnutricion aguda,desnutricion grave (g),2007-01-01,3,0,0,0,3,0,3
LA GUARDIA,desnutricion aguda,desnutricion grave (g),2007-01-01,4,2,1,1,5,3,8
LAGUNILLAS,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,0,0,0,1,1
LAS CARRERAS,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,0,0,0,1,1
LLALLAGUA,desnutricion aguda,desnutricion grave (g),2007-01-01,5,4,5,5,10,9,19
MACHARETI,desnutricion aguda,desnutricion grave (g),2007-01-01,0,0,1,0,1,0,1
MINEROS,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
MIZQUE,desnutricion aguda,desnutricion grave (g),2007-01-01,3,0,0,0,3,0,3
MONTEAGUDO,desnutricion aguda,desnutricion grave (g),2007-01-01,2,3,3,2,5,5,10
MONTERO,desnutricion aguda,desnutricion grave (g),2007-01-01,17,3,3,8,20,11,31
MORO MORO,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,0,0,0,1,1
OCURI,desnutricion aguda,desnutricion grave (g),2007-01-01,3,2,1,2,4,4,8
OKINAWA,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
ORURO,desnutricion aguda,desnutricion grave (g),2007-01-01,11,10,1,1,12,11,23
PADILLA,desnutricion aguda,desnutricion grave (g),2007-01-01,2,0,1,2,3,2,5
PAMPA AULLAGAS,desnutricion aguda,desnutricion grave (g),2007-01-01,0,0,0,1,0,1,1
PAMPA GRANDE,desnutricion aguda,desnutricion grave (g),2007-01-01,0,0,0,1,0,1,1
POCOATA,desnutricion aguda,desnutricion grave (g),2007-01-01,1,4,0,2,1,6,7
POCONA,desnutricion aguda,desnutricion grave (g),2007-01-01,1,1,0,0,1,1,2
POJO (CBBA),desnutricion aguda,desnutricion grave (g),2007-01-01,1,1,0,0,1,1,2
PORCO,desnutricion aguda,desnutricion grave (g),2007-01-01,2,0,1,1,3,1,4
POROMA,desnutricion aguda,desnutricion grave (g),2007-01-01,3,0,0,0,3,0,3
PORTACHUELO,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
POTOSI,desnutricion aguda,desnutricion grave (g),2007-01-01,8,8,0,3,8,11,19
PRESTO,desnutricion aguda,desnutricion grave (g),2007-01-01,1,4,1,0,2,4,6
PUERTO GONZALO MORENO,desnutricion aguda,desnutricion grave (g),2007-01-01,2,1,1,0,3,1,4
PUERTO QUIJARRO,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,1,1,1,2
PUERTO SUAREZ,desnutricion aguda,desnutricion grave (g),2007-01-01,1,1,0,0,1,1,2
PUERTO VILLARROEL,desnutricion aguda,desnutricion grave (g),2007-01-01,1,5,7,2,8,7,15
PUNA,desnutricion aguda,desnutricion grave (g),2007-01-01,1,5,1,3,2,8,10
PUNATA,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
QUILLACOLLO,desnutricion aguda,desnutricion grave (g),2007-01-01,5,1,0,3,5,4,9
QUIME,desnutricion aguda,desnutricion grave (g),2007-01-01,3,2,0,0,3,2,5
RAVELO,desnutricion aguda,desnutricion grave (g),2007-01-01,5,1,3,4,8,5,13
REYES,desnutricion aguda,desnutricion grave (g),2007-01-01,2,2,0,0,2,2,4
RIBERALTA,desnutricion aguda,desnutricion grave (g),2007-01-01,14,16,6,7,20,23,43
ROBORE,desnutricion aguda,desnutricion grave (g),2007-01-01,1,1,0,0,1,1,2
RURRENABAQUE,desnutricion aguda,desnutricion grave (g),2007-01-01,2,0,0,0,2,0,2
SABAYA,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,0,0,0,1,1
SACABA,desnutricion aguda,desnutricion grave (g),2007-01-01,1,1,0,0,1,1,2
SACACA,desnutricion aguda,desnutricion grave (g),2007-01-01,4,1,1,2,5,3,8
SAIPINA,desnutricion aguda,desnutricion grave (g),2007-01-01,2,0,0,1,2,1,3
SAN AGUSTIN,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
SAN BENITO,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,0,0,0,1,1
SAN BORJA,desnutricion aguda,desnutricion grave (g),2007-01-01,1,2,0,1,1,3,4
SAN CARLOS,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,1,1,1,2
SAN IGNACIO,desnutricion aguda,desnutricion grave (g),2007-01-01,6,2,1,1,7,3,10
SAN IGNACIO DE VELASCO,desnutricion aguda,desnutricion grave (g),2007-01-01,5,1,3,2,8,3,11
SAN JOSE DE CHIQUITOS,desnutricion aguda,desnutricion grave (g),2007-01-01,0,0,0,2,0,2,2
SAN LORENZO(TJA),desnutricion aguda,desnutricion grave (g),2007-01-01,0,2,0,0,0,2,2
SAN LUCAS,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,2,1,2,2,4
SAN MATIAS,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
SAN RAFAEL,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,desnutricion aguda,desnutricion grave (g),2007-01-01,24,21,3,15,27,36,63
SANTA ROSA,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
SANTA ROSA DEL SARA,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,2,0,2,1,3
SENA,desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
SICAYA,desnutricion aguda,desnutricion grave (g),2007-01-01,0,2,0,0,0,2,2
SIPE SIPE,desnutricion aguda,desnutricion grave (g),2007-01-01,3,1,0,2,3,3,6
SOPACHUY,desnutricion aguda,desnutricion grave (g),2007-01-01,2,3,0,3,2,6,8
SUCRE,desnutricion aguda,desnutricion grave (g),2007-01-01,7,8,2,2,9,10,19
TACOBAMBA,desnutricion aguda,desnutricion grave (g),2007-01-01,1,1,0,0,1,1,2
TACOPAYA,desnutricion aguda,desnutricion grave (g),2007-01-01,0,0,1,1,1,1,2
TAPACARI,desnutricion aguda,desnutricion grave (g),2007-01-01,10,5,0,1,10,6,16
TARABUCO,desnutricion aguda,desnutricion grave (g),2007-01-01,10,7,4,3,14,10,24
TARATA,desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,0,0,0,1,1
TARIJA,desnutricion aguda,desnutricion grave (g),2007-01-01,4,2,3,6,7,8,15
TARVITA,desnutricion aguda,desnutricion grave (g),2007-01-01,5,3,1,1,6,4,10
TINGUIPAYA,desnutricion aguda,desnutricion grave (g),2007-01-01,5,1,3,1,8,2,10
TIQUIPAYA,desnutricion aguda,desnutricion grave (g),2007-01-01,2,1,0,2,2,3,5
TIRAQUE (CBBA),desnutricion aguda,desnutricion grave (g),2007-01-01,4,5,2,4,6,9,15
TOMINA,desnutricion aguda,desnutricion grave (g),2007-01-01,2,0,1,5,3,5,8
TOTORA(CBBA),desnutricion aguda,desnutricion grave (g),2007-01-01,0,0,1,1,1,1,2
TOTORA(ORR),desnutricion aguda,desnutricion grave (g),2007-01-01,1,0,0,0,1,0,1
TRINIDAD,desnutricion aguda,desnutricion grave (g),2007-01-01,4,4,0,5,4,9,13
TUPIZA,desnutricion aguda,desnutricion grave (g),2007-01-01,3,1,1,3,4,4,8
URIONDO (A. CONCEPCION),desnutricion aguda,desnutricion grave (g),2007-01-01,0,0,1,0,1,0,1
VALLEGRANDE,desnutricion aguda,desnutricion grave (g),2007-01-01,1,1,0,0,1,1,2
VILLA MONTES,desnutricion aguda,desnutricion grave (g),2007-01-01,2,0,0,1,2,1,3
VILLA NUEVA (LOMA ALTA),desnutricion aguda,desnutricion grave (g),2007-01-01,0,1,1,2,1,3,4
VILLA SERRANO,desnutricion aguda,desnutricion grave (g),2007-01-01,0,3,0,1,0,4,4
VILLA TUNARI,desnutricion aguda,desnutricion grave (g),2007-01-01,4,9,4,2,8,11,19
