municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-01-01,0,0,0,0
ALTO BENI,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1,144,0,145
BERMEJO,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1,30,0,31
CHIMORE,registro de eventos de notificacion inmediata,inundacion,2011-02-01,2,180,0,182
GUANAY,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1,1016,0,1017
INQUISIVI,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1,0,0,1
LORETO,registro de eventos de notificacion inmediata,inundacion,2011-02-01,2,350,0,352
PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2011-02-01,3,555,0,558
REYES,registro de eventos de notificacion inmediata,inundacion,2011-02-01,18,8691,0,8709
RIBERALTA,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1,80,0,81
RURRENABAQUE,registro de eventos de notificacion inmediata,inundacion,2011-02-01,2,3700,12,3714
SACABA,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1,6,0,7
SAN BORJA,registro de eventos de notificacion inmediata,inundacion,2011-02-01,3,4972,0,4975
SAN IGNACIO,registro de eventos de notificacion inmediata,inundacion,2011-02-01,8,500,0,508
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-02-01,0,0,0,0
SANTA ROSA,registro de eventos de notificacion inmediata,inundacion,2011-02-01,15,142,0,157
TIQUIPAYA,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1,121,0,122
VILLA TUNARI,registro de eventos de notificacion inmediata,inundacion,2011-02-01,3,2086,0,2089
COCHABAMBA,registro de eventos de notificacion inmediata,inundacion,2011-03-01,0,200,0,200
LORETO,registro de eventos de notificacion inmediata,inundacion,2011-03-01,0,187,0,187
PUERTO SILES,registro de eventos de notificacion inmediata,inundacion,2011-03-01,4,45,0,49
PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2011-03-01,4,1345,0,1349
RIBERALTA,registro de eventos de notificacion inmediata,inundacion,2011-03-01,2,173,0,175
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-03-01,0,0,0,0
BOLPEBRA,registro de eventos de notificacion inmediata,inundacion,2011-04-01,1,60,0,61
PUERTO SILES,registro de eventos de notificacion inmediata,inundacion,2011-04-01,1,6,0,7
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-04-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-05-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-06-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-07-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-08-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-09-01,0,0,0,0
PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2011-10-01,1,30,0,31
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-10-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-11-01,0,0,0,0
LAGUNILLAS,registro de eventos de notificacion inmediata,inundacion,2011-12-01,1,36,0,37
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-12-01,0,0,0,0
