municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
LA PAZ,registro de eventos de notificacion inmediata,deslizamiento,2011-01-01,1,0,0,1
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,deslizamiento,2011-01-01,0,0,0,0
BERMEJO,registro de eventos de notificacion inmediata,deslizamiento,2011-02-01,2,2,1,5
BETANZOS,registro de eventos de notificacion inmediata,deslizamiento,2011-02-01,1,80,0,81
CHUMA,registro de eventos de notificacion inmediata,deslizamiento,2011-02-01,1,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,registro de eventos de notificacion inmediata,deslizamiento,2011-02-01,1,30,0,31
COLOMI,registro de eventos de notificacion inmediata,deslizamiento,2011-02-01,2,5,3,10
GRAL. J.J. PEREZ (CHARAZANI),registro de eventos de notificacion inmediata,deslizamiento,2011-02-01,5,4,0,9
INQUISIVI,registro de eventos de notificacion inmediata,deslizamiento,2011-02-01,1,0,0,1
LA ASUNTA,registro de eventos de notificacion inmediata,deslizamiento,2011-02-01,7,4,0,11
LA PAZ,registro de eventos de notificacion inmediata,deslizamiento,2011-02-01,4,6482,0,6486
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,deslizamiento,2011-02-01,0,0,0,0
GRAL. J.J. PEREZ (CHARAZANI),registro de eventos de notificacion inmediata,deslizamiento,2011-03-01,1,1,1,3
PADCAYA,registro de eventos de notificacion inmediata,deslizamiento,2011-03-01,1,0,0,1
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,deslizamiento,2011-03-01,0,0,0,0
PAILON,registro de eventos de notificacion inmediata,deslizamiento,2011-04-01,2,0,0,2
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,deslizamiento,2011-04-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,deslizamiento,2011-05-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,deslizamiento,2011-06-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,deslizamiento,2011-07-01,0,0,0,0
EL PUENTE(TJA),registro de eventos de notificacion inmediata,deslizamiento,2011-08-01,1,0,0,1
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,deslizamiento,2011-08-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,deslizamiento,2011-09-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,deslizamiento,2011-10-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,deslizamiento,2011-11-01,0,0,0,0
ICHOCA,registro de eventos de notificacion inmediata,deslizamiento,2011-12-01,1,0,0,1
LAGUNILLAS,registro de eventos de notificacion inmediata,deslizamiento,2011-12-01,1,800,0,801
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,deslizamiento,2011-12-01,0,0,0,0
