municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-01-01,0,0,0,0
TARATA,registro de eventos de notificacion inmediata,riada,2011-01-01,1,0,0,1
TARIJA,registro de eventos de notificacion inmediata,riada,2011-01-01,1,15,1,17
TARVITA,registro de eventos de notificacion inmediata,riada,2011-01-01,1,47,28,76
VILLAZON,registro de eventos de notificacion inmediata,riada,2011-01-01,1,37,0,38
BERMEJO,registro de eventos de notificacion inmediata,riada,2011-02-01,2,2,0,4
BETANZOS,registro de eventos de notificacion inmediata,riada,2011-02-01,1,15,0,16
CHUMA,registro de eventos de notificacion inmediata,riada,2011-02-01,1,0,0,1
COROICO,registro de eventos de notificacion inmediata,riada,2011-02-01,1,0,0,1
ICLA,registro de eventos de notificacion inmediata,riada,2011-02-01,1,20,0,21
INQUISIVI,registro de eventos de notificacion inmediata,riada,2011-02-01,1,0,0,1
MECAPACA,registro de eventos de notificacion inmediata,riada,2011-02-01,1,40,0,41
MONTEAGUDO,registro de eventos de notificacion inmediata,riada,2011-02-01,1,1,1,3
PADCAYA,registro de eventos de notificacion inmediata,riada,2011-02-01,2,19,1,22
QUIME,registro de eventos de notificacion inmediata,riada,2011-02-01,1,137,0,138
RURRENABAQUE,registro de eventos de notificacion inmediata,riada,2011-02-01,1,200,0,201
SACABA,registro de eventos de notificacion inmediata,riada,2011-02-01,1,1,1,3
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-02-01,0,0,0,0
VILLA TUNARI,registro de eventos de notificacion inmediata,riada,2011-02-01,1,0,0,1
VILLAZON,registro de eventos de notificacion inmediata,riada,2011-02-01,1,1,0,2
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-03-01,0,0,0,0
TINGUIPAYA,registro de eventos de notificacion inmediata,riada,2011-03-01,2,2,0,4
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-04-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-05-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-06-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-07-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-08-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-09-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-10-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-11-01,0,0,0,0
CHARAGUA,registro de eventos de notificacion inmediata,riada,2011-12-01,1,4,2,7
EL PUENTE(TJA),registro de eventos de notificacion inmediata,riada,2011-12-01,1,0,0,1
ICHOCA,registro de eventos de notificacion inmediata,riada,2011-12-01,4,19,0,23
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-12-01,0,0,0,0
