municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
PORVENIR,registro de eventos de notificacion inmediata,incendio,2011-01-01,2,6,0,8
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2011-01-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2011-02-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2011-03-01,0,0,0,0
PAILON,registro de eventos de notificacion inmediata,incendio,2011-04-01,0,2,0,2
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2011-04-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2011-05-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2011-06-01,0,0,0,0
PUERTO CARABUCO,registro de eventos de notificacion inmediata,incendio,2011-07-01,1,1,0,2
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2011-07-01,0,0,0,0
ASCENCION DE GUARAYOS,registro de eventos de notificacion inmediata,incendio,2011-08-01,1,6,0,7
COLPA BELGICA,registro de eventos de notificacion inmediata,incendio,2011-08-01,6,13,0,19
EL PUENTE(STC),registro de eventos de notificacion inmediata,incendio,2011-08-01,1,192,1,194
LAGUNILLAS,registro de eventos de notificacion inmediata,incendio,2011-08-01,1,1059,0,1060
PADCAYA,registro de eventos de notificacion inmediata,incendio,2011-08-01,2,11,0,13
PORONGO,registro de eventos de notificacion inmediata,incendio,2011-08-01,7,0,0,7
PORTACHUELO,registro de eventos de notificacion inmediata,incendio,2011-08-01,5,0,0,5
PORVENIR,registro de eventos de notificacion inmediata,incendio,2011-08-01,1,0,0,1
SAN JULIAN,registro de eventos de notificacion inmediata,incendio,2011-08-01,2,6,0,8
SAN MIGUEL DE VELASCO,registro de eventos de notificacion inmediata,incendio,2011-08-01,1,4,0,5
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2011-08-01,0,0,0,0
SANTA ROSA DEL SARA,registro de eventos de notificacion inmediata,incendio,2011-08-01,21,57,0,78
VILLA VACA GUZMAN (MUYUPAMPA),registro de eventos de notificacion inmediata,incendio,2011-08-01,1,11,0,12
WARNES,registro de eventos de notificacion inmediata,incendio,2011-08-01,3,5,0,8
CAMIRI,registro de eventos de notificacion inmediata,incendio,2011-09-01,1,0,0,1
EL PUENTE(STC),registro de eventos de notificacion inmediata,incendio,2011-09-01,1,75,0,76
PORONGO,registro de eventos de notificacion inmediata,incendio,2011-09-01,5,0,0,5
PORTACHUELO,registro de eventos de notificacion inmediata,incendio,2011-09-01,7,10,0,17
SAN ANDRES,registro de eventos de notificacion inmediata,incendio,2011-09-01,1,8,0,9
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2011-09-01,0,0,0,0
SANTA ROSA DEL SARA,registro de eventos de notificacion inmediata,incendio,2011-09-01,8,57,0,65
TARVITA,registro de eventos de notificacion inmediata,incendio,2011-09-01,1,0,0,1
TRIGAL,registro de eventos de notificacion inmediata,incendio,2011-09-01,1,7,0,8
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2011-10-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2011-11-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2011-12-01,0,0,0,0
