municipality,group,variable,month,Nevada,Nevada1,Nevada2,TOTAL
ENTRE RIOS TRJ,eventos - notificacion inmediata parte i,nevada,2024-07-01,1.0,0.0,0.0,1.0
POSTRER VALLE,eventos - notificacion inmediata parte i,nevada,2024-07-01,2.0,0.0,0.0,2.0
COMARAPA,eventos - notificacion inmediata parte i,nevada,2024-08-01,1.0,56.0,0.0,57.0
PADILLA,eventos - notificacion inmediata parte i,nevada,2024-08-01,1.0,0.0,0.0,1.0
PAMPA GRANDE,eventos - notificacion inmediata parte i,nevada,2024-08-01,2.0,50.0,0.0,52.0
POSTRER VALLE,eventos - notificacion inmediata parte i,nevada,2024-10-01,1.0,0.0,0.0,1.0
