municipality,group,variable,month,Nevada,Nevada1,Nevada2,TOTAL
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,riada,2024-01-01,2.0,119.0,0.0,121.0
CARANAVI,eventos - notificacion inmediata parte i,riada,2024-01-01,1.0,0.0,0.0,1.0
CHUMA,eventos - notificacion inmediata parte i,riada,2024-01-01,1.0,0.0,0.0,1.0
EL VILLAR,eventos - notificacion inmediata parte i,riada,2024-01-01,1.0,152.0,0.0,153.0
IRUPANA (VILLA DE LANZA),eventos - notificacion inmediata parte i,riada,2024-01-01,1.0,0.0,5.0,6.0
ACHOCALLA,eventos - notificacion inmediata parte i,riada,2024-02-01,1.0,200.0,3.0,204.0
ARQUE,eventos - notificacion inmediata parte i,riada,2024-02-01,1.0,50.0,0.0,51.0
BERMEJO,eventos - notificacion inmediata parte i,riada,2024-02-01,2.0,1.0,0.0,3.0
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,riada,2024-02-01,1.0,7.0,1.0,9.0
CARIPUYO,eventos - notificacion inmediata parte i,riada,2024-02-01,2.0,38.0,0.0,40.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2024-02-01,2.0,0.0,0.0,2.0
"COLCHA ""K""",eventos - notificacion inmediata parte i,riada,2024-02-01,1.0,50.0,0.0,51.0
EL VILLAR,eventos - notificacion inmediata parte i,riada,2024-02-01,1.0,169.0,0.0,170.0
GRAL. J.J. PEREZ (CHARAZANI),eventos - notificacion inmediata parte i,riada,2024-02-01,0.0,5.0,0.0,5.0
INCAHUASI,eventos - notificacion inmediata parte i,riada,2024-02-01,1.0,145.0,0.0,146.0
LA PAZ,eventos - notificacion inmediata parte i,riada,2024-02-01,1.0,0.0,0.0,1.0
LAGUNILLAS,eventos - notificacion inmediata parte i,riada,2024-02-01,2.0,24.0,0.0,26.0
ORURO,eventos - notificacion inmediata parte i,riada,2024-02-01,2.0,225.0,0.0,227.0
PUERTO ACOSTA,eventos - notificacion inmediata parte i,riada,2024-02-01,1.0,417.0,0.0,418.0
PUERTO VILLARROEL,eventos - notificacion inmediata parte i,riada,2024-02-01,1.0,0.0,0.0,1.0
QUIRUSILLAS,eventos - notificacion inmediata parte i,riada,2024-02-01,1.0,1000.0,0.0,1001.0
SOPACHUY,eventos - notificacion inmediata parte i,riada,2024-02-01,1.0,1.0,1.0,3.0
AZURDUY,eventos - notificacion inmediata parte i,riada,2024-03-01,1.0,26.0,0.0,27.0
CHALLAPATA,eventos - notificacion inmediata parte i,riada,2024-03-01,3.0,70.0,0.0,73.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2024-03-01,4.0,0.0,0.0,4.0
COTAGAITA,eventos - notificacion inmediata parte i,riada,2024-03-01,1.0,150.0,0.0,151.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,riada,2024-03-01,3.0,44.0,0.0,47.0
EL VILLAR,eventos - notificacion inmediata parte i,riada,2024-03-01,1.0,250.0,0.0,251.0
HUANUNI,eventos - notificacion inmediata parte i,riada,2024-03-01,1.0,8.0,0.0,9.0
ICLA,eventos - notificacion inmediata parte i,riada,2024-03-01,1.0,4.0,0.0,5.0
LA ASUNTA,eventos - notificacion inmediata parte i,riada,2024-03-01,1.0,0.0,0.0,1.0
LAGUNILLAS,eventos - notificacion inmediata parte i,riada,2024-03-01,2.0,20.0,0.0,22.0
MIZQUE,eventos - notificacion inmediata parte i,riada,2024-03-01,1.0,1.0,0.0,2.0
PRESTO,eventos - notificacion inmediata parte i,riada,2024-03-01,5.0,31.0,0.0,36.0
SAN LUCAS,eventos - notificacion inmediata parte i,riada,2024-03-01,2.0,263.0,0.0,265.0
SAN PEDRO DE BUENA VISTA,eventos - notificacion inmediata parte i,riada,2024-03-01,1.0,0.0,0.0,1.0
SUCRE,eventos - notificacion inmediata parte i,riada,2024-03-01,1.0,129.0,0.0,130.0
TUPIZA,eventos - notificacion inmediata parte i,riada,2024-03-01,1.0,16.0,0.0,17.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2024-03-01,1.0,19.0,0.0,20.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2024-04-01,2.0,0.0,0.0,2.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,riada,2024-10-01,2.0,0.0,0.0,2.0
HUACARETA,eventos - notificacion inmediata parte i,riada,2024-10-01,1.0,20.0,0.0,21.0
INCAHUASI,eventos - notificacion inmediata parte i,riada,2024-10-01,1.0,132.0,0.0,133.0
PRESTO,eventos - notificacion inmediata parte i,riada,2024-10-01,1.0,2.0,0.0,3.0
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,riada,2024-11-01,1.0,99.0,0.0,100.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2024-11-01,4.0,0.0,0.0,4.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,riada,2024-11-01,1.0,0.0,0.0,1.0
SOPACHUY,eventos - notificacion inmediata parte i,riada,2024-11-01,1.0,0.0,0.0,1.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2024-11-01,1.0,12.0,0.0,13.0
YUNCHARA,eventos - notificacion inmediata parte i,riada,2024-11-01,1.0,50.0,0.0,51.0
CARIPUYO,eventos - notificacion inmediata parte i,riada,2024-12-01,3.0,0.0,0.0,3.0
SAN LUCAS,eventos - notificacion inmediata parte i,riada,2024-12-01,2.0,78.0,0.0,80.0
