municipality,group,variable,month,Nevada,Nevada1,Nevada2,TOTAL
FILADELFIA,eventos - notificacion inmediata parte i,incendio,2024-02-01,1.0,14.0,0.0,15.0
YACUIBA,eventos - notificacion inmediata parte i,incendio,2024-02-01,1.0,7.0,0.0,8.0
MIZQUE,eventos - notificacion inmediata parte i,incendio,2024-05-01,1.0,0.0,0.0,1.0
YAPACANI,eventos - notificacion inmediata parte i,incendio,2024-05-01,2.0,0.0,0.0,2.0
ARBIETO,eventos - notificacion inmediata parte i,incendio,2024-06-01,2.0,0.0,0.0,2.0
PUERTO QUIJARRO,eventos - notificacion inmediata parte i,incendio,2024-06-01,1.0,0.0,0.0,1.0
PUERTO SUAREZ,eventos - notificacion inmediata parte i,incendio,2024-06-01,2.0,0.0,0.0,2.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2024-06-01,2.0,0.0,0.0,2.0
TARVITA,eventos - notificacion inmediata parte i,incendio,2024-06-01,2.0,14.0,0.0,16.0
CAMIRI,eventos - notificacion inmediata parte i,incendio,2024-07-01,1.0,0.0,0.0,1.0
CARMEN RIVERO TORREZ,eventos - notificacion inmediata parte i,incendio,2024-07-01,2.0,23.0,0.0,25.0
COROICO,eventos - notificacion inmediata parte i,incendio,2024-07-01,1.0,0.0,0.0,1.0
POCONA,eventos - notificacion inmediata parte i,incendio,2024-07-01,1.0,39.0,0.0,40.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2024-07-01,7.0,160.0,0.0,167.0
SACABA,eventos - notificacion inmediata parte i,incendio,2024-07-01,2.0,0.0,0.0,2.0
SAN LORENZO(TJA),eventos - notificacion inmediata parte i,incendio,2024-07-01,1.0,0.0,0.0,1.0
SAN MATIAS,eventos - notificacion inmediata parte i,incendio,2024-07-01,1.0,200.0,0.0,201.0
SAN MIGUEL DE VELASCO,eventos - notificacion inmediata parte i,incendio,2024-07-01,1.0,1.0,0.0,2.0
SAN RAFAEL,eventos - notificacion inmediata parte i,incendio,2024-07-01,2.0,0.0,0.0,2.0
TARIJA,eventos - notificacion inmediata parte i,incendio,2024-07-01,1.0,15.0,0.0,16.0
YAPACANI,eventos - notificacion inmediata parte i,incendio,2024-07-01,2.0,0.0,0.0,2.0
CARMEN RIVERO TORREZ,eventos - notificacion inmediata parte i,incendio,2024-08-01,0.0,3.0,0.0,3.0
COLOMI,eventos - notificacion inmediata parte i,incendio,2024-08-01,2.0,0.0,0.0,2.0
CONCEPCION,eventos - notificacion inmediata parte i,incendio,2024-08-01,5.0,356.0,700.0,1061.0
COTAGAITA,eventos - notificacion inmediata parte i,incendio,2024-08-01,1.0,3.0,0.0,4.0
EL PUENTE(STC),eventos - notificacion inmediata parte i,incendio,2024-08-01,1.0,31.0,0.0,32.0
MAGDALENA,eventos - notificacion inmediata parte i,incendio,2024-08-01,1.0,0.0,0.0,1.0
MIZQUE,eventos - notificacion inmediata parte i,incendio,2024-08-01,2.0,3.0,0.0,5.0
MOROCHATA,eventos - notificacion inmediata parte i,incendio,2024-08-01,1.0,3.0,0.0,4.0
PUERTO SUAREZ,eventos - notificacion inmediata parte i,incendio,2024-08-01,1.0,14.0,0.0,15.0
RIBERALTA,eventos - notificacion inmediata parte i,incendio,2024-08-01,5.0,0.0,0.0,5.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2024-08-01,2.0,0.0,0.0,2.0
SACABA,eventos - notificacion inmediata parte i,incendio,2024-08-01,1.0,0.0,0.0,1.0
SAMAIPATA,eventos - notificacion inmediata parte i,incendio,2024-08-01,1.0,0.0,0.0,1.0
SAN ANTONIO DE LOMERIO,eventos - notificacion inmediata parte i,incendio,2024-08-01,3.0,0.0,0.0,3.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2024-08-01,11.0,0.0,0.0,11.0
SUCRE,eventos - notificacion inmediata parte i,incendio,2024-08-01,2.0,0.0,0.0,2.0
TARIJA,eventos - notificacion inmediata parte i,incendio,2024-08-01,1.0,3.0,0.0,4.0
URIONDO (A. CONCEPCION),eventos - notificacion inmediata parte i,incendio,2024-08-01,1.0,10.0,0.0,11.0
URUBICHA,eventos - notificacion inmediata parte i,incendio,2024-08-01,4.0,0.0,0.0,4.0
VILLA CHARCAS,eventos - notificacion inmediata parte i,incendio,2024-08-01,2.0,40.0,0.0,42.0
VILLA MONTES,eventos - notificacion inmediata parte i,incendio,2024-08-01,1.0,10.0,0.0,11.0
ANZALDO,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,5.0,0.0,6.0
ARQUE,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,1.0,0.0,2.0
ASCENCION DE GUARAYOS,eventos - notificacion inmediata parte i,incendio,2024-09-01,9.0,98.0,0.0,107.0
BETANZOS,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
COLOMI,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
COMANCHE,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,5.0,0.0,6.0
COMARAPA,eventos - notificacion inmediata parte i,incendio,2024-09-01,2.0,2.0,0.0,4.0
CONCEPCION,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,710.0,0.0,711.0
COROICO,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
CULPINA,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
ENTRE RIOS TRJ,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
GUAYARAMERIN,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,23.0,0.0,24.0
IRUPANA (VILLA DE LANZA),eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
LAJA,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,8.0,0.0,9.0
MAGDALENA,eventos - notificacion inmediata parte i,incendio,2024-09-01,2.0,0.0,0.0,2.0
MAIRANA,eventos - notificacion inmediata parte i,incendio,2024-09-01,2.0,63.0,0.0,65.0
PAILON,eventos - notificacion inmediata parte i,incendio,2024-09-01,2.0,27.0,0.0,29.0
PAMPA GRANDE,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,10.0,0.0,11.0
POSTRER VALLE,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
REYES,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,50.0,0.0,51.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
SAMAIPATA,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
SAN ANTONIO DE LOMERIO,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
SAN BUENA VENTURA,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2024-09-01,6.0,3.0,0.0,9.0
SAN LORENZO(PND),eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
SAN MATIAS,eventos - notificacion inmediata parte i,incendio,2024-09-01,5.0,35.0,0.0,40.0
SAN MIGUEL DE VELASCO,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,10.0,0.0,11.0
SANTA ROSA DEL SARA,eventos - notificacion inmediata parte i,incendio,2024-09-01,5.0,0.0,0.0,5.0
TARABUCO,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
TOTORA(CBBA),eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
TRINIDAD,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,48.0,0.0,49.0
URUBICHA,eventos - notificacion inmediata parte i,incendio,2024-09-01,2.0,0.0,0.0,2.0
YACUIBA,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
