municipality,group,variable,month,Cantidad,TOTAL
ACHACACHI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,4,4
AIQUILE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,3,3
ANCORAIMES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,5,5
AYATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
BATALLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,4,4
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,30,30
BETANZOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
BUENA VISTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
CALACOTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
CAMIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,10,10
CAQUIAVIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,11,11
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,4,4
CHARAÑA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
CHUMA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,20,20
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,7,7
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,370,370
COLCAPIRHUA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,7,7
COLOMI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,5,5
COLQUENCHA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
COMANCHE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
COPACABANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,3,3
CORO CORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
COROICO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,4,4
COTAGAITA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,6,6
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,9,9
CUATRO CAÑADAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,7,7
DESAGUADERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,3,3
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,231,231
EL TORNO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,18,18
ENTRE RIOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,4,4
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,3,3
