municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-01-01,0.0,0.0,0.0,3.0,0.0,3.0
GENERAL SAAVEDRA,sospecha diagnostica,enfer. por hanta virus,2007-01-01,0.0,0.0,1.0,2.0,0.0,3.0
SAN JULIAN,sospecha diagnostica,enfer. por hanta virus,2007-01-01,0.0,0.0,0.0,1.0,0.0,1.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2007-01-01,0.0,0.0,0.0,4.0,0.0,4.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2007-01-01,0.0,0.0,0.0,3.0,0.0,3.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2007-01-01,0.0,0.0,0.0,3.0,0.0,3.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-02-01,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2007-02-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2007-02-01,0.0,0.0,1.0,3.0,0.0,4.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-03-01,0.0,0.0,1.0,1.0,0.0,2.0
COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2007-03-01,0.0,0.0,1.0,1.0,0.0,2.0
PUERTO VILLARROEL,sospecha diagnostica,enfer. por hanta virus,2007-03-01,0.0,0.0,0.0,1.0,0.0,1.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2007-03-01,0.0,0.0,0.0,2.0,0.0,2.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2007-03-01,0.0,0.0,1.0,1.0,0.0,2.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-04-01,0.0,0.0,0.0,1.0,0.0,1.0
COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2007-04-01,0.0,0.0,0.0,1.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2007-04-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2007-04-01,0.0,0.0,3.0,1.0,0.0,4.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-05-01,0.0,0.0,0.0,1.0,0.0,1.0
COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2007-05-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2007-05-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2007-06-01,0.0,0.0,0.0,0.0,1.0,1.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-07-01,0.0,0.0,0.0,1.0,0.0,1.0
SAN JULIAN,sospecha diagnostica,enfer. por hanta virus,2007-07-01,0.0,1.0,2.0,0.0,0.0,3.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2007-07-01,0.0,0.0,0.0,2.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2007-08-01,0.0,0.0,0.0,2.0,0.0,2.0
PAILON,sospecha diagnostica,enfer. por hanta virus,2007-09-01,0.0,0.0,0.0,1.0,0.0,1.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2007-09-01,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2007-09-01,0.0,0.0,0.0,1.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2007-10-01,0.0,0.0,0.0,1.0,0.0,1.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-11-01,0.0,0.0,1.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2007-11-01,0.0,0.0,0.0,1.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2007-11-01,0.0,0.0,1.0,0.0,0.0,1.0
