municipality,group,variable,month,TOTAL
CHIMORE,eventos - notificacion inmediata parte ii,inundacion,2019-01-01,46.0
CUEVO,eventos - notificacion inmediata parte ii,inundacion,2019-01-01,33.0
LA GUARDIA,eventos - notificacion inmediata parte ii,inundacion,2019-01-01,281.0
LORETO,eventos - notificacion inmediata parte ii,inundacion,2019-01-01,43.0
PAPEL PAMPA,eventos - notificacion inmediata parte ii,inundacion,2019-01-01,107.0
SANTA CRUZ DE LA SIERRA,eventos - notificacion inmediata parte ii,inundacion,2019-01-01,31.0
TIPUANI,eventos - notificacion inmediata parte ii,inundacion,2019-01-01,31.0
TRINIDAD,eventos - notificacion inmediata parte ii,inundacion,2019-01-01,84.0
ZUDAÑEZ,eventos - notificacion inmediata parte ii,inundacion,2019-01-01,342.0
ALTO BENI,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,53.0
AZURDUY,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,16.0
BELLA FLOR,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,23.0
CARIPUYO,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,23.0
CKOCHAS,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,1.0
COTAGAITA,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,1.0
ORURO,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,7.0
PAPEL PAMPA,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,71.0
REYES,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,375.0
RIBERALTA,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,13.0
RURRENABAQUE,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,466.0
SAN ANDRES DE MACHACA,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,73.0
TARACO,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,1.0
TIAHUANACU,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,70.0
VILLA TUNARI,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,1.0
YACUIBA,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,701.0
ZUDAÑEZ,eventos - notificacion inmediata parte ii,inundacion,2019-02-01,388.0
CABEZAS,eventos - notificacion inmediata parte ii,inundacion,2019-03-01,18.0
CAMIRI,eventos - notificacion inmediata parte ii,inundacion,2019-03-01,107.0
LAGUNILLAS,eventos - notificacion inmediata parte ii,inundacion,2019-03-01,63.0
RIBERALTA,eventos - notificacion inmediata parte ii,inundacion,2019-03-01,34.0
SUCRE,eventos - notificacion inmediata parte ii,inundacion,2019-03-01,52.0
CABEZAS,eventos - notificacion inmediata parte ii,inundacion,2019-04-01,18.0
CAMIRI,eventos - notificacion inmediata parte ii,inundacion,2019-04-01,63.0
LA GUARDIA,eventos - notificacion inmediata parte ii,inundacion,2019-04-01,37.0
LAGUNILLAS,eventos - notificacion inmediata parte ii,inundacion,2019-04-01,32.0
SUCRE,eventos - notificacion inmediata parte ii,inundacion,2019-04-01,1.0
SUCRE,eventos - notificacion inmediata parte ii,inundacion,2019-10-01,3.0
