municipality,group,variable,month,TOTAL
CARANAVI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-01-01,160.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-01-01,6.0
HUACARETA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-01-01,3.0
PUERTO VILLARROEL,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-01-01,8.0
SUCRE,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-01-01,2.0
YANACACHI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-01-01,1.0
AUCAPATA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,1.0
CARANAVI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,5.0
CARIPUYO,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,1.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,2.0
COCHABAMBA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,22.0
LA PAZ,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,1.0
ORURO,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,22.0
YANACACHI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,1.0
AYATA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-03-01,1.0
CAMARGO,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-03-01,1.0
CAMIRI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-03-01,4.0
MONTEAGUDO,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-03-01,629.0
TACACOMA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-03-01,1.0
AYATA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-04-01,2.0
CHULUMANI (V. DE LA LIBERTAD),eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-04-01,1.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-04-01,3.0
LA PAZ,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-04-01,26.0
LAGUNILLAS,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-04-01,71.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-04-01,11.0
AYATA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-09-01,3.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-11-01,5.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-12-01,6.0
YANACACHI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-12-01,1.0
