municipality,group,variable,month,TOTAL
BETANZOS,eventos - notificacion inmediata parte ii,otros de excepcion,2019-01-01,1.0
HUAYLLAMARCA,eventos - notificacion inmediata parte ii,otros de excepcion,2019-01-01,1.0
AUCAPATA,eventos - notificacion inmediata parte ii,otros de excepcion,2019-02-01,1.0
SUCRE,eventos - notificacion inmediata parte ii,otros de excepcion,2019-02-01,45.0
ZUDAÑEZ,eventos - notificacion inmediata parte ii,otros de excepcion,2019-02-01,145.0
CAMIRI,eventos - notificacion inmediata parte ii,otros de excepcion,2019-03-01,6.0
CARAPARI,eventos - notificacion inmediata parte ii,otros de excepcion,2019-03-01,2.0
EL TORNO,eventos - notificacion inmediata parte ii,otros de excepcion,2019-03-01,1.0
LAS CARRERAS,eventos - notificacion inmediata parte ii,otros de excepcion,2019-03-01,1.0
TOMINA,eventos - notificacion inmediata parte ii,otros de excepcion,2019-03-01,3.0
CAMIRI,eventos - notificacion inmediata parte ii,otros de excepcion,2019-04-01,7.0
LAGUNILLAS,eventos - notificacion inmediata parte ii,otros de excepcion,2019-04-01,11.0
SACACA,eventos - notificacion inmediata parte ii,otros de excepcion,2019-05-01,3.0
CALACOTO,eventos - notificacion inmediata parte ii,otros de excepcion,2019-07-01,26.0
CATACORA,eventos - notificacion inmediata parte ii,otros de excepcion,2019-07-01,184.0
CORO CORO,eventos - notificacion inmediata parte ii,otros de excepcion,2019-07-01,1.0
SAN ANDRES DE MACHACA,eventos - notificacion inmediata parte ii,otros de excepcion,2019-07-01,121.0
SAN PEDRO DE TIQUINA,eventos - notificacion inmediata parte ii,otros de excepcion,2019-07-01,1.0
PUCARANI,eventos - notificacion inmediata parte ii,otros de excepcion,2019-09-01,2.0
ASCENCION DE GUARAYOS,eventos - notificacion inmediata parte ii,otros de excepcion,2019-10-01,8.0
CAMIRI,eventos - notificacion inmediata parte ii,otros de excepcion,2019-10-01,6.0
CORQUE,eventos - notificacion inmediata parte ii,otros de excepcion,2019-10-01,1.0
PALCA,eventos - notificacion inmediata parte ii,otros de excepcion,2019-10-01,1.0
SACABA,eventos - notificacion inmediata parte ii,otros de excepcion,2019-10-01,10.0
SUCRE,eventos - notificacion inmediata parte ii,otros de excepcion,2019-10-01,52.0
CORO CORO,eventos - notificacion inmediata parte ii,otros de excepcion,2019-11-01,2.0
CORQUE,eventos - notificacion inmediata parte ii,otros de excepcion,2019-11-01,1.0
EL ALTO,eventos - notificacion inmediata parte ii,otros de excepcion,2019-11-01,81.0
MECAPACA,eventos - notificacion inmediata parte ii,otros de excepcion,2019-11-01,1.0
PALCA,eventos - notificacion inmediata parte ii,otros de excepcion,2019-11-01,1.0
SACABA,eventos - notificacion inmediata parte ii,otros de excepcion,2019-11-01,166.0
SACABA,eventos - notificacion inmediata parte ii,otros de excepcion,2019-12-01,2.0
