municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,desnutricion global,desnutricion grave (g),2006-01-01,1,1,1,0,2,1,3
ACHACACHI,desnutricion global,desnutricion grave (g),2006-01-01,0,1,0,1,0,2,2
AIQUILE,desnutricion global,desnutricion grave (g),2006-01-01,2,1,0,3,2,4,6
ALALAY,desnutricion global,desnutricion grave (g),2006-01-01,0,0,0,2,0,2,2
ALCALA,desnutricion global,desnutricion grave (g),2006-01-01,0,0,0,3,0,3,3
ANCORAIMES,desnutricion global,desnutricion grave (g),2006-01-01,1,0,0,1,1,1,2
ANDAMARCA,desnutricion global,desnutricion grave (g),2006-01-01,0,1,0,0,0,1,1
ANZALDO,desnutricion global,desnutricion grave (g),2006-01-01,0,0,0,1,0,1,1
APOLO,desnutricion global,desnutricion grave (g),2006-01-01,0,1,0,0,0,1,1
ARAMPAMPA,desnutricion global,desnutricion grave (g),2006-01-01,0,0,6,6,6,6,12
ARQUE,desnutricion global,desnutricion grave (g),2006-01-01,0,2,1,2,1,4,5
ATOCHA,desnutricion global,desnutricion grave (g),2006-01-01,0,1,2,0,2,1,3
AUCAPATA,desnutricion global,desnutricion grave (g),2006-01-01,0,2,2,0,2,2,4
AYATA,desnutricion global,desnutricion grave (g),2006-01-01,1,2,0,0,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,desnutricion grave (g),2006-01-01,1,1,0,1,1,2,3
AZURDUY,desnutricion global,desnutricion grave (g),2006-01-01,2,4,0,0,2,4,6
BETANZOS,desnutricion global,desnutricion grave (g),2006-01-01,6,6,4,1,10,7,17
BOLIVAR,desnutricion global,desnutricion grave (g),2006-01-01,4,3,1,2,5,5,10
CABEZAS,desnutricion global,desnutricion grave (g),2006-01-01,2,0,0,0,2,0,2
CAIROMA,desnutricion global,desnutricion grave (g),2006-01-01,0,0,1,0,1,0,1
"CAIZA ""D""",desnutricion global,desnutricion grave (g),2006-01-01,1,1,2,1,3,2,5
CAJUATA,desnutricion global,desnutricion grave (g),2006-01-01,1,0,0,0,1,0,1
CALAMARCA,desnutricion global,desnutricion grave (g),2006-01-01,4,2,1,0,5,2,7
CAMARGO,desnutricion global,desnutricion grave (g),2006-01-01,0,3,0,1,0,4,4
CAMIRI,desnutricion global,desnutricion grave (g),2006-01-01,2,2,0,0,2,2,4
CAPINOTA,desnutricion global,desnutricion grave (g),2006-01-01,0,2,0,0,0,2,2
CAQUIAVIRI,desnutricion global,desnutricion grave (g),2006-01-01,0,1,0,0,0,1,1
CARANAVI,desnutricion global,desnutricion grave (g),2006-01-01,6,2,2,0,8,2,10
CARAPARI,desnutricion global,desnutricion grave (g),2006-01-01,1,0,0,0,1,0,1
CARIPUYO,desnutricion global,desnutricion grave (g),2006-01-01,0,1,4,3,4,4,8
CHALLAPATA,desnutricion global,desnutricion grave (g),2006-01-01,2,1,0,0,2,1,3
CHAQUI,desnutricion global,desnutricion grave (g),2006-01-01,0,0,1,2,1,2,3
CHARAGUA,desnutricion global,desnutricion grave (g),2006-01-01,1,3,1,0,2,3,5
CHAYANTA,desnutricion global,desnutricion grave (g),2006-01-01,1,0,1,1,2,1,3
CHIMORE,desnutricion global,desnutricion grave (g),2006-01-01,1,1,0,1,1,2,3
CHIPAYA,desnutricion global,desnutricion grave (g),2006-01-01,1,0,0,0,1,0,1
CHUMA,desnutricion global,desnutricion grave (g),2006-01-01,1,1,2,0,3,1,4
CLIZA,desnutricion global,desnutricion grave (g),2006-01-01,1,0,0,0,1,0,1
COBIJA,desnutricion global,desnutricion grave (g),2006-01-01,2,0,1,2,3,2,5
COCHABAMBA,desnutricion global,desnutricion grave (g),2006-01-01,15,6,2,0,17,6,23
COLCAPIRHUA,desnutricion global,desnutricion grave (g),2006-01-01,1,0,0,1,1,1,2
COLOMI,desnutricion global,desnutricion grave (g),2006-01-01,0,4,0,1,0,5,5
COLQUECHACA,desnutricion global,desnutricion grave (g),2006-01-01,5,2,1,0,6,2,8
COLQUENCHA,desnutricion global,desnutricion grave (g),2006-01-01,0,0,1,0,1,0,1
COLQUIRI,desnutricion global,desnutricion grave (g),2006-01-01,1,1,1,0,2,1,3
COMARAPA,desnutricion global,desnutricion grave (g),2006-01-01,3,0,0,0,3,0,3
COTAGAITA,desnutricion global,desnutricion grave (g),2006-01-01,5,1,3,1,8,2,10
COTOCA,desnutricion global,desnutricion grave (g),2006-01-01,1,1,0,0,1,1,2
CUATRO CAÑADAS,desnutricion global,desnutricion grave (g),2006-01-01,0,0,0,1,0,1,1
CUEVO,desnutricion global,desnutricion grave (g),2006-01-01,0,1,0,1,0,2,2
CULPINA,desnutricion global,desnutricion grave (g),2006-01-01,3,1,1,0,4,1,5
DESAGUADERO,desnutricion global,desnutricion grave (g),2006-01-01,0,0,1,0,1,0,1
EL ALTO,desnutricion global,desnutricion grave (g),2006-01-01,42,29,11,14,53,43,96
EL PUENTE(STC),desnutricion global,desnutricion grave (g),2006-01-01,0,1,0,1,0,2,2
EL TORNO,desnutricion global,desnutricion grave (g),2006-01-01,0,1,0,0,0,1,1
EL VILLAR,desnutricion global,desnutricion grave (g),2006-01-01,0,1,0,0,0,1,1
ENTRE RIOS,desnutricion global,desnutricion grave (g),2006-01-01,4,2,0,1,4,3,7
ENTRE RIOS,desnutricion global,desnutricion grave (g),2006-01-01,2,1,0,1,2,2,4
FERNANDEZ ALONSO,desnutricion global,desnutricion grave (g),2006-01-01,0,1,0,0,0,1,1
GENERAL SAAVEDRA,desnutricion global,desnutricion grave (g),2006-01-01,1,2,0,1,1,3,4
GRAL. J.J. PEREZ (CHARAZANI),desnutricion global,desnutricion grave (g),2006-01-01,0,0,0,1,0,1,1
GUANAY,desnutricion global,desnutricion grave (g),2006-01-01,1,0,0,0,1,0,1
GUAQUI,desnutricion global,desnutricion grave (g),2006-01-01,1,0,0,0,1,0,1
GUAYARAMERIN,desnutricion global,desnutricion grave (g),2006-01-01,1,1,0,0,1,1,2
GUTIERREZ,desnutricion global,desnutricion grave (g),2006-01-01,6,5,2,3,8,8,16
HUACARETA,desnutricion global,desnutricion grave (g),2006-01-01,0,2,0,0,0,2,2
HUANUNI,desnutricion global,desnutricion grave (g),2006-01-01,3,1,0,0,3,1,4
ICLA,desnutricion global,desnutricion grave (g),2006-01-01,6,5,5,5,11,10,21
INCAHUASI,desnutricion global,desnutricion grave (g),2006-01-01,5,4,4,4,9,8,17
INQUISIVI,desnutricion global,desnutricion grave (g),2006-01-01,2,0,0,1,2,1,3
IRUPANA (VILLA DE LANZA),desnutricion global,desnutricion grave (g),2006-01-01,1,0,0,0,1,0,1
IXIAMAS,desnutricion global,desnutricion grave (g),2006-01-01,1,4,0,0,1,4,5
JESUS DE MACHACA,desnutricion global,desnutricion grave (g),2006-01-01,1,1,1,0,2,1,3
LA GUARDIA,desnutricion global,desnutricion grave (g),2006-01-01,0,5,1,1,1,6,7
LA PAZ,desnutricion global,desnutricion grave (g),2006-01-01,30,18,12,11,42,29,71
LLALLAGUA,desnutricion global,desnutricion grave (g),2006-01-01,2,1,2,4,4,5,9
LURIBAY,desnutricion global,desnutricion grave (g),2006-01-01,4,4,0,1,4,5,9
MACHARETI,desnutricion global,desnutricion grave (g),2006-01-01,0,0,0,1,0,1,1
MALLA,desnutricion global,desnutricion grave (g),2006-01-01,0,0,1,0,1,0,1
MAPIRI,desnutricion global,desnutricion grave (g),2006-01-01,0,0,0,1,0,1,1
MINEROS,desnutricion global,desnutricion grave (g),2006-01-01,3,0,1,0,4,0,4
MIZQUE,desnutricion global,desnutricion grave (g),2006-01-01,3,1,0,0,3,1,4
MOCOMOCO,desnutricion global,desnutricion grave (g),2006-01-01,0,1,0,0,0,1,1
MONTEAGUDO,desnutricion global,desnutricion grave (g),2006-01-01,3,0,0,2,3,2,5
MONTERO,desnutricion global,desnutricion grave (g),2006-01-01,13,8,3,6,16,14,30
MOROCHATA,desnutricion global,desnutricion grave (g),2006-01-01,5,3,2,2,7,5,12
NUEVO MANOA (NUEVA ESPERANZA),desnutricion global,desnutricion grave (g),2006-01-01,0,0,0,1,0,1,1
OCURI,desnutricion global,desnutricion grave (g),2006-01-01,4,4,2,4,6,8,14
OKINAWA,desnutricion global,desnutricion grave (g),2006-01-01,1,0,0,0,1,0,1
ORURO,desnutricion global,desnutricion grave (g),2006-01-01,5,4,0,1,5,5,10
PADCAYA,desnutricion global,desnutricion grave (g),2006-01-01,3,0,0,0,3,0,3
PADILLA,desnutricion global,desnutricion grave (g),2006-01-01,1,0,0,1,1,1,2
