municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,desnutricion global,sobrepeso (s),2006-01-01,4,0,0,3,4,3,7
ACHACACHI,desnutricion global,sobrepeso (s),2006-01-01,26,19,6,7,32,26,58
ACHOCALLA,desnutricion global,sobrepeso (s),2006-01-01,3,2,0,0,3,2,5
AIQUILE,desnutricion global,sobrepeso (s),2006-01-01,6,4,3,1,9,5,14
ALALAY,desnutricion global,sobrepeso (s),2006-01-01,2,1,0,0,2,1,3
ALCALA,desnutricion global,sobrepeso (s),2006-01-01,7,5,0,2,7,7,14
ANCORAIMES,desnutricion global,sobrepeso (s),2006-01-01,5,1,0,1,5,2,7
ANZALDO,desnutricion global,sobrepeso (s),2006-01-01,0,8,4,2,4,10,14
APOLO,desnutricion global,sobrepeso (s),2006-01-01,4,9,2,1,6,10,16
ARAMPAMPA,desnutricion global,sobrepeso (s),2006-01-01,1,3,0,1,1,4,5
ARANI,desnutricion global,sobrepeso (s),2006-01-01,1,1,0,0,1,1,2
ARBIETO,desnutricion global,sobrepeso (s),2006-01-01,6,0,1,0,7,0,7
ARQUE,desnutricion global,sobrepeso (s),2006-01-01,3,0,0,0,3,0,3
ATOCHA,desnutricion global,sobrepeso (s),2006-01-01,13,4,2,0,15,4,19
AUCAPATA,desnutricion global,sobrepeso (s),2006-01-01,1,2,0,0,1,2,3
AYATA,desnutricion global,sobrepeso (s),2006-01-01,2,1,1,0,3,1,4
AYO AYO,desnutricion global,sobrepeso (s),2006-01-01,2,1,0,0,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,sobrepeso (s),2006-01-01,3,12,2,0,5,12,17
AZURDUY,desnutricion global,sobrepeso (s),2006-01-01,11,8,3,0,14,8,22
BATALLAS,desnutricion global,sobrepeso (s),2006-01-01,5,6,0,3,5,9,14
BAURES,desnutricion global,sobrepeso (s),2006-01-01,5,6,0,0,5,6,11
BELEN DE ANDAMARCA,desnutricion global,sobrepeso (s),2006-01-01,2,0,0,0,2,0,2
BELLA FLOR,desnutricion global,sobrepeso (s),2006-01-01,2,1,0,0,2,1,3
BERMEJO,desnutricion global,sobrepeso (s),2006-01-01,21,16,4,5,25,21,46
BETANZOS,desnutricion global,sobrepeso (s),2006-01-01,25,13,11,10,36,23,59
BOLPEBRA,desnutricion global,sobrepeso (s),2006-01-01,2,1,0,0,2,1,3
BOYUIBE,desnutricion global,sobrepeso (s),2006-01-01,10,6,5,4,15,10,25
BUENA VISTA,desnutricion global,sobrepeso (s),2006-01-01,46,29,12,27,58,56,114
CABEZAS,desnutricion global,sobrepeso (s),2006-01-01,16,25,14,3,30,28,58
CAIROMA,desnutricion global,sobrepeso (s),2006-01-01,6,5,1,0,7,5,12
"CAIZA ""D""",desnutricion global,sobrepeso (s),2006-01-01,5,7,2,0,7,7,14
CAJUATA,desnutricion global,sobrepeso (s),2006-01-01,3,5,1,2,4,7,11
CALACOTO,desnutricion global,sobrepeso (s),2006-01-01,2,0,0,0,2,0,2
CALAMARCA,desnutricion global,sobrepeso (s),2006-01-01,6,3,0,1,6,4,10
CAMARGO,desnutricion global,sobrepeso (s),2006-01-01,16,16,5,0,21,16,37
CAMATAQUI (C. VILLA ABECIA),desnutricion global,sobrepeso (s),2006-01-01,1,4,1,0,2,4,6
CAMIRI,desnutricion global,sobrepeso (s),2006-01-01,102,67,21,16,123,83,206
CAPINOTA,desnutricion global,sobrepeso (s),2006-01-01,3,7,0,2,3,9,12
CAQUIAVIRI,desnutricion global,sobrepeso (s),2006-01-01,3,2,1,1,4,3,7
CARACOLLO,desnutricion global,sobrepeso (s),2006-01-01,6,3,3,1,9,4,13
CARANAVI,desnutricion global,sobrepeso (s),2006-01-01,107,59,7,7,114,66,180
CARAPARI,desnutricion global,sobrepeso (s),2006-01-01,10,20,3,1,13,21,34
CARIPUYO,desnutricion global,sobrepeso (s),2006-01-01,4,6,3,0,7,6,13
CARMEN RIVERO TORREZ,desnutricion global,sobrepeso (s),2006-01-01,5,2,0,2,5,4,9
CHACARILLA,desnutricion global,sobrepeso (s),2006-01-01,0,1,0,0,0,1,1
CHALLAPATA,desnutricion global,sobrepeso (s),2006-01-01,15,12,1,1,16,13,29
CHAQUI,desnutricion global,sobrepeso (s),2006-01-01,9,7,1,2,10,9,19
CHARAGUA,desnutricion global,sobrepeso (s),2006-01-01,42,51,4,17,46,68,114
CHARAÑA,desnutricion global,sobrepeso (s),2006-01-01,1,1,0,0,1,1,2
CHAYANTA,desnutricion global,sobrepeso (s),2006-01-01,11,9,0,0,11,9,20
CHIMORE,desnutricion global,sobrepeso (s),2006-01-01,4,3,1,0,5,3,8
CHIPAYA,desnutricion global,sobrepeso (s),2006-01-01,2,1,0,0,2,1,3
CHOQUE COTA,desnutricion global,sobrepeso (s),2006-01-01,1,3,0,0,1,3,4
CHULUMANI (V. DE LA LIBERTAD),desnutricion global,sobrepeso (s),2006-01-01,2,4,0,0,2,4,6
CHUMA,desnutricion global,sobrepeso (s),2006-01-01,5,2,0,1,5,3,8
CLIZA,desnutricion global,sobrepeso (s),2006-01-01,33,23,5,3,38,26,64
COBIJA,desnutricion global,sobrepeso (s),2006-01-01,79,73,9,12,88,85,173
COCHABAMBA,desnutricion global,sobrepeso (s),2006-01-01,299,269,61,51,360,320,680
COLCAPIRHUA,desnutricion global,sobrepeso (s),2006-01-01,29,29,3,3,32,32,64
"COLCHA ""K""",desnutricion global,sobrepeso (s),2006-01-01,7,7,1,1,8,8,16
COLLANA,desnutricion global,sobrepeso (s),2006-01-01,4,0,0,1,4,1,5
COLOMI,desnutricion global,sobrepeso (s),2006-01-01,16,13,5,2,21,15,36
COLPA BELGICA,desnutricion global,sobrepeso (s),2006-01-01,10,9,2,6,12,15,27
COLQUECHACA,desnutricion global,sobrepeso (s),2006-01-01,4,2,1,0,5,2,7
COLQUENCHA,desnutricion global,sobrepeso (s),2006-01-01,5,3,1,0,6,3,9
COLQUIRI,desnutricion global,sobrepeso (s),2006-01-01,1,9,7,5,8,14,22
COMARAPA,desnutricion global,sobrepeso (s),2006-01-01,53,61,13,11,66,72,138
CONCEPCION,desnutricion global,sobrepeso (s),2006-01-01,7,1,1,0,8,1,9
COPACABANA,desnutricion global,sobrepeso (s),2006-01-01,14,4,1,5,15,9,24
CORIPATA,desnutricion global,sobrepeso (s),2006-01-01,23,18,1,0,24,18,42
CORO CORO,desnutricion global,sobrepeso (s),2006-01-01,6,6,0,1,6,7,13
COROICO,desnutricion global,sobrepeso (s),2006-01-01,5,2,4,1,9,3,12
CORQUE,desnutricion global,sobrepeso (s),2006-01-01,4,1,1,0,5,1,6
COTAGAITA,desnutricion global,sobrepeso (s),2006-01-01,18,9,3,0,21,9,30
COTOCA,desnutricion global,sobrepeso (s),2006-01-01,52,24,8,2,60,26,86
CUATRO CAÑADAS,desnutricion global,sobrepeso (s),2006-01-01,29,9,2,1,31,10,41
CUCHUMUELA (V. G. VILLARROEL),desnutricion global,sobrepeso (s),2006-01-01,2,0,0,0,2,0,2
CUEVO,desnutricion global,sobrepeso (s),2006-01-01,6,1,1,1,7,2,9
CULPINA,desnutricion global,sobrepeso (s),2006-01-01,14,8,3,3,17,11,28
CURAHUARA DE CARANGAS,desnutricion global,sobrepeso (s),2006-01-01,3,3,0,0,3,3,6
CURVA,desnutricion global,sobrepeso (s),2006-01-01,0,2,1,1,1,3,4
DESAGUADERO,desnutricion global,sobrepeso (s),2006-01-01,6,10,1,0,7,10,17
EL ALTO,desnutricion global,sobrepeso (s),2006-01-01,480,432,78,101,558,533,1091
EL CHORO,desnutricion global,sobrepeso (s),2006-01-01,3,3,0,0,3,3,6
EL PUENTE(STC),desnutricion global,sobrepeso (s),2006-01-01,17,16,3,0,20,16,36
EL PUENTE(TJA),desnutricion global,sobrepeso (s),2006-01-01,5,5,0,0,5,5,10
EL TORNO,desnutricion global,sobrepeso (s),2006-01-01,68,40,11,6,79,46,125
EL VILLAR,desnutricion global,sobrepeso (s),2006-01-01,8,6,5,1,13,7,20
ENTRE RIOS,desnutricion global,sobrepeso (s),2006-01-01,28,23,3,7,31,30,61
ENTRE RIOS,desnutricion global,sobrepeso (s),2006-01-01,44,27,3,4,47,31,78
EUCALIPTUS,desnutricion global,sobrepeso (s),2006-01-01,12,6,2,0,14,6,20
