municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,desnutricion global,desnutricion leve (l),2006-01-01,23,10,18,28,41,38,79
ACHACACHI,desnutricion global,desnutricion leve (l),2006-01-01,38,38,47,65,85,103,188
ACHOCALLA,desnutricion global,desnutricion leve (l),2006-01-01,6,4,4,8,10,12,22
AIQUILE,desnutricion global,desnutricion leve (l),2006-01-01,31,28,13,29,44,57,101
ALALAY,desnutricion global,desnutricion leve (l),2006-01-01,0,4,0,2,0,6,6
ALCALA,desnutricion global,desnutricion leve (l),2006-01-01,12,13,32,24,44,37,81
ANCORAIMES,desnutricion global,desnutricion leve (l),2006-01-01,31,36,46,71,77,107,184
ANDAMARCA,desnutricion global,desnutricion leve (l),2006-01-01,3,0,5,2,8,2,10
ANZALDO,desnutricion global,desnutricion leve (l),2006-01-01,9,5,11,9,20,14,34
APOLO,desnutricion global,desnutricion leve (l),2006-01-01,19,23,17,15,36,38,74
ARAMPAMPA,desnutricion global,desnutricion leve (l),2006-01-01,12,16,24,24,36,40,76
ARANI,desnutricion global,desnutricion leve (l),2006-01-01,3,6,9,6,12,12,24
ARBIETO,desnutricion global,desnutricion leve (l),2006-01-01,9,5,4,10,13,15,28
ARQUE,desnutricion global,desnutricion leve (l),2006-01-01,29,30,23,25,52,55,107
ATOCHA,desnutricion global,desnutricion leve (l),2006-01-01,30,30,33,24,63,54,117
AUCAPATA,desnutricion global,desnutricion leve (l),2006-01-01,12,4,10,2,22,6,28
AYATA,desnutricion global,desnutricion leve (l),2006-01-01,31,21,18,26,49,47,96
AYO AYO,desnutricion global,desnutricion leve (l),2006-01-01,15,3,10,3,25,6,31
AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,desnutricion leve (l),2006-01-01,50,31,58,38,108,69,177
AZURDUY,desnutricion global,desnutricion leve (l),2006-01-01,29,33,64,70,93,103,196
BATALLAS,desnutricion global,desnutricion leve (l),2006-01-01,19,14,8,7,27,21,48
BAURES,desnutricion global,desnutricion leve (l),2006-01-01,4,8,4,6,8,14,22
BELEN DE ANDAMARCA,desnutricion global,desnutricion leve (l),2006-01-01,1,1,4,0,5,1,6
BELEN DE URMIRI,desnutricion global,desnutricion leve (l),2006-01-01,2,2,4,5,6,7,13
BELLA FLOR,desnutricion global,desnutricion leve (l),2006-01-01,5,5,1,5,6,10,16
BERMEJO,desnutricion global,desnutricion leve (l),2006-01-01,10,9,6,4,16,13,29
BETANZOS,desnutricion global,desnutricion leve (l),2006-01-01,64,78,126,133,190,211,401
BOLIVAR,desnutricion global,desnutricion leve (l),2006-01-01,43,40,45,39,88,79,167
BOLPEBRA,desnutricion global,desnutricion leve (l),2006-01-01,1,2,1,3,2,5,7
BOYUIBE,desnutricion global,desnutricion leve (l),2006-01-01,5,8,4,7,9,15,24
BUENA VISTA,desnutricion global,desnutricion leve (l),2006-01-01,19,8,11,21,30,29,59
CABEZAS,desnutricion global,desnutricion leve (l),2006-01-01,21,23,38,14,59,37,96
CAIROMA,desnutricion global,desnutricion leve (l),2006-01-01,41,47,36,43,77,90,167
