municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,desnutricion global,desnutricion moderada (m),2006-01-01,2,3,9,3,11,6,17
ACHACACHI,desnutricion global,desnutricion moderada (m),2006-01-01,2,4,4,7,6,11,17
AIQUILE,desnutricion global,desnutricion moderada (m),2006-01-01,6,6,2,3,8,9,17
ALALAY,desnutricion global,desnutricion moderada (m),2006-01-01,1,0,0,1,1,1,2
ALCALA,desnutricion global,desnutricion moderada (m),2006-01-01,3,9,4,6,7,15,22
ANCORAIMES,desnutricion global,desnutricion moderada (m),2006-01-01,9,2,1,3,10,5,15
ANDAMARCA,desnutricion global,desnutricion moderada (m),2006-01-01,1,0,0,0,1,0,1
ANZALDO,desnutricion global,desnutricion moderada (m),2006-01-01,1,3,3,2,4,5,9
APOLO,desnutricion global,desnutricion moderada (m),2006-01-01,4,0,3,3,7,3,10
ARAMPAMPA,desnutricion global,desnutricion moderada (m),2006-01-01,7,5,6,5,13,10,23
ARANI,desnutricion global,desnutricion moderada (m),2006-01-01,1,1,3,1,4,2,6
ARBIETO,desnutricion global,desnutricion moderada (m),2006-01-01,2,1,0,1,2,2,4
ARQUE,desnutricion global,desnutricion moderada (m),2006-01-01,8,8,4,11,12,19,31
ATOCHA,desnutricion global,desnutricion moderada (m),2006-01-01,8,7,3,5,11,12,23
AUCAPATA,desnutricion global,desnutricion moderada (m),2006-01-01,5,3,4,3,9,6,15
AYATA,desnutricion global,desnutricion moderada (m),2006-01-01,6,4,4,3,10,7,17
AYO AYO,desnutricion global,desnutricion moderada (m),2006-01-01,9,0,0,0,9,0,9
AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,desnutricion moderada (m),2006-01-01,7,7,6,5,13,12,25
AZURDUY,desnutricion global,desnutricion moderada (m),2006-01-01,7,13,11,21,18,34,52
BATALLAS,desnutricion global,desnutricion moderada (m),2006-01-01,1,4,1,0,2,4,6
BAURES,desnutricion global,desnutricion moderada (m),2006-01-01,0,0,0,1,0,1,1
BELEN DE URMIRI,desnutricion global,desnutricion moderada (m),2006-01-01,0,2,0,0,0,2,2
BELLA FLOR,desnutricion global,desnutricion moderada (m),2006-01-01,0,1,0,1,0,2,2
BERMEJO,desnutricion global,desnutricion moderada (m),2006-01-01,7,3,1,4,8,7,15
BETANZOS,desnutricion global,desnutricion moderada (m),2006-01-01,32,23,32,39,64,62,126
BOLIVAR,desnutricion global,desnutricion moderada (m),2006-01-01,17,17,10,10,27,27,54
BOYUIBE,desnutricion global,desnutricion moderada (m),2006-01-01,0,4,0,1,0,5,5
BUENA VISTA,desnutricion global,desnutricion moderada (m),2006-01-01,4,2,0,2,4,4,8
CABEZAS,desnutricion global,desnutricion moderada (m),2006-01-01,2,2,4,2,6,4,10
CAIROMA,desnutricion global,desnutricion moderada (m),2006-01-01,19,18,9,8,28,26,54
"CAIZA ""D""",desnutricion global,desnutricion moderada (m),2006-01-01,3,3,3,3,6,6,12
CAJUATA,desnutricion global,desnutricion moderada (m),2006-01-01,4,1,3,0,7,1,8
CALACOTO,desnutricion global,desnutricion moderada (m),2006-01-01,0,0,1,1,1,1,2
CALAMARCA,desnutricion global,desnutricion moderada (m),2006-01-01,14,14,13,15,27,29,56
CAMARGO,desnutricion global,desnutricion moderada (m),2006-01-01,8,16,9,7,17,23,40
CAMATAQUI (C. VILLA ABECIA),desnutricion global,desnutricion moderada (m),2006-01-01,3,1,2,1,5,2,7
CAMIRI,desnutricion global,desnutricion moderada (m),2006-01-01,7,10,10,14,17,24,41
CAPINOTA,desnutricion global,desnutricion moderada (m),2006-01-01,10,6,2,4,12,10,22
CAQUIAVIRI,desnutricion global,desnutricion moderada (m),2006-01-01,1,2,0,1,1,3,4
CARACOLLO,desnutricion global,desnutricion moderada (m),2006-01-01,4,0,1,0,5,0,5
CARANAVI,desnutricion global,desnutricion moderada (m),2006-01-01,10,11,7,10,17,21,38
CARAPARI,desnutricion global,desnutricion moderada (m),2006-01-01,1,2,0,2,1,4,5
CARIPUYO,desnutricion global,desnutricion moderada (m),2006-01-01,11,5,2,6,13,11,24
CARMEN RIVERO TORREZ,desnutricion global,desnutricion moderada (m),2006-01-01,0,1,0,0,0,1,1
CHACARILLA,desnutricion global,desnutricion moderada (m),2006-01-01,0,0,1,0,1,0,1
CHALLAPATA,desnutricion global,desnutricion moderada (m),2006-01-01,6,5,7,12,13,17,30
CHAQUI,desnutricion global,desnutricion moderada (m),2006-01-01,2,3,0,1,2,4,6
CHARAGUA,desnutricion global,desnutricion moderada (m),2006-01-01,16,10,5,8,21,18,39
CHARAÑA,desnutricion global,desnutricion moderada (m),2006-01-01,1,1,1,0,2,1,3
CHAYANTA,desnutricion global,desnutricion moderada (m),2006-01-01,14,12,6,13,20,25,45
CHIMORE,desnutricion global,desnutricion moderada (m),2006-01-01,9,7,10,5,19,12,31
CHIPAYA,desnutricion global,desnutricion moderada (m),2006-01-01,0,0,2,0,2,0,2
CHOQUE COTA,desnutricion global,desnutricion moderada (m),2006-01-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),desnutricion global,desnutricion moderada (m),2006-01-01,0,2,1,1,1,3,4
CHUMA,desnutricion global,desnutricion moderada (m),2006-01-01,8,5,5,5,13,10,23
CLIZA,desnutricion global,desnutricion moderada (m),2006-01-01,5,1,3,3,8,4,12
COBIJA,desnutricion global,desnutricion moderada (m),2006-01-01,6,5,4,3,10,8,18
COCHABAMBA,desnutricion global,desnutricion moderada (m),2006-01-01,61,60,28,37,89,97,186
COLCAPIRHUA,desnutricion global,desnutricion moderada (m),2006-01-01,9,1,2,7,11,8,19
"COLCHA ""K""",desnutricion global,desnutricion moderada (m),2006-01-01,1,1,1,0,2,1,3
COLLANA,desnutricion global,desnutricion moderada (m),2006-01-01,0,2,0,0,0,2,2
COLOMI,desnutricion global,desnutricion moderada (m),2006-01-01,8,2,3,4,11,6,17
COLPA BELGICA,desnutricion global,desnutricion moderada (m),2006-01-01,2,0,0,1,2,1,3
COLQUECHACA,desnutricion global,desnutricion moderada (m),2006-01-01,24,17,16,14,40,31,71
COLQUENCHA,desnutricion global,desnutricion moderada (m),2006-01-01,2,2,6,6,8,8,16
COLQUIRI,desnutricion global,desnutricion moderada (m),2006-01-01,2,7,5,4,7,11,18
COMANCHE,desnutricion global,desnutricion moderada (m),2006-01-01,0,0,1,0,1,0,1
COMARAPA,desnutricion global,desnutricion moderada (m),2006-01-01,2,5,6,3,8,8,16
COMBAYA,desnutricion global,desnutricion moderada (m),2006-01-01,1,0,0,1,1,1,2
CONCEPCION,desnutricion global,desnutricion moderada (m),2006-01-01,1,0,0,0,1,0,1
COPACABANA,desnutricion global,desnutricion moderada (m),2006-01-01,1,2,1,0,2,2,4
CORIPATA,desnutricion global,desnutricion moderada (m),2006-01-01,2,1,0,0,2,1,3
CORO CORO,desnutricion global,desnutricion moderada (m),2006-01-01,1,2,9,3,10,5,15
COROICO,desnutricion global,desnutricion moderada (m),2006-01-01,4,1,2,2,6,3,9
CORQUE,desnutricion global,desnutricion moderada (m),2006-01-01,4,0,1,0,5,0,5
COTAGAITA,desnutricion global,desnutricion moderada (m),2006-01-01,13,10,11,24,24,34,58
COTOCA,desnutricion global,desnutricion moderada (m),2006-01-01,9,9,3,10,12,19,31
CUATRO CAÑADAS,desnutricion global,desnutricion moderada (m),2006-01-01,6,11,4,8,10,19,29
CUEVO,desnutricion global,desnutricion moderada (m),2006-01-01,1,0,0,0,1,0,1
CULPINA,desnutricion global,desnutricion moderada (m),2006-01-01,18,6,15,23,33,29,62
CURVA,desnutricion global,desnutricion moderada (m),2006-01-01,0,0,2,0,2,0,2
DESAGUADERO,desnutricion global,desnutricion moderada (m),2006-01-01,1,0,5,0,6,0,6
EL ALTO,desnutricion global,desnutricion moderada (m),2006-01-01,202,180,122,121,324,301,625
EL PUENTE(STC),desnutricion global,desnutricion moderada (m),2006-01-01,1,4,0,2,1,6,7
EL PUENTE(TJA),desnutricion global,desnutricion moderada (m),2006-01-01,1,3,3,5,4,8,12
EL TORNO,desnutricion global,desnutricion moderada (m),2006-01-01,6,3,4,4,10,7,17
EL VILLAR,desnutricion global,desnutricion moderada (m),2006-01-01,2,4,3,11,5,15,20
ENTRE RIOS,desnutricion global,desnutricion moderada (m),2006-01-01,13,14,14,6,27,20,47
ENTRE RIOS,desnutricion global,desnutricion moderada (m),2006-01-01,3,5,2,4,5,9,14
EUCALIPTUS,desnutricion global,desnutricion moderada (m),2006-01-01,2,0,1,0,3,0,3
EUREKA (SANTOS MERCADO),desnutricion global,desnutricion moderada (m),2006-01-01,0,1,0,0,0,1,1
