municipality,group,variable,month,a. Nro. Eventos,b. Nro. Personas afectadas,c. Nro. Personas fallecidas,TOTAL
CHAYANTA,eventos - notificacion inmediata parte ii,deslizamiento,2024-01-01,1.0,3.0,0.0,4.0
CHUMA,eventos - notificacion inmediata parte ii,deslizamiento,2024-01-01,1.0,0.0,0.0,1.0
LA PAZ,eventos - notificacion inmediata parte ii,deslizamiento,2024-01-01,0.0,0.0,1.0,1.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento,2024-02-01,8.0,0.0,0.0,8.0
GRAL. J.J. PEREZ (CHARAZANI),eventos - notificacion inmediata parte ii,deslizamiento,2024-02-01,0.0,5.0,0.0,5.0
LA PAZ,eventos - notificacion inmediata parte ii,deslizamiento,2024-02-01,1.0,10.0,2.0,13.0
SAN JAVIER(BNI),eventos - notificacion inmediata parte ii,deslizamiento,2024-02-01,1.0,29.0,0.0,30.0
TACACOMA,eventos - notificacion inmediata parte ii,deslizamiento,2024-02-01,1.0,0.0,0.0,1.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento,2024-03-01,11.0,0.0,0.0,11.0
ICLA,eventos - notificacion inmediata parte ii,deslizamiento,2024-03-01,1.0,19.0,0.0,20.0
LA PAZ,eventos - notificacion inmediata parte ii,deslizamiento,2024-03-01,4.0,49.0,0.0,53.0
SAN PEDRO DE BUENA VISTA,eventos - notificacion inmediata parte ii,deslizamiento,2024-03-01,1.0,30.0,0.0,31.0
TARVITA,eventos - notificacion inmediata parte ii,deslizamiento,2024-03-01,4.0,20.0,0.0,24.0
TIPUANI,eventos - notificacion inmediata parte ii,deslizamiento,2024-03-01,1.0,1.0,0.0,2.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento,2024-04-01,3.0,0.0,0.0,3.0
LA PAZ,eventos - notificacion inmediata parte ii,deslizamiento,2024-04-01,1.0,70.0,0.0,71.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento,2024-11-01,11.0,0.0,0.0,11.0
COROICO,eventos - notificacion inmediata parte ii,deslizamiento,2024-11-01,1.0,0.0,0.0,1.0
LA PAZ,eventos - notificacion inmediata parte ii,deslizamiento,2024-11-01,1.0,0.0,0.0,1.0
SUCRE,eventos - notificacion inmediata parte ii,deslizamiento,2024-11-01,1.0,24.0,0.0,25.0
VILLA TUNARI,eventos - notificacion inmediata parte ii,deslizamiento,2024-12-01,1.0,0.0,4.0,5.0
